Mach,alpha,cr,ci,omega_i,stage1_mismatch,cr_box_min,cr_box_max,ci_box_min,ci_box_max,status,exception,ln_p_start_right_exact_600,stage2_mismatch_exact_600,y_limit_600,amplitude_status_600,ln_p_start_right_exact_1200,stage2_mismatch_exact_1200,y_limit_1200,amplitude_status_1200,p_edge_frac,p_center_jump,p_adjacent_jump,p_left_right_energy_ratio,rho_edge_frac,rho_center_jump,rho_adjacent_jump,rho_left_right_energy_ratio,u_edge_frac,u_center_jump,u_adjacent_jump,u_left_right_energy_ratio,v_edge_frac,v_center_jump,v_adjacent_jump,v_left_right_energy_ratio,all_finite,max_edge_frac,max_center_jump,max_adjacent_jump,max_left_right_energy_ratio,p_ylimit_rel_l2,rho_ylimit_rel_l2,u_ylimit_rel_l2,v_ylimit_rel_l2,max_ylimit_rel_l2,reject_reasons,source_file
1.8,0.01,0.7615399999999999,2.148628e-05,2.148628e-07,5.257895737541697e-10,0.6,0.85,1e-05,0.002,rejected,,-10.402951475715216,7.589244455773471e-19,600.0,exact_log_amplitude_match,-15.821883980924374,1.862383885224327e-19,1200.0,exact_log_amplitude_match,0.9760435787565144,0.0234589868474981,1.9402815979513264,20.98989108665125,0.9760435787565142,0.0234589868474979,1.9402815979513264,20.989891086651248,0.0003688317636947,1.002220286045619,1.002220126117953,238.65987236802,0.1458581122854054,1.0004713091660324,1.0030859257116844,4.2086295615359495,True,0.9760435787565144,1.002220286045619,1.9402815979513264,238.65987236802,0.0077066252142971,0.0077066252142972,0.0424177982114526,0.0472324333057727,0.0472324333057727,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.01000_candidates.csv
1.8,0.02,0.7615399999999999,2.686724e-05,5.373448e-07,1.186613579558132e-09,0.6,0.85,1e-05,0.002,rejected,,-15.806202146364004,2.4791358257821112e-20,600.0,exact_log_amplitude_match,-26.64394468417428,9.37251270287721e-18,1200.0,exact_log_amplitude_match,0.9522273069572128,0.0468580945739344,1.902896442141797,40.71393515039421,0.9522273069572128,0.0468580945739341,1.902896442141797,40.71393515039421,0.000719501045032,0.9969762449806228,0.9969722193297906,212.64062565512305,0.1423919036815175,0.9960232809752292,0.9986360839797704,8.027365178057515,True,0.9522273069572128,0.9969762449806228,1.902896442141797,212.64062565512305,0.0260070963856738,0.0260070963856738,0.0066924970491793,0.0145629836414285,0.0260070963856738,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.02000_candidates.csv
1.8,0.03,0.7615399999999999,2.686724e-05,8.060172e-07,1.752511706233394e-09,0.6,0.85,1e-05,0.002,rejected,,-21.20993008436134,1.4160642988634348e-18,600.0,exact_log_amplitude_match,-37.46654389051295,3.2281830949317846e-17,1200.0,exact_log_amplitude_match,0.93079432434667,0.0683000150002273,1.8517233912548,59.319649849719966,0.9307943243466702,0.0683000150002275,1.8517233912548,59.31964984971998,0.0010825842290888,0.99367555416771,0.9936676331766358,169.43797831305395,0.1429667447874914,0.9935462428210358,0.9961568188270128,11.549340771719605,True,0.9307943243466702,0.99367555416771,1.8517233912548,169.43797831305395,0.0451441141069023,0.0451441141069023,0.0087951387271498,0.0249475837096835,0.0451441141069023,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.03000_candidates.csv
1.8,0.04,0.7615399999999999,1e-05,4.0000000000000003e-07,1.8117290914893114e-09,0.6,0.85,1e-05,0.002,rejected,,-26.614833601198484,4.940589852946397e-18,600.0,exact_log_amplitude_match,-48.29108649642368,6.919205812119234e-17,1200.0,exact_log_amplitude_match,0.9158810189466048,0.0849306280473943,1.827984185642578,77.06140575110136,0.9158810189466046,0.0849306280473942,1.827984185642578,77.06140575110138,0.0015213054150743,0.9936295101297874,0.9936169857845448,120.73467263342468,0.150854416740905,0.9945188946280497,0.9971262284517208,15.05758836128918,True,0.9158810189466048,0.9945188946280497,1.827984185642578,120.73467263342468,0.0578009358029643,0.0578009358029644,0.0376344859052275,0.0553726114447691,0.0578009358029644,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.04000_candidates.csv
1.8,0.05,0.7615399999999999,1.0413920000000002e-05,5.206960000000002e-07,2.303351533292745e-09,0.6,0.85,1e-05,0.002,rejected,,-32.01953416559502,1.0579903441002873e-17,600.0,exact_log_amplitude_match,-59.11482673115583,1.1950606492921722e-16,1200.0,exact_log_amplitude_match,0.8957892996551529,0.1058175820531758,1.7931169472391302,93.85220756415728,0.8957892996551526,0.1058175820531758,1.79311694723913,93.85220756415728,0.0018607209182618,0.9901580983983538,0.9901421695683104,98.23906057586376,0.1477520768209523,0.9918027331809726,0.9944080544546828,18.04392501300377,True,0.8957892996551529,0.9918027331809726,1.7931169472391302,98.23906057586376,0.0652566500818054,0.0652566500818054,0.0219138715624213,0.0462523792100003,0.0652566500818054,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.05000_candidates.csv
1.8,0.06,0.7615399999999999,1.0336310000000002e-05,6.201786000000001e-07,2.748095233274973e-09,0.6,0.85,1e-05,0.002,rejected,,-37.424642056666144,1.831460942662676e-17,600.0,exact_log_amplitude_match,-69.93899843424822,1.8927921785138343e-16,1200.0,exact_log_amplitude_match,0.8763284617514268,0.1263216010869432,1.7480510864588976,109.86990533082502,0.8763284617514266,0.1263216010869435,1.7480510864588976,109.86990533082503,0.0021806672584288,0.9850316407838808,0.9850127046396154,81.03250063186954,0.1444334909683164,0.9873454449357104,0.9899488582647652,20.71657401368893,True,0.8763284617514268,0.9873454449357104,1.7480510864588976,109.86990533082503,0.0728390097314237,0.0728390097314237,0.0155418288466491,0.0459053350309789,0.0728390097314237,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.06000_candidates.csv
1.8,0.07,0.7615399999999999,1.30248e-05,9.11736e-07,3.3249560440998684e-09,0.6,0.85,1e-05,0.002,rejected,,-42.82989893444413,2.810372352927132e-17,600.0,exact_log_amplitude_match,-80.76310053303743,2.817918963988151e-16,1200.0,exact_log_amplitude_match,0.8574251976124114,0.1460766487976001,1.7173309489310875,125.14002080666566,0.8574251976124114,0.1460766487976001,1.717330948931087,125.14002080666565,0.0025076292127382,0.9837719695896694,0.9837500164465992,66.65931070125035,0.1425077469273514,0.9868199267840974,0.9894211149807188,23.197525080902032,True,0.8574251976124114,0.9868199267840974,1.7173309489310875,125.14002080666566,0.0794261442877403,0.0794261442877403,0.0010386880861387,0.0429427678372439,0.0794261442877403,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.07000_candidates.csv
1.8,0.08,0.7615399999999999,1.7140120000000004e-05,1.3712096000000004e-06,3.971458756053762e-09,0.6,0.85,1e-05,0.002,rejected,,-48.23531488263232,3.9887830425451165e-17,600.0,exact_log_amplitude_match,-91.58717060918508,3.4558462379223694e-16,1200.0,exact_log_amplitude_match,0.8431511546449405,0.1611117646911428,1.6896437696182651,139.7671988864922,0.8431511546449406,0.1611117646911427,1.6896437696182656,139.76719888649222,0.00290773002754,0.9809583984736646,0.9809327519886109,52.79628334588807,0.1447652900643548,0.9848777263235864,0.987475947648486,25.86158764926349,True,0.8431511546449406,0.9848777263235864,1.6896437696182656,139.76719888649222,0.0833215136188489,0.0833215136188489,0.0008364481281189,0.0455100030272228,0.0833215136188489,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.08000_candidates.csv
1.8,0.09,0.7615399999999999,1.100893e-05,9.908037e-07,4.2635374721932335e-09,0.6,0.85,1e-05,0.002,rejected,,-53.642018152008525,5.387306644561647e-17,600.0,exact_log_amplitude_match,-102.41348382411654,5.721866353373825e-16,1200.0,exact_log_amplitude_match,0.8293029305748375,0.1774486599376088,1.6583971173881764,154.10414577836892,0.8293029305748374,0.177448659937609,1.6583971173881764,154.10414577836892,0.0032712770519203,0.9783679381650884,0.978339238626162,43.6658776772541,0.1449343577629704,0.9830484540664473,0.985644039136098,28.236463724121712,True,0.8293029305748375,0.9830484540664473,1.6583971173881764,154.10414577836892,0.086155947834947,0.0861559478349471,0.0081788492590886,0.04795736408208,0.0861559478349471,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.09000_candidates.csv
1.8,0.1,0.7615399999999999,1.010348e-05,1.010348e-06,4.590732562579887e-09,0.6,0.85,1e-05,0.002,rejected,,-59.048577209470935,6.980533158385865e-17,600.0,exact_log_amplitude_match,-113.23919766972972,7.986017288476745e-16,1200.0,exact_log_amplitude_match,0.8151724450448806,0.1934133878315459,1.6304093339482246,167.8252532240695,0.8151724450448805,0.1934133878315461,1.630409333948225,167.82525322406954,0.0036267975457513,0.97611602126366,0.9760844722983758,36.72674802808406,0.1447853270543919,0.9815385613297776,0.9841314699955654,30.43212337698449,True,0.8151724450448806,0.9815385613297776,1.630409333948225,167.82525322406954,0.0890746408177633,0.0890746408177633,0.0146855485182001,0.0506221986648757,0.0890746408177633,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.10000_candidates.csv
