Mach,alpha,cr,ci,omega_i,stage1_mismatch,cr_box_min,cr_box_max,ci_box_min,ci_box_max,status,exception,ln_p_start_right_exact_600,stage2_mismatch_exact_600,y_limit_600,amplitude_status_600,ln_p_start_right_exact_1200,stage2_mismatch_exact_1200,y_limit_1200,amplitude_status_1200,p_edge_frac,p_center_jump,p_adjacent_jump,p_left_right_energy_ratio,rho_edge_frac,rho_center_jump,rho_adjacent_jump,rho_left_right_energy_ratio,u_edge_frac,u_center_jump,u_adjacent_jump,u_left_right_energy_ratio,v_edge_frac,v_center_jump,v_adjacent_jump,v_left_right_energy_ratio,all_finite,max_edge_frac,max_center_jump,max_adjacent_jump,max_left_right_energy_ratio,p_ylimit_rel_l2,rho_ylimit_rel_l2,u_ylimit_rel_l2,v_ylimit_rel_l2,max_ylimit_rel_l2,reject_reasons,source_file
1.9,0.01,0.7615399999999999,1.817492e-05,1.817492e-07,4.975938741303602e-10,0.6,0.85,1e-05,0.002,rejected,,-10.332877736916526,7.8214312927433785e-19,600.0,exact_log_amplitude_match,-15.681498096959633,1.5785926463725252e-19,1200.0,exact_log_amplitude_match,0.9750113293531996,0.0245598882852145,1.906855985138797,20.72793720191217,0.9750113293531996,0.0245598882852148,1.9068559851387967,20.72793720191217,0.0003517172269246,1.0030729123259363,1.0030724862127876,232.2499497384532,0.1476400214417374,1.0012870458933243,1.003901172441328,4.780854607337631,True,0.9750113293531996,1.0030729123259363,1.9068559851387967,232.2499497384532,0.0087272543163804,0.0087272543163804,0.0928619469602686,0.0639947194751767,0.0928619469602686,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.90_alpha0.01000_candidates.csv
1.8,0.01,0.7615399999999999,2.148628e-05,2.148628e-07,5.257895737541697e-10,0.6,0.85,1e-05,0.002,rejected,,-10.402951475715216,7.589244455773471e-19,600.0,exact_log_amplitude_match,-15.821883980924374,1.862383885224327e-19,1200.0,exact_log_amplitude_match,0.9760435787565144,0.0234589868474981,1.9402815979513264,20.98989108665125,0.9760435787565142,0.0234589868474979,1.9402815979513264,20.989891086651248,0.0003688317636947,1.002220286045619,1.002220126117953,238.65987236802,0.1458581122854054,1.0004713091660324,1.0030859257116844,4.2086295615359495,True,0.9760435787565144,1.002220286045619,1.9402815979513264,238.65987236802,0.0077066252142971,0.0077066252142972,0.0424177982114526,0.0472324333057727,0.0472324333057727,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.01000_candidates.csv
1.8,0.02,0.7615399999999999,2.686724e-05,5.373448e-07,1.186613579558132e-09,0.6,0.85,1e-05,0.002,rejected,,-15.806202146364004,2.4791358257821112e-20,600.0,exact_log_amplitude_match,-26.64394468417428,9.37251270287721e-18,1200.0,exact_log_amplitude_match,0.9522273069572128,0.0468580945739344,1.902896442141797,40.71393515039421,0.9522273069572128,0.0468580945739341,1.902896442141797,40.71393515039421,0.000719501045032,0.9969762449806228,0.9969722193297906,212.64062565512305,0.1423919036815175,0.9960232809752292,0.9986360839797704,8.027365178057515,True,0.9522273069572128,0.9969762449806228,1.902896442141797,212.64062565512305,0.0260070963856738,0.0260070963856738,0.0066924970491793,0.0145629836414285,0.0260070963856738,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.02000_candidates.csv
1.9,0.02,0.7615399999999999,3.2662119999999995e-05,6.532423999999999e-07,1.253870264483415e-09,0.6,0.85,1e-05,0.002,rejected,,-15.665887047052433,1.7103596615736592e-20,600.0,exact_log_amplitude_match,-26.36278167125935,8.938959584790846e-18,1200.0,exact_log_amplitude_match,0.9523849232630848,0.0464709137609276,1.8854747000029288,40.21304107041561,0.9523849232630848,0.0464709137609277,1.885474700002929,40.2130410704156,0.0007250962487262,0.9960071450637532,0.9960020601396607,189.80810223808547,0.1523284344871586,0.995065281710008,0.9976763315161188,9.165471099681955,True,0.9523849232630848,0.9960071450637532,1.885474700002929,189.80810223808547,0.0284665329351204,0.0284665329351204,0.0071611608417972,0.0169112101519364,0.0284665329351204,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.90_alpha0.02000_candidates.csv
1.9,0.03,0.7615399999999999,1e-05,3.0000000000000004e-07,1.3728550934341392e-09,0.6,0.85,1e-05,0.002,rejected,,-21.000352580464448,1.3230354893588536e-18,600.0,exact_log_amplitude_match,-37.04650661441072,3.1275060555240625e-17,1200.0,exact_log_amplitude_match,0.9342494732294798,0.0660993060446733,1.8670263877388047,58.71578513517846,0.9342494732294796,0.0660993060446732,1.8670263877388047,58.71578513517845,0.001117923284277,0.9899423024223716,0.9899324455109876,147.65114522921044,0.1567263531363071,0.989867961388356,0.9924758120829984,13.285999524601245,True,0.9342494732294798,0.9899423024223716,1.8670263877388047,147.65114522921044,0.0480920681022772,0.0480920681022773,0.0526319868117488,0.0461070576947773,0.0526319868117488,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.90_alpha0.03000_candidates.csv
1.8,0.03,0.7615399999999999,2.686724e-05,8.060172e-07,1.752511706233394e-09,0.6,0.85,1e-05,0.002,rejected,,-21.20993008436134,1.4160642988634348e-18,600.0,exact_log_amplitude_match,-37.46654389051295,3.2281830949317846e-17,1200.0,exact_log_amplitude_match,0.93079432434667,0.0683000150002273,1.8517233912548,59.319649849719966,0.9307943243466702,0.0683000150002275,1.8517233912548,59.31964984971998,0.0010825842290888,0.99367555416771,0.9936676331766358,169.43797831305395,0.1429667447874914,0.9935462428210358,0.9961568188270128,11.549340771719605,True,0.9307943243466702,0.99367555416771,1.8517233912548,169.43797831305395,0.0451441141069023,0.0451441141069023,0.0087951387271498,0.0249475837096835,0.0451441141069023,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.03000_candidates.csv
1.8,0.04,0.7615399999999999,1e-05,4.0000000000000003e-07,1.8117290914893114e-09,0.6,0.85,1e-05,0.002,rejected,,-26.614833601198484,4.940589852946397e-18,600.0,exact_log_amplitude_match,-48.29108649642368,6.919205812119234e-17,1200.0,exact_log_amplitude_match,0.9158810189466048,0.0849306280473943,1.827984185642578,77.06140575110136,0.9158810189466046,0.0849306280473942,1.827984185642578,77.06140575110138,0.0015213054150743,0.9936295101297874,0.9936169857845448,120.73467263342468,0.150854416740905,0.9945188946280497,0.9971262284517208,15.05758836128918,True,0.9158810189466048,0.9945188946280497,1.827984185642578,120.73467263342468,0.0578009358029643,0.0578009358029644,0.0376344859052275,0.0553726114447691,0.0578009358029644,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.04000_candidates.csv
1.9,0.04,0.7615399999999999,1.7140120000000004e-05,6.856048000000002e-07,1.987869632848853e-09,0.6,0.85,1e-05,0.002,rejected,,-26.33439582939064,4.7007439260653945e-18,600.0,exact_log_amplitude_match,-47.72892671268762,6.670288426522059e-17,1200.0,exact_log_amplitude_match,0.9121589102559956,0.0882957174978962,1.823896336485525,76.17875465589684,0.9121589102559956,0.0882957174978964,1.8238963364855243,76.17875465589685,0.0014550070060182,0.9911409395183964,0.991127073174648,122.71431199087208,0.1531316386218807,0.9918617163164876,0.9944671414867898,16.922051432950987,True,0.9121589102559956,0.9918617163164876,1.823896336485525,122.71431199087208,0.0596619871023732,0.0596619871023732,0.0153484009926363,0.0358136089078092,0.0596619871023732,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.90_alpha0.04000_candidates.csv
1.8,0.05,0.7615399999999999,1.0413920000000002e-05,5.206960000000002e-07,2.303351533292745e-09,0.6,0.85,1e-05,0.002,rejected,,-32.01953416559502,1.0579903441002873e-17,600.0,exact_log_amplitude_match,-59.11482673115583,1.1950606492921722e-16,1200.0,exact_log_amplitude_match,0.8957892996551529,0.1058175820531758,1.7931169472391302,93.85220756415728,0.8957892996551526,0.1058175820531758,1.79311694723913,93.85220756415728,0.0018607209182618,0.9901580983983538,0.9901421695683104,98.23906057586376,0.1477520768209523,0.9918027331809726,0.9944080544546828,18.04392501300377,True,0.8957892996551529,0.9918027331809726,1.7931169472391302,98.23906057586376,0.0652566500818054,0.0652566500818054,0.0219138715624213,0.0462523792100003,0.0652566500818054,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.05000_candidates.csv
1.9,0.05,0.7615399999999999,2.047536e-05,1.023768e-06,2.555235453631029e-09,0.6,0.85,1e-05,0.002,rejected,,-31.66894251749609,1.0124414620111656e-17,600.0,exact_log_amplitude_match,-58.41190692322658,1.14868666227909e-16,1200.0,exact_log_amplitude_match,0.8933984909798077,0.1075735196715217,1.7819008176903717,92.8066358283116,0.8933984909798077,0.1075735196715216,1.7819008176903717,92.80663582831164,0.0018204781347068,0.9875956998100832,0.987577568223615,97.0079724510476,0.1534342682542931,0.9891307765632128,0.9917332281513508,20.38278717162146,True,0.8933984909798077,0.9891307765632128,1.7819008176903717,97.0079724510476,0.0672325829208597,0.0672325829208597,0.0016392120352893,0.0384922638141293,0.0672325829208597,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.90_alpha0.05000_candidates.csv
