Mach,alpha,cr,ci,omega_i,stage1_mismatch,cr_box_min,cr_box_max,ci_box_min,ci_box_max,status,exception,ln_p_start_right_exact_600,stage2_mismatch_exact_600,y_limit_600,amplitude_status_600,ln_p_start_right_exact_1200,stage2_mismatch_exact_1200,y_limit_1200,amplitude_status_1200,p_edge_frac,p_center_jump,p_adjacent_jump,p_left_right_energy_ratio,rho_edge_frac,rho_center_jump,rho_adjacent_jump,rho_left_right_energy_ratio,u_edge_frac,u_center_jump,u_adjacent_jump,u_left_right_energy_ratio,v_edge_frac,v_center_jump,v_adjacent_jump,v_left_right_energy_ratio,all_finite,max_edge_frac,max_center_jump,max_adjacent_jump,max_left_right_energy_ratio,p_ylimit_rel_l2,rho_ylimit_rel_l2,u_ylimit_rel_l2,v_ylimit_rel_l2,max_ylimit_rel_l2,reject_reasons,source_file
1.8,0.01,0.7615399999999999,2.148628e-05,2.148628e-07,5.257895737541698e-10,0.6,0.85,1e-05,0.002,rejected,,-10.402951475715216,7.58924445577347e-19,600.0,exact_log_amplitude_match,-15.821883980924374,1.862383885224327e-19,1200.0,exact_log_amplitude_match,0.9760435787565144,0.0234589868474981,1.9402815979513264,20.98989108665125,0.9760435787565142,0.0234589868474979,1.9402815979513264,20.989891086651248,0.0003688317636947,1.002220286045619,1.002220126117953,238.65987236802,0.1458581122854054,1.0004713091660324,1.0030859257116844,4.2086295615359495,True,0.9760435787565144,1.002220286045619,1.9402815979513264,238.65987236802,0.0077066252142971,0.0077066252142972,0.0424177982114526,0.0472324333057727,0.0472324333057727,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.01000_candidates.csv
1.8,0.01,0.7615399999999999,0.001,1e-05,1.5888127933820325e-07,0.6,0.85,0.001,0.008,rejected,,-10.391826223551286,4.552204889273947e-19,600.0,exact_log_amplitude_match,-15.799635629298535,2.734717268256613e-19,1200.0,exact_log_amplitude_match,0.953840328435306,0.024177617979584,1.9114503784854404,20.52921123332193,0.953840328435306,0.024177617979584,1.911450378485441,20.52921123332193,0.0003498444156697,0.9985527605920168,0.9985527111268536,252.76461990338476,0.1383457337528131,0.996765332003442,0.9993804833026736,4.104750940909442,True,0.953840328435306,0.9985527605920168,1.911450378485441,252.76461990338476,0.007498722823985,0.007498722823985,6.73571212421895e-07,0.0039364752345282,0.007498722823985,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.01000_candidates.csv
1.8,0.01,0.399356,0.007752816,7.752816000000002e-05,3.3069366554689345e-07,0.2,0.45,0.001,0.008,rejected,,-5.127985716608949,3.2214181409804698e-22,600.0,exact_log_amplitude_match,-5.2562839115432745,1.84719046366437e-21,1200.0,exact_log_amplitude_match,0.8333125055660663,7.107905933754542e-06,1.71172722267162,1.257783890923051,0.8333125055660664,7.107905933659871e-06,1.7117272226716196,1.2577838909230508,0.009089099670876,0.0002527783134657,0.0103554422484275,1.14967054041057,0.8339088875233299,0.0027601989335737,1.712952265167129,7.233085656059773,True,0.8339088875233299,0.0027601989335737,1.712952265167129,7.233085656059773,0.0041204224762517,0.0041204224762517,6.978390388138382e-05,0.0060609823971133,0.0060609823971133,edge_not_decayed;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.01000_candidates.csv
1.8,0.01,0.7615399999999999,0.005,5e-05,3.950148079368511e-06,0.6,0.85,0.005,0.02,rejected,,-10.346611153968034,7.258955189105967e-20,600.0,exact_log_amplitude_match,-15.7092139167758,3.97968409710193e-19,1200.0,exact_log_amplitude_match,0.8708945985892608,0.0241218919193086,1.80356453844458,18.7830486837018,0.8708945985892607,0.0241218919193084,1.8035645384445804,18.783048683701804,0.0003194899788056,0.9962196363539726,0.9962195833025872,253.8449265088801,0.1263399492012573,0.9944217934946016,0.9970376776061612,3.7564887008045584,True,0.8708945985892608,0.9962196363539726,1.8035645384445804,253.8449265088801,0.0072142087306396,0.0072142087306396,5.674644714364551e-07,0.0037864319073968,0.0072142087306396,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.01000_candidates.csv
1.8,0.01,0.4,0.007754,7.754e-05,7.493235602887703e-06,0.4,0.65,0.005,0.02,rejected,,-5.129396398132439,3.266850502223885e-22,600.0,exact_log_amplitude_match,-5.259108856060555,1.872239944171288e-21,1200.0,exact_log_amplitude_match,0.8333022494487645,7.1421327391811465e-06,1.7120583987976583,1.260814618122377,0.8333022494487646,7.142132739232521e-06,1.7120583987976583,1.2608146181223767,0.0090764684453347,0.0048711691329716,0.010356554282319,1.1413092400740454,0.8338987551872991,0.0040582190505404,1.7132839477029504,7.342087233562501,True,0.8338987551872991,0.0048711691329716,1.7132839477029504,7.342087233562501,0.0041247900334431,0.0041247900334431,7.002268948883822e-05,0.0060732166988126,0.0060732166988126,edge_not_decayed;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.01000_candidates.csv
1.8,0.01,0.76064,0.015,0.00015,3.507953255117178e-05,0.6,0.85,0.015,0.06,rejected,,-10.230821868886869,1.9483045265433075e-20,600.0,exact_log_amplitude_match,-15.477622271580124,4.550083776398273e-19,1200.0,exact_log_amplitude_match,0.6941528743019711,0.0233736103641571,1.5609951265029292,15.2176199173193,0.694152874301971,0.0233736103641572,1.5609951265029292,15.2176199173193,0.0002574213846677,0.9903424534902372,0.9903423738025052,250.5106538304608,0.1018447627116091,0.9885193284630028,0.9911394715472676,3.079757013651763,True,0.6941528743019711,0.9903424534902372,1.5609951265029292,250.5106538304608,0.0065439336602978,0.0065439336602978,5.617837456293928e-07,0.0034581565710468,0.0065439336602978,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.01000_candidates.csv
1.8,0.02,0.7615399999999999,2.686724e-05,5.373448e-07,1.186613579558132e-09,0.6,0.85,1e-05,0.002,rejected,,-15.806202146364004,2.4791358257821112e-20,600.0,exact_log_amplitude_match,-26.64394468417428,9.37251270287721e-18,1200.0,exact_log_amplitude_match,0.9522273069572128,0.0468580945739344,1.902896442141797,40.71393515039421,0.9522273069572128,0.0468580945739341,1.902896442141797,40.71393515039421,0.000719501045032,0.9969762449806228,0.9969722193297906,212.64062565512305,0.1423919036815175,0.9960232809752292,0.9986360839797704,8.027365178057515,True,0.9522273069572128,0.9969762449806228,1.902896442141797,212.64062565512305,0.0260070963856738,0.0260070963856738,0.0066924970491793,0.0145629836414285,0.0260070963856738,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.02000_candidates.csv
1.8,0.02,0.7615399999999999,0.001,2e-05,3.165703156739965e-07,0.6,0.85,0.001,0.008,rejected,,-15.784074072423504,8.291628782101005e-20,600.0,exact_log_amplitude_match,-26.59969288360555,7.616684474784019e-18,1200.0,exact_log_amplitude_match,0.9107843002961252,0.0470511050114679,1.865529286441952,38.963014159240174,0.910784300296125,0.047051105011468,1.865529286441952,38.96301415924019,0.0006849886114848,0.9958831378464676,0.9958791478654914,216.38232493078175,0.1355604225805122,0.9949159869195046,0.9975290575103384,7.675382273204539,True,0.9107843002961252,0.9958831378464676,1.865529286441952,216.38232493078175,0.0255236104869633,0.0255236104869633,9.347251467937538e-07,0.0134968971443102,0.0255236104869633,edge_not_decayed;center_jump_too_large;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.02000_candidates.csv
1.8,0.02,0.405096,0.01402304,0.0002804608,3.2629219124104016e-07,0.4,0.65,0.005,0.02,rejected,,-5.5040807250978965,4.676184480907245e-21,600.0,exact_log_amplitude_match,-6.009351464016662,1.936272941185912e-20,1200.0,exact_log_amplitude_match,0.5173136115909763,1.4610862324886286e-05,1.4449125637268172,1.9172642114771972,0.5173136115909764,1.461086232486071e-05,1.444912563726817,1.9172642114771967,0.0062434520242071,0.0002087410041276,0.017438633101221,1.201874525594625,0.518453037393244,0.0026645173726476,1.448095102558664,11.946346348026568,True,0.518453037393244,0.0026645173726476,1.448095102558664,11.946346348026568,0.0123837457651651,0.0123837457651651,0.0004163665626486,0.0182984682585159,0.0182984682585159,edge_not_decayed;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.02000_candidates.csv
1.8,0.02,0.4051559999999999,0.01402304,0.0002804608,1.1029688457595222e-06,0.2,0.45,0.005,0.02,rejected,,-5.504621125328988,4.679829349610946e-21,600.0,exact_log_amplitude_match,-6.010433617935833,1.9374101365611518e-20,1200.0,exact_log_amplitude_match,0.5173162835054917,1.4621058198400115e-05,1.4449180014555862,1.918352151657052,0.5173162835054919,1.462105819843967e-05,1.4449180014555865,1.918352151657051,0.00624415214878,0.000483910380484,0.0174405641795422,1.2010223950991958,0.5184557262721056,0.0027900724706967,1.4481005832099296,11.967742749569233,True,0.5184557262721056,0.0027900724706967,1.4481005832099296,11.967742749569233,0.0123849091834603,0.0123849091834603,0.0004164991397262,0.0183017279312732,0.0183017279312732,edge_not_decayed;adjacent_jump_too_large,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/point_results/M1.80_alpha0.02000_candidates.csv
