Mach,alpha,line_id,source_label,source_fields_csv,n_y,y_min,y_max,peak_y_abs,peak_y_rel,tail_ratio,edge_ratio,jump95,jumpmax,summary_reference_cr,summary_reference_ci,summary_reference_omega_i,summary_best_status,summary_best_stage1_mismatch,summary_best_stage2_mismatch,summary_trusted_spectral,summary_trusted_modal,summary_source_csv,summary_source_label,summary_line_id,finite_cr_ci,grid_ci_flag,triage_score
1.6,0.1,,supersonic_shooting_core_band_M16_fields,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_fields.csv,4595,-800.0000000000128,800.0000000000128,0.0009379741514735,1.1724676893418561e-06,0.02518678975111752,0.014337404903311498,0.025677681937981544,0.4759780191280533,0.0,0.015,8.110721289866256e-07,validated,0.0135078444042355,3.1554436208840472e-30,False,False,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,M1.60_a0.10000,True,True,2.4003798278672654
1.6,0.125,,supersonic_shooting_core_band_M16_fields,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_fields.csv,4595,-800.0000000000128,800.0000000000128,0.0009379741514735,1.1724676893418561e-06,0.01935306416175188,0.010578608763135787,0.030274199112548035,0.5031291238455982,0.18,0.055,2.4793746383101865e-06,validated,0.0235440133577806,0.0,False,False,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,M1.60_a0.12500,True,True,2.305373914006765
1.6,0.15,,supersonic_shooting_core_band_M16_fields,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_fields.csv,4595,-800.0000000000128,800.0000000000128,0.0009379741514735,1.1724676893418561e-06,0.019483179820579385,0.010657086666865859,0.036120342158028076,0.5630636176624835,0.0,0.015,1.2166081934799385e-06,validated,0.0134276414277918,6.389773332290196e-29,False,False,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,M1.60_a0.15000,True,True,2.3086290782414367
1.6,0.175,,supersonic_shooting_core_band_M16_fields,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_fields.csv,4595,-800.0000000000128,800.0000000000128,1.2343270559045094,0.001542908819880612,0.014184830613807459,0.007389692394996956,0.03783447964418494,0.5664475717459756,0.0,0.015,1.0539973003874095e-06,validated,0.0255840824985076,5.048709793414476e-29,False,False,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,M1.60_a0.17500,True,True,2.2263979436566426
1.6,0.2,,supersonic_shooting_core_band_M16_fields,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_fields.csv,4595,-800.0000000000128,800.0000000000128,1.519484965343532,0.0018993562066793846,0.02830051595832452,0.01638622323693792,0.04528686838244284,0.7326680936203656,0.0,0.015,1.151193978266461e-06,validated,0.0213045174065003,7.099748146989106e-30,False,False,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,M1.60_a0.20000,True,True,2.4597234780424717
1.6,0.3,,supersonic_shooting_point_batch_core_v2_fields,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_fields.csv,4591,-164.44610767527206,164.44610767527206,0.5483605349523252,0.0033345911478498483,0.005825109841082573,0.002574164712939439,0.024491102372158756,0.053948716565583844,0.0,0.015,3e-07,mode_only,0.0713131453976751,1.262177448353619e-29,False,False,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_candidates.csv,supersonic_shooting_point_batch_core_v2_candidates,M1.60_a0.30000,True,True,2.0955601483103514
1.7,0.1,,supersonic_shooting_core_band_M17_fields,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_fields.csv,4595,-800.0000000000128,800.0000000000128,0.4462918654885919,0.0005578648318607309,0.012893772235866604,0.0066236995894391505,0.018053739266774844,0.4317890134242518,0.05,0.025,2.4543746383101863e-06,validated,0.0235807566116461,7.888609052210118e-31,False,False,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_candidates.csv,supersonic_shooting_core_band_M17_manual_candidates,M1.70_a0.10000,True,True,2.199901195770134
1.7,0.125,,supersonic_shooting_core_band_M17_fields,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_fields.csv,4595,-800.0000000000128,800.0000000000128,0.4605973530194264,0.0005757466912742737,0.007709356573506621,0.0036589830057610737,0.02200933840801904,0.43632282739478834,0.05,0.025,5.422342936197919e-06,validated,0.0296284534438847,0.0,False,False,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_candidates.csv,supersonic_shooting_core_band_M17_manual_candidates,M1.70_a0.12500,True,True,2.119236756856829
1.7,0.15,,supersonic_shooting_core_band_M17_fields,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_fields.csv,4595,-800.0000000000128,800.0000000000128,1.1207821574229158,0.0014009776967786223,0.009218726545515983,0.0044961042119358845,0.037149588601456555,0.48527645850776496,0.05,0.025,1.4520833333333331e-06,validated,0.0382361601152991,7.888609052210118e-31,False,False,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_candidates.csv,supersonic_shooting_core_band_M17_candidates,M1.70_a0.15000,True,True,2.1473801806883674
1.8,0.1,,supersonic_shooting_core_band_M18_fields,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_fields.csv,4595,-743.9002996358191,743.9002996358191,0.4994193158948848,0.0006713524865353309,0.00015902793461783872,4.582211714925472e-05,0.01623412102755684,0.1363866376245999,0.1,0.04,1.256988932291667e-05,validated,0.0232483873785957,1.262177448353619e-29,False,False,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_candidates.csv,supersonic_shooting_core_band_M18_candidates,M1.80_a0.10000,True,True,2.006638029696253
