step,ci_anchor_loss
1,0.0521910904686571
100,0.0002334014587385041
200,0.0001775451232035091
300,0.00013108919915577773
400,9.160109869267215e-05
500,6.0515743157366306e-05
600,3.79084733436533e-05
700,2.2719625201427268e-05
800,1.3117305628947626e-05
900,7.314027609872905e-06
1000,3.9948606702637435e-06
1100,2.229257387683032e-06
1200,1.3500979865321303e-06
1300,9.217896034664836e-07
1400,7.014247225957666e-07
1500,5.731861584260631e-07
1600,4.881409202036781e-07
1700,4.266428454020111e-07
1800,3.802217436883315e-07
1900,3.443902341874105e-07
2000,3.1618879480788027e-07
2100,2.9343140216818697e-07
2200,2.7446735494599597e-07
2300,2.5807413814843105e-07
2400,2.433773536445853e-07
2500,2.2977727561467182e-07
2600,2.168819555289653e-07
2700,2.0444971335185614e-07
2800,1.9234270428776708e-07
2900,1.804916141047124e-07
3000,1.6887030865278263e-07
