epoch,ci_anchor_loss,weighted_loss,ci_lr,grad_norm
1,1.687552400973897e-07,0.0001687552400973897,0.00019999999924991005,0.003164929040416446
100,1.294861249421533e-07,0.0001294861249421533,0.00019999249919936256,0.09192668728507068
200,1.1397732491588976e-07,0.00011397732491588976,0.0001999699979819135,0.002701864707409291
300,9.716439097409027e-08,9.716439097409027e-05,0.00019993249990085598,0.00405055648363567
400,8.364089825121425e-08,8.364089825121425e-05,0.0001998800108775717,0.07953723303059146
500,6.920735951563215e-08,6.920735951563215e-05,0.00019981253920068581,0.0022424355593265856
600,1.1914518187336911e-06,0.0011914518187336911,0.0001997300955247583,3.4612114875287636
700,4.674186332283549e-08,4.6741863322835494e-05,0.0001996326928686014,0.041824884978846524
800,3.720731801614191e-08,3.7207318016141915e-05,0.00019952034661322354,0.0015457212073761045
900,1.3280152003276998e-06,0.0013280152003276998,0.0001993930744994008,3.690701376557445
1000,2.3850496786216724e-08,2.3850496786216724e-05,0.0001992508966248754,0.027646967895200075
1100,1.836174747461134e-08,1.836174747461134e-05,0.00019909383544118185,0.0011793223926548297
1200,1.4087140862214725e-08,1.4087140862214724e-05,0.00019892191575010185,0.04838575049154109
1300,1.1531800059937419e-08,1.1531800059937419e-05,0.00019873516469974748,0.04725800880196841
1400,8.493051131215543e-09,8.493051131215544e-06,0.00019853361178027453,0.0007925478696730762
1500,6.238455143750296e-09,6.238455143750296e-06,0.00019831728881922545,0.0006877703573158971
1600,2.183228456517891e-07,0.00021832284565178911,0.00019808622997650346,1.4894971782294693
1700,3.805564562282856e-09,3.8055645622828557e-06,0.00019784047173897838,0.0004981083337461321
1800,2.7344857086292644e-09,2.7344857086292642e-06,0.00019758005291472486,0.000457731296316337
1900,1.9225484343249725e-09,1.9225484343249726e-06,0.00019730501462689404,0.00038967312378758163
2000,7.353233297473236e-08,7.353233297473237e-05,0.00019701540030721997,0.8669614104032327
2100,1.2579142147863282e-09,1.2579142147863282e-06,0.00019671125568916103,0.0034566108655597594
2200,9.940659878496937e-10,9.940659878496938e-07,0.00019639262880067818,0.037481913622851394
2300,7.133684480573551e-10,7.133684480573551e-07,0.00019605956995665072,0.031298988722824175
2400,4.617977989261859e-09,4.617977989261859e-06,0.00019571213175093111,0.20733315515885198
2500,7.230819227582641e-10,7.230819227582641e-07,0.0001953503690480396,0.06182166935174972
2600,2.6777468736996156e-10,2.677746873699616e-07,0.00019497433897450072,0.00043129283823656935
