pipeline,COST1_seconds,COST500_seconds,COST500_definition
Direct PINN — spectral only,0.0004540690148,0.005446049561,GPU batched wall time
Direct PINN — spectral + modal(801),0.003815484376,0.18697397597,GPU batched wall time
PINN-seeded shooting,255.4382982000243,232408.65649667266,serial-equivalent sum
Classical multistart shooting,244.39573539799312,134618.31210174458,serial-equivalent sum
