Mach,alpha,n_field_rows,has_fields,validation_status,reference_role,cr,ci,omega_i,y_min,y_max,max_abs_p,max_abs_rho,max_abs_u,max_abs_v
1.2,0.1,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.162244,0.1148759999999999,0.0114876,-510.810403954597,510.810403954597,0.6944444444444445,1.0,5.258521890199131,0.5663398989339264
1.2,0.125,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.188716,0.10194448,0.01274306,-469.5081026707285,469.5081026707285,0.6944444444444446,1.0,4.24479428661442,0.5722550532689041
1.2,0.15,4593,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.209251477505801,0.0890539934231143,0.0133580990134671,-272.47456334202644,272.47456334202644,0.6944444444444444,1.0,3.5854074688537385,0.5770369709108305
1.2,0.175,9184,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2259107392431602,0.0762428518157576,0.0133424990677575,-275.68374573004616,275.68374573004616,0.6944444444444445,1.0,3.1294025604032396,0.5816037287943358
1.2,0.1875,4593,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2331694872807306,0.0698658844864319,0.0130998533412059,-282.0355461167926,282.0355461167926,0.6944444444444445,1.0,2.9527816755161593,0.5839742701918792
1.2,0.2,4593,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2398365204931603,0.0634987111907576,0.0126997422381515,-292.083591467628,292.083591467628,0.6944444444444444,1.0,2.8022829467999917,0.5864672497759637
1.2,0.208333,4593,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2439966767431603,0.0592701955657576,0.0123479376528009,-301.1434425752043,301.1434425752043,0.6944444444444445,1.0,2.714832938031274,0.5882160180478561
1.2,0.216667,4593,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2479483075702228,0.055042805686539,0.0119259595796853,-312.5192864559504,312.5192864559504,0.6944444444444444,1.0,2.6367737269928084,0.5900498524806459
1.2,0.225,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.2516039999999999,0.05082992,0.011436732,-544.2946658675909,544.2946658675909,0.6944444444444445,1.0,2.566592176855293,0.5919416728205737
1.2,0.25,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.262116,0.03822,0.009555,-655.4172871861532,655.4172871861532,0.6944444444444444,1.0,2.4235833415716677,0.598485461356079
1.2,0.275,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.271156,0.0257027999999999,0.00706827,-890.5256282798978,890.5256282798978,0.6944444444444446,1.0,2.3776690354588483,0.6062608383860416
1.2,0.3,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.2793559999999999,0.013256,0.0039768,-1590.082686752606,1590.082686752606,0.6944444444444446,1.0,2.491264594827142,0.615949852491135
1.25,0.05,4595,True,validated_visual_smallM_strict_boundary_flag,smallM_low_high_alpha_campaign,0.12004,0.12,0.006,-943.9903118065504,943.9903118065504,0.64,1.0,10.334424780091426,0.5589403512273914
1.25,0.075,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.166756,0.11387584,0.008540688,-687.0796118256011,687.0796118256011,0.64,1.0,6.885144395533444,0.5706275897353611
1.25,0.1,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.197884,0.1025,0.01025,-583.9294749682073,583.9294749682073,0.6400000000000001,1.0,5.180987286506942,0.576425584702508
1.25,0.125,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.221328,0.09088,0.01136,-534.0213847026693,534.0213847026693,0.64,1.0,4.179852910035565,0.5805961267762177
1.25,0.15,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.2399799999999999,0.0791199999999999,0.0118679999999999,-516.287728936843,516.287728936843,0.64,1.0,3.529995064619272,0.5843576695310086
1.25,0.175,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.2552839999999999,0.0672311999999999,0.0117654599999999,-524.839694127239,524.839694127239,0.6399999999999999,1.0,3.0799613949653684,0.5883115500240969
1.25,0.2,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.268116,0.055376,0.0110752,-561.0421205637257,561.0421205637257,0.64,1.0,2.7579823246548574,0.5927959566807508
1.25,0.225,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.2790999999999999,0.04346088,0.009778698,-638.732200468862,638.732200468862,0.64,1.0,2.532053048860551,0.5981483530007867
1.25,0.25,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2550098377696084,0.0304106202499422,0.0076026550624855,-375.9048272415467,375.9048272415467,0.64,1.0,2.315173231094783,0.5825877335695376
1.25,0.275,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.297344,0.01968176,0.005412484,-1163.726520470428,1163.726520470428,0.6399999999999999,1.0,2.413587577041574,0.6127216141017396
1.25,0.3,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.3050400000000001,0.007841408,0.0023524224,-1599.9999999999975,1599.9999999999975,0.6400000000000001,1.0,2.6537599778306267,0.6229909066675465
1.3,0.05,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.16154,0.1092311999999999,0.0054615599999999,-1061.6219782040357,1061.6219782040357,0.591715976331361,1.0,10.134994318027893,0.5692184059586785
1.3,0.075,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.2012,0.1005511999999999,0.0075413399999999,-786.5942103912018,786.5942103912018,0.5917159763313609,1.0,6.735561019740111,0.5760595261847322
1.3,0.1,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2292287978156679,0.0908323489283033,0.0090832348928303,-397.459684499952,397.459684499952,0.5917159763313609,1.0,5.066273629150049,0.5799951361056876
1.3,0.125,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2507322022046491,0.0805622512041191,0.0100702814005148,-362.11201810949495,362.11201810949495,0.5917159763313609,1.0,4.087611231279973,0.5830980556489556
1.3,0.15,9187,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2679464671366972,0.0699190855162764,0.0104878628274414,-350.3540300477276,350.3540300477276,0.591715976331361,1.0,3.452404799062267,0.5862099798879661
1.3,0.1625,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2753741570531295,0.0644937399606446,0.0104802327436047,-351.6707062709757,351.6707062709757,0.5917159763313609,1.0,3.213961659932021,0.5879183290307912
1.3,0.175,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2821847483866972,0.0590180438496097,0.0103281576736816,-357.8509568384181,357.8509568384181,0.5917159763313609,1.0,3.0136446205444996,0.5897929659212703
1.3,0.183333,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.286403134768127,0.0553553184156296,0.0101484565910926,-364.8109605037668,364.8109605037668,0.5917159763313607,1.0,2.8974719972415888,0.5911419088952728
1.3,0.191667,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.290397275393127,0.0516736777906296,0.0099041388010966,-374.4094575633296,374.4094575633296,0.5917159763313609,1.0,2.7931493545777615,0.592586818441131
1.3,0.2,4585,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2727688216788323,0.0467110594036997,0.0093422118807399,-80.0,80.0,0.5917159763313609,1.0,2.6750612064125465,0.5934827541318779
1.3,0.2249999999999999,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2807064105959674,0.0353543235424167,0.0079547227970437,-450.20887727355887,450.20887727355887,0.5917159763313609,1.0,2.490898046058545,0.34226861963218724
1.3,0.25,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.313656,0.0255760799999999,0.0063940199999999,-975.3674346640844,975.3674346640844,0.5917159763313609,1.0,2.405847074682537,0.6062405165740532
1.3,0.275,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.32164,0.0142822399999999,0.003927616,-1592.678627690977,1592.678627690977,0.5917159763313609,1.0,2.4687504986588498,0.6146891524210651
1.33,0.05,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.183116,0.1002196799999999,0.005010984,-1163.1206957503814,1163.1206957503814,0.5653230821414439,1.0,9.981537481500657,0.5716208744918704
1.33,0.075,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.220128,0.0929407999999999,0.0069705599999999,-851.9017748006911,851.9017748006911,0.5653230821414438,1.0,6.630314620607769,0.5768719557621377
1.33,0.1,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.246676,0.0843279999999999,0.0084327999999999,-712.6483619911578,712.6483619911578,0.5653230821414438,1.0,4.988593493107573,0.579978042945503
1.33,0.125,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.26714,0.07484048,0.00935506,-647.873152423342,647.873152423342,0.5653230821414438,1.0,4.024737350359314,0.5825989687459412
1.33,0.15,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.283756,0.06480752,0.009721128,-627.5399363777022,627.5399363777022,0.5653230821414438,1.0,3.4006031199843334,0.5854787673905014
1.33,0.175,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.297344,0.0544744,0.00953302,-643.1773807734435,643.1773807734435,0.5653230821414438,1.0,2.9686853728804863,0.5889141469208886
1.33,0.18,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2771044303979708,0.0508498118838383,0.0091529661390908,-390.7382590933223,390.7382590933223,0.5653230821414438,1.0,2.898555245482475,0.5897139555370771
1.33,0.2,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.3090400000000001,0.0438871199999999,0.0087774239999999,-701.5001785647753,701.5001785647753,0.5653230821414439,1.0,2.6619528724721393,0.5932750971068927
1.33,0.225,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.319,0.0331152,0.00745092,-829.2894447886563,829.2894447886563,0.5653230821414438,1.0,2.4670233781922506,0.5987456378618498
1.4,0.05,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.22848,0.0805311999999999,0.0040265599999999,-1445.6241564579657,1445.6241564579657,0.5102040816326532,1.0,9.57604097800172,0.5712038648865406
1.4,0.075,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.2609,0.0768083199999999,0.0057606239999999,-1023.1087046613414,1023.1087046613414,0.5102040816326532,1.0,6.362831665033629,0.5739101436946494
1.4,0.1,4595,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.283841246397037,0.0425165800223759,0.0042516580022375,-800.0000000000128,800.0000000000128,0.5102040816326532,1.0,4.895107174532034,0.5687470996257808
1.4,0.125,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.303271264704649,0.0535875093459158,0.0066984386682394,-500.0000000000052,500.0000000000052,0.5102040816326532,1.0,3.860575960219442,0.5800494070170398
1.4,0.1375,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3111424049240388,0.0511307865076858,0.0070304831448067,-500.0000000000052,500.0000000000052,0.5102040816326532,1.0,3.5313681486951327,0.5809383797720569
1.4,0.15,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3182275185165742,0.0486740636694557,0.0073011095504183,-493.55080529330667,493.55080529330667,0.5102040816326531,1.0,3.260573134224548,0.5818483781487054
1.4,0.1625,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3246580112197962,0.0462173408312256,0.0075103178850741,-480.743614158174,480.743614158174,0.5102040816326532,1.0,3.034473269980854,0.582810342380126
1.4,0.16875,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.32767268188658,0.0450433791097876,0.0076010702247766,-475.4349217902936,475.4349217902936,0.5102040816326531,1.0,2.9349914763622813,0.583299659064654
1.4,0.175,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3334272163349703,0.0426165444542578,0.0074578952794951,-468.3033218301306,468.3033218301306,0.5102040816326531,1.0,2.868021289748135,0.5810292791563835
1.4,0.18125,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3153193678544234,0.0427209194542578,0.0077431666510842,-464.90488574432607,464.90488574432607,0.5102040816326532,1.0,2.7820348588454995,0.5816695496319902
1.4,0.1875,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3183709082056269,0.0411403935788011,0.0077138237960252,-467.1120660495472,467.1120660495472,0.5102040816326532,1.0,2.70218987306519,0.5824834596408619
1.4,0.19375,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3222828767123289,0.024414084798728,0.0047302289297535,-494.4227389596825,494.4227389596825,0.5102040816326531,1.0,2.6308893439550145,0.29185954073166964
1.4,0.2,4595,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3240857069010081,0.0232528549709631,0.0046505709941926,-800.0000000000128,800.0000000000128,0.510204081632653,1.0,2.6144145578505764,0.5768296691004021
1.4,0.225,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.3503839999999999,0.0255299999999999,0.0057442499999999,-1055.384195172201,1055.384195172201,0.5102040816326532,1.0,2.4180491090546465,0.5936014204361197
1.5,0.05,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.28686,0.05787584,0.002893792,-1599.9999999999975,1599.9999999999975,0.4444444444444444,1.0,8.954968419367379,0.5616730102163571
1.5,0.075,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.313144,0.0581099999999999,0.0043582499999999,-1318.471886883627,1318.471886883627,0.4444444444444443,1.0,5.962002394018297,0.5621708996069978
1.5,0.1,4595,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3293676490936765,0.0460323254563964,0.0046032325456396,-800.0000000000128,800.0000000000128,0.4444444444444444,1.0,4.565953665533904,0.5615538445407748
1.5,0.125,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3492641497157056,0.0487962958623987,0.0060995369827998,-500.0000000000052,500.0000000000052,0.4444444444444445,1.0,3.6407278787651998,0.5642652690711455
1.5,0.1375,9187,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3561293840907055,0.0454370701278998,0.0062475971425862,-500.0000000000052,500.0000000000052,0.4444444444444445,1.0,3.8180450002505117,0.5653171442167051
1.5,0.15,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3623598528407056,0.0418239381434009,0.0062735907215101,-500.0000000000052,500.0000000000052,0.4444444444444445,1.0,3.0868958557799067,0.5666347311032276
1.5,0.15625,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3652797747157056,0.0399391725184009,0.0062404957060001,-500.0000000000052,500.0000000000052,0.4444444444444445,1.0,2.978561411032757,0.5674007939354232
1.5,0.158333,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.2399414062499999,0.0374707031249999,0.0059328488378906,-450.98715490316255,450.98715490316255,0.4444444444444444,1.0,3.412206033570353,0.5497409350724215
1.5,0.1625,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3680825090907056,0.0380056534011514,0.0061759186776871,-500.0000000000052,500.0000000000052,0.4444444444444443,1.0,2.8794675789978283,0.5682429381047497
1.5,0.165625,4594,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3680825090907056,0.0380056534011514,0.0062946863445657,-500.0000000000052,500.0000000000052,0.4444444444444444,1.0,2.8329613424881126,0.5686941688492178
1.5,0.175,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.37346,0.03401088,0.005951904,-979.4115583058074,979.4115583058074,0.4444444444444443,1.0,2.706523261453107,0.5701749476572291
1.5,0.2,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.38286,0.0256451999999999,0.00512904,-1138.8481056828716,1138.8481056828716,0.4444444444444444,1.0,2.444623986943464,0.5750207821315
1.6,0.05,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.3386559999999999,0.0421727999999999,0.0021086399999999,-1599.9999999999975,1599.9999999999975,0.3906249999999999,1.0,8.347950006421552,0.5460713061047122
1.6,0.075,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.359716,0.0444228,0.00333171,-1599.9999999999975,1599.9999999999975,0.390625,1.0,5.573757099864203,0.5456212488041416
1.6,0.1,4595,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3723024463246057,0.0286170504353144,0.0028617050435314,-800.0000000000128,800.0000000000128,0.3906249999999999,1.0,5.0157947099916305,0.5404798816414118
1.6,0.125,4595,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.3875635867175142,0.0251098747521818,0.0031387343440227,-800.0000000000128,800.0000000000128,0.3906249999999999,1.0,4.188355606086017,0.5408736631406947
1.6,0.15,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.401596,0.0323491199999999,0.0048523679999999,-1152.9763685737364,1152.9763685737364,0.3906249999999999,1.0,2.9116293054520526,0.5499161248086171
1.6,0.175,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.411284,0.0255760799999999,0.0044758139999999,-1252.0569839451875,1252.0569839451875,0.3906249999999999,1.0,2.555888475598704,0.5532075237501082
1.7,0.075,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.4008320000000001,0.03473088,0.002604816,-1599.9999999999975,1599.9999999999975,0.3460207612456747,1.0,5.2185565350836445,0.5268285509604991
1.7,0.1,4595,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.4086724851271471,0.0255832924228237,0.0025583292422823,-800.0000000000128,800.0000000000128,0.3460207612456748,1.0,3.9601862557356604,0.5272359160353631
1.7,0.125,4595,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.4192415320846353,0.0221873441527381,0.0027734180190922,-800.0000000000128,800.0000000000128,0.3460207612456747,1.0,3.226002213917413,0.5288929991455349
1.7,0.15,4595,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.4298105790421235,0.0187913958826526,0.0028187093823978,-800.0000000000128,800.0000000000128,0.3460207612456747,1.0,3.8367063309187626,0.5203149794670123
1.7,0.175,4595,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.4403796259996116,0.015395447612567,0.0026942033321992,-800.0000000000128,800.0000000000128,0.3460207612456747,1.0,3.3319464318914327,0.525263946007959
1.7,0.2,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.4525,0.01234064,0.002468128,-1599.9999999999975,1599.9999999999975,0.3460207612456747,1.0,2.30817021623894,0.5345762260722418
1.8,0.07,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.434396576,0.027510992,0.00192576944,-1999.9999999999343,1999.9999999999343,0.3086419753086419,1.0,5.234779893743974,0.5073663118206879
1.8,0.0725,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4356868639999999,0.027642608,0.00200408908,-1999.9999999999343,1999.9999999999343,0.308641975308642,1.0,5.06037680406197,0.5073580616339101
1.8,0.075,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4369730559999999,0.02773224,0.0020799179999999,-1999.9999999999343,1999.9999999999343,0.3086419753086419,1.0,4.897182220222039,0.5073637630214087
1.8,0.0775,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4382428639999999,0.0277911519999999,0.0021538142799999,-1999.9999999999343,1999.9999999999343,0.308641975308642,1.0,4.744997155467401,0.5073807141090986
1.8,0.08,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.439484,0.027816272,0.00222530176,-1999.9999999999343,1999.9999999999343,0.3086419753086419,1.0,4.602786466091957,0.5074095541630128
1.8,0.0825,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.440713576,0.0278117599999999,0.0022944701999999,-1999.9999999999343,1999.9999999999343,0.308641975308642,1.0,4.469454433315272,0.5074507971481584
1.8,0.085,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.441930864,0.0277765279999999,0.0023610048799999,-1999.9999999999343,1999.9999999999343,0.308641975308642,1.0,4.344123152210504,0.5075052044475412
1.8,0.0875,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4431235759999999,0.027708528,0.0024244962,-1999.9999999999343,1999.9999999999343,0.3086419753086418,1.0,4.22610797093976,0.5075731971619677
1.8,0.09,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.444279424,0.027618,0.00248562,-1999.9999999999343,1999.9999999999343,0.3086419753086419,1.0,4.115424846802518,0.5076518610378241
1.8,0.0925,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4454361919999999,0.027504384,0.00254415552,-1999.9999999999343,1999.9999999999343,0.3086419753086419,1.0,4.010886477263148,0.5077376672162937
1.8,0.095,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4465765759999999,0.027360048,0.00259920456,-1973.5662293037856,1973.5662293037856,0.3086419753086419,1.0,3.9112939749323115,0.5077737131068164
1.8,0.0975,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4477005759999999,0.027195232,0.00265153512,-1934.8746853254247,1934.8746853254247,0.308641975308642,1.0,3.8172027217092825,0.5078147484307272
1.8,0.1,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4488,0.027003792,0.0027003792,-1900.124623968229,1900.124623968229,0.3086419753086419,1.0,3.7278459196146305,0.5078616009517373
1.8,0.1025,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.449885,0.0267903199999999,0.0027460077999999,-1868.7911949512088,1868.7911949512088,0.3086419753086419,1.0,3.6430070598075344,0.5079140639008045
1.8,0.105,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.450945424,0.0265604639999999,0.0027888487199999,-1840.313778551412,1840.313778551412,0.3086419753086419,1.0,3.56264726322885,0.5079704173523977
1.8,0.1075,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.45199356,0.0263080799999999,0.0028281185999999,-1814.9836696693983,1814.9836696693983,0.3086419753086419,1.0,3.4860436019478294,0.5080327371721856
1.8,0.11,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.453023264,0.0260311199999999,0.0028634231999999,-1792.822162014802,1792.822162014802,0.3086419753086419,1.0,3.4127845274553206,0.5081011671657072
1.8,0.1125,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.45404784,0.0257398399999999,0.0028957319999999,-1773.0312957674755,1773.0312957674755,0.3086419753086419,1.0,3.3431627407811066,0.5081744293196574
1.8,0.115,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.45504784,0.0254301279999999,0.0029244647199999,-1755.8160242072636,1755.8160242072636,0.3086419753086419,1.0,3.2766571683546624,0.5082521818427721
1.8,0.1175,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.45604784,0.0251081279999999,0.0029502050399999,-1740.6990755180082,1740.6990755180082,0.3086419753086419,1.0,3.213427074541107,0.5083346955688187
1.8,0.12,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.457010976,0.0247636,0.002971632,-1728.3407785558502,1728.3407785558502,0.3086419753086419,1.0,3.1525503579200476,0.5084218315502063
1.8,0.1225,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.457979136,0.0244035599999999,0.0029894360999999,-1718.23978394101,1718.23978394101,0.308641975308642,1.0,3.094406131719056,0.5085148093773291
1.8,0.125,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4589165759999999,0.0240312319999999,0.0030039039999999,-1710.149095647885,1710.149095647885,0.308641975308642,1.0,3.0387299761940567,0.5086106198865715
1.8,0.1275,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.459843776,0.0236425199999999,0.0030144212999999,-1704.3642998150772,1704.3642998150772,0.3086419753086419,1.0,2.985278207775436,0.5087114725752474
1.8,0.13,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.460760736,0.0232415199999999,0.0030213975999999,-1700.6080733008014,1700.6080733008014,0.308641975308642,1.0,2.9340950767560035,0.5088164472014063
1.8,0.1325,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.46166416,0.0228235199999999,0.0030241163999999,-1699.2550477116722,1699.2550477116722,0.308641975308642,1.0,2.884776740861917,0.5089264156452966
1.8,0.135,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.46256144,0.0223932319999999,0.0030230863199999,-1700.0084385798978,1700.0084385798978,0.308641975308642,1.0,2.8374903884081797,0.5090407472757464
1.8,0.1375,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.4634361919999999,0.0219547519999999,0.0030187783999999,-1702.6043160596205,1702.6043160596205,0.3086419753086419,1.0,2.792094826738551,0.5091575025885443
1.8,0.14,4418,True,validated_core_stable_tail_sensitive,M18_M19_extension_core_stable,0.464310944,0.0214998879999999,0.0030099843199999,-1707.7487573689552,1707.7487573689552,0.3086419753086419,1.0,2.7483726801714483,0.5092798944641833
