Mach,alpha,n_field_rows,has_fields,validation_status,reference_role,cr,ci,omega_i,y_min,y_max,max_abs_p,max_abs_rho,max_abs_u,max_abs_v
1.1,0.05,4595,True,validated_visual_smallM_strict_boundary_flag,smallM_low_high_alpha_campaign,0.0,0.04092,0.002046,-1599.9999999999975,1599.9999999999975,0.8264462809917354,1.0,7.99534212935304,0.3900000002046198
1.1,0.075,4595,True,validated_visual_smallM_strict_boundary_flag,smallM_low_high_alpha_campaign,0.0,0.0726408,0.00544806,-737.4151494686861,737.4151494686861,0.8264462809917356,1.0,5.762099661759043,0.41301757384283655
1.1,0.175,4593,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.1508143457011082,0.092213234034898,0.0161373159561071,-271.4908908060447,271.4908908060447,0.8264462809917352,1.0,3.104143451152292,0.5392814303368125
1.1,0.2,4593,True,modal_spectral_validated_with_exported_fields,base_legacy_44,0.1656761547463344,0.0791796566675815,0.0158359313335163,-285.4806875760348,285.4806875760348,0.8264462809917353,1.0,2.78900482758998,0.5462603296379457
1.1,0.225,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.187756,0.06694448,0.015062508,-390.4886453805318,390.4886453805318,0.8264462809917353,1.0,2.560678061122414,0.5532192909070007
1.1,0.25,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.20042,0.05290416,0.01322604,-450.2347702208455,450.2347702208455,0.8264462809917354,1.0,2.400217520799548,0.5606257079225905
1.1,0.275,4594,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.211428,0.03905808,0.010740972,-560.2661477395533,560.2661477395533,0.8264462809917354,1.0,2.3086552992364195,0.5689187617600546
1.1,0.3,4595,True,validated_visual_smallM_strict,smallM_low_high_alpha_campaign,0.221072,0.0253571999999999,0.0076071599999999,-798.3155430726542,798.3155430726542,0.8264462809917353,1.0,2.3045385751053256,0.5785194624692858
1.1,0.325,4595,True,validated_visual_smallM_tail_sensitive,smallM_low_high_alpha_campaign,0.229808,0.0118616,0.00385502,-1588.3754779375536,1588.3754779375536,0.8264462809917353,1.0,2.4709559018806693,0.5902072123538235
1.2,0.05,4595,True,validated_visual_smallM_strict_boundary_flag,smallM_low_high_alpha_campaign,0.0558599999999999,0.12,0.006,-874.8144299076448,874.8144299076448,0.6944444444444445,1.0,10.324383802532413,0.5259482738431247
1.2,0.075,4595,True,validated_visual_smallM_strict_boundary_flag,smallM_low_high_alpha_campaign,0.125256,0.12,0.009,-631.1633860002673,631.1633860002673,0.6944444444444444,1.0,6.958836463413279,0.5559942852622256
