Mach,alpha,line_id,y,p_real,p_imag,p_abs,p_real_norm,p_imag_norm,p_abs_norm,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,reference_cr,reference_ci,reference_omega_i,trusted_spectral,trusted_modal,best_status,source_csv,source_label
1.5,0.1625,M1.50_anchor0.150,-500.0000000000052,0.0014237787594807,0.0017209871086268,0.002233594095624367,0.003203502208831576,0.003872220994410301,0.005025586715154828,0.0032035022088317,0.0038722209944104,0.0010748279916955,0.0012280966662057,-0.001846216465744,-0.0022712360160981,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-456.3933676015728,0.0026054299543717,0.0024070961208736,0.003547164639858439,0.0058622173973363265,0.0054159662719656014,0.00798112043968149,0.0058622173973363,0.0054159662719656,0.0019518113111832,0.0017052452912558,-0.0033868597404455,-0.0031836581775522,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-419.76656194552686,-0.0045991323709456,0.0024927783977796,0.00523124867559518,-0.010348047834627604,0.005608751395004101,0.011770309520089157,-0.0103480478346276,0.0056087513950042,-0.003308564483051,0.0019140092321758,0.0060547675085575,-0.0032144532563357,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-388.5679312706581,0.0071921578364036,-0.0011481831254538,0.007283231345585458,0.016182355131908105,-0.0025834120322710506,0.016387270527567287,0.0161823551319082,-0.0025834120322711,0.0052297572573365,-0.0009845484159019,-0.0094373891925278,0.0014232069478553,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-361.6740144721047,-0.0013230790343567,-0.0095967503454221,0.009687525758598707,-0.0029769278273025757,-0.02159268827719973,0.021796932956847096,-0.0029769278273026,-0.0215926882771997,-0.0011610799254431,-0.0069824902231619,0.0016251907464903,0.0125902783835786,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-338.25137016801773,-0.0077659832986907,-0.00969218005903,0.01241969608695002,-0.01747346242205408,-0.021807405132817505,0.02794431619563755,-0.0174734624220541,-0.0218074051328175,-0.0058688258509307,-0.0069214622911606,0.0100667141412497,0.012788193387937,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-317.66866508955553,-0.005829609777654,-0.0143079058450172,0.015449935916682518,-0.013116621999721504,-0.03219278815128871,0.03476235581253567,-0.0131166219997216,-0.0321927881512888,-0.0045481794598507,-0.0103320152249112,0.0074771421671753,0.0188146125868624,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-299.4389122750392,0.0103824143037632,-0.0156079939735147,0.018745772927576444,0.023360432183467207,-0.03511798644040809,0.04217798908704701,0.0233604321834672,-0.035117986440408,0.0072664832004919,-0.0116105288313606,-0.0137813470253563,0.0203348607040954,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-283.1804479263275,0.0188219052899744,0.0119108802543543,0.022274047391040844,0.04234928690244241,0.026799480572297182,0.050116606629841916,0.0423492869024424,0.0267994805722973,0.0139889389771396,0.0083176426951781,-0.0245289944405806,-0.0158205543210357,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,-268.5899184896134,-0.0222541024483593,0.0134489253954916,0.026002282016691733,-0.050071730508808435,0.03026008213985611,0.058505134537556416,-0.0500717305088086,0.0302600821398562,-0.015981210883915,0.0102744546939781,0.0293132590276996,-0.0173714134096652,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
