alpha,ci_reference,physics_only_seed_1234,physics_only_err_seed_1234,physics_only_seed_2345,physics_only_err_seed_2345,physics_only_seed_3456,physics_only_err_seed_3456,physics_only_seed_std,physics_only_seed_range,ci4_seed_1234,ci4_err_seed_1234,ci4_seed_2345,ci4_err_seed_2345,ci4_seed_3456,ci4_err_seed_3456,ci4_seed_std,ci4_seed_range
0.1,0.6704450642662936,0.006501147,0.6639439172084325,0.0069404137,0.6635046505342119,0.007886564,0.6625584999072247,0.0007079945,0.0013854173,0.10268945,0.5677556117969447,0.103209145,0.567235918899148,0.10269574,0.5677493235069209,0.00029824613,0.0005196929
0.10175,0.6681927056341137,0.006585868,0.6616068375586237,0.0070144143,0.6611782913385595,0.0079269335,0.6602657721667256,0.000684933,0.0013410654,0.103349045,0.5648436607150997,0.10388135,0.5643113539843525,0.10333475,0.5648579583792652,0.00031153686,0.0005466044
0.1035,0.6659679707962864,0.0066724126,0.6592955581735664,0.007089252,0.6588787186782652,0.0079676295,0.6580003413263553,0.0006611718,0.0012952168,0.10401309,0.5619548779804104,0.10455713,0.5614108440358037,0.1039792,0.5619887706715458,0.00032432517,0.00057792664
0.10525,0.6637516209681311,0.006760749,0.6569908719335475,0.0071649128,0.6565867082041481,0.008008647,0.6557429741893688,0.0006367213,0.0012478977,0.10468153,0.5590700918634215,0.105236486,0.5585151353676596,0.10462915,0.5591224694450179,0.0003365449,0.0006073341
0.107,0.6615135172142002,0.00685087,0.6546626473537001,0.0072413883,0.6542721288970026,0.008049986,0.6534635308889958,0.0006115848,0.0011991165,0.105354406,0.5561591112746211,0.10591942,0.5555940964950534,0.10528455,0.5562289679182979,0.00034813394,0.0006348714
0.10875,0.6592978674714728,0.0069427486,0.6523551189136966,0.007318664,0.6519792035949691,0.008091649,0.651206218430893,0.0005857745,0.0011489005,0.106031686,0.5532661814038916,0.10660591,0.5526919577067061,0.1059455,0.5533523697202368,0.00035900448,0.000660412
0.1105,0.6570707166354857,0.0070363497,0.6500343668993316,0.0073967287,0.6496739879037938,0.008133642,0.6489370742600165,0.00055930996,0.0010972926,0.10671344,0.5503572800915442,0.10729598,0.5497747340958319,0.10661189,0.5504588240544996,0.00036915447,0.00068408996
0.11225,0.654891099747569,0.007131646,0.6477594538259512,0.0074755666,0.6474155331629521,0.008175966,0.6467151334176964,0.00053220394,0.0010443204,0.10739961,0.5474914870823926,0.10798961,0.5469014905060834,0.10728381,0.5476072914566106,0.0003785194,0.00070580095
0.114,0.6526700160705048,0.0072286096,0.6454414064303535,0.007555174,0.6451148418948549,0.008218611,0.6444514054112631,0.00050446246,0.000990001,0.10809022,0.5445797941886383,0.108686805,0.5439832112990814,0.10796122,0.5447087935410935,0.00038708776,0.00072558224
0.11575,0.6504833521819433,0.007327186,0.6431561662382206,0.007635524,0.6428478281511685,0.008261586,0.6422217665738186,0.00047611765,0.00093439966,0.10878529,0.5416980656361898,0.10938753,0.5410958203053793,0.10864411,0.5418392392373403,0.00039482088,0.00074341893
0.1175,0.6482854483606396,0.007427349,0.6408580991396783,0.0077166012,0.6405688471118091,0.008304896,0.639980552527505,0.00044718475,0.0008775466,0.10948478,0.5388006715061245,0.11009183,0.538193620550829,0.1093325,0.5389529464723645,0.00040172014,0.0007593259
0.11925,0.6461129225572563,0.007529041,0.6385838817587114,0.0077984026,0.6383145199870682,0.008348535,0.6377643877422429,0.00041768642,0.000819494,0.11018872,0.5359241999467826,0.11079969,0.5353132299860931,0.110026404,0.5360865182956672,0.0004077594,0.0007732883
0.121,0.6439440552784218,0.0076322104,0.6363118448933675,0.007880893,0.6360631626738323,0.008392505,0.6355515499306931,0.0003876508,0.00076029496,0.1108971,0.5330469538165344,0.111511074,0.5324329812718643,0.110725746,0.5332183097196831,0.00041292977,0.00078532845
0.12275,0.6417718152270364,0.007736803,0.6340350121945786,0.0079640765,0.6338077387527274,0.008436811,0.6333350040704655,0.00035710473,0.0007000081,0.111609906,0.5301619092688608,0.11222599,0.5295458282098817,0.11143055,0.5303412670955705,0.00041722256,0.0007954389
0.1245,0.6396128288133937,0.007842773,0.6317700561731058,0.0080479225,0.6315649062990146,0.008481455,0.631131373777886,0.00032607568,0.0006386824,0.11232714,0.5272856852634745,0.11294442,0.5266684121116,0.1121408,0.5274720317347842,0.00042062564,0.0008036196
0.12625,0.6374339617120607,0.00795005,0.629483911887048,0.008132411,0.6293015505450351,0.00852643,0.6289075312467797,0.0002945962,0.00057638064,0.11304881,0.5243851549255235,0.11366637,0.5237675912010057,0.11285645,0.5245775140153749,0.0004231552,0.0008099228
0.128,0.6353132596819545,0.008058576,0.6272546837686445,0.008217534,0.6270957256316091,0.008571741,0.6267415185107733,0.00026270037,0.00051316526,0.11377485,0.5215384087174083,0.114391804,0.5209214559404994,0.113577545,0.521735714992776,0.00042477017,0.00081425905
0.12975,0.6331427310748242,0.008168283,0.6249744481561922,0.008303267,0.6248394641248726,0.008617386,0.6245253448529385,0.00023042908,0.0004491033,0.114505306,0.5186374251885556,0.115120724,0.5180220072312497,0.114303954,0.5188387771291875,0.00042551832,0.0008167699
0.1315,0.6310156109577442,0.008279104,0.6227365071719909,0.008389593,0.6226260178557063,0.008663371,0.6223522397524143,0.00019783148,0.00038426742,0.11524015,0.5157754617577816,0.11585317,0.5151624428874279,0.11503569,0.5159799205905223,0.00042541456,0.0008174777
0.13325,0.6288806261800914,0.008390968,0.6204896584459334,0.008476491,0.6204041350939065,0.008709697,0.620170929127255,0.0001649685,0.00031872932,0.11597928,0.5129013495825916,0.116589054,0.5122915717147976,0.11577273,0.5131078945778995,0.0004244355,0.00081632286
0.135,0.6267443722321759,0.008503799,0.6182405729054581,0.008563944,0.6181804280935894,0.008756359,0.6179880131243836,0.00013192634,0.00025255978,0.11672281,0.5100215649440061,0.11732843,0.5094159445001851,0.116515085,0.5102292871310483,0.0004225815,0.00081334263
0.13675,0.6246131451046529,0.00861753,0.6159956154590908,0.008651929,0.6159612161284748,0.008803364,0.6158097812151971,9.886878e-05,0.00018583424,0.117470615,0.5071425304925504,0.118071206,0.5065419391906324,0.11726262,0.5073505283510747,0.00041987884,0.00080858916
0.1385,0.6225037437595299,0.008732077,0.6137716670252255,0.008740429,0.6137633149243763,0.008850702,0.613653041674929,6.620916e-05,0.00011862535,0.11822272,0.5042810228384903,0.118817404,0.5036863398469856,0.11801533,0.5044884171999863,0.00041633088,0.00080207735
0.14025,0.6203972855703861,0.008847368,0.6115499176206023,0.0088294195,0.6115678660692603,0.008898392,0.6114988932507068,3.57838e-05,6.897282e-05,0.118979044,0.5014182413117916,0.119567074,0.50083021168876,0.118773155,0.501624130656007,0.00041200256,0.00079391897
0.142,0.6182901365154408,0.008963323,0.609326813317182,0.0089188805,0.6093712560304426,0.008946415,0.6093437214785241,2.243209e-05,4.4442713e-05,0.11973963,0.49855050718718996,0.12032008,0.4979700548046254,0.119536065,0.4987540719502591,0.00040682644,0.00078401715
0.14375,0.6161784058808899,0.00907987,0.6070985360443211,0.009008799,0.6071696071326351,0.008994784,0.6071836216747379,4.5619938e-05,8.508563e-05,0.12050434,0.49567406386133195,0.12107643,0.49510197848077775,0.120304,0.49587440252300263,0.00040084415,0.00077242404
0.1455,0.6140849478512641,0.00919692,0.6048880275308725,0.009099136,0.6049858117445942,0.009043501,0.6050414470925566,7.766875e-05,0.00015341956,0.1212732,0.4928117506175872,0.121836185,0.49224876239594184,0.12107686,0.49300808831747733,0.00039414043,0.0007593259
0.14725,0.6119696796455588,0.009314403,0.6026552767076697,0.009189896,0.6027797833600249,0.009092548,0.6028771317147817,0.00011120421,0.000221855,0.12204618,0.48992349957611225,0.122599244,0.489370435527822,0.12185463,0.49011504655267857,0.00038665568,0.000744611
