status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit,p_rel_l2_core40,u_rel_l2_core40,v_rel_l2_core40,oracle_p_rel_l2_core40,oracle_u_rel_l2_core40,oracle_v_rel_l2_core40,retry_required
COMPLETED,,1.05,0.05,3.9623304327421566e-10,0.0216720758392142,-0.0204931274056434,0.0254718326032161,0.0208424192110613,0.0,0.0195068725943566,1e-06,0.0554718326032161,False,Maximum number of function evaluations has been exceeded.,3.8529715338679394e-08,0.0216720601405729,4.1238450617550625e-08,0.0208424595674792,0.0005141204456429,5.6758980342569485e-09,90579.57745892771,0.2020387500524521,14.219644323922694,80,81,2,7.187971172886719e-07,1.1822611132680946e-06,8.445358268799299e-07,7.446372989001354e-07,1.208225518745711e-06,7.526410358989234e-07,False
COMPLETED,,1.05,0.055,4.874110988424948e-10,0.0242070753369968,-0.0178495496511459,0.0268959738314151,0.0180509449963747,0.0,0.0221504503488541,1e-06,0.0568959738314151,False,Maximum number of function evaluations has been exceeded.,4.8268973084561875e-08,0.0242070768701017,4.78061510324336e-08,0.0180509920164648,0.0003895882402508,7.035210136446442e-09,55376.915926437374,0.1852390682324767,15.294568244367838,80,81,1,9.054457687290457e-07,1.22965054434256e-06,9.73657737433232e-07,9.069254760728964e-07,1.260655737468644e-06,9.16754575223998e-07,False
COMPLETED,,1.05,0.06,4.818920439745717e-10,0.026850382922755,-0.0149231255054473,0.0286069195717573,0.015026147551295,0.0,0.0250768744945527,1e-06,0.0586069195717573,False,Maximum number of function evaluations has been exceeded.,5.7096188774289755e-08,0.0268503974495145,5.8448313376432075e-08,0.0150262020792914,0.0002692942291618,9.070314436450512e-09,29689.62443899585,0.1834287224337458,14.71443864516914,80,81,1,1.1048523193685251e-06,1.3210420045046504e-06,1.1411631019908683e-06,1.0874236421336666e-06,1.342576155764089e-06,1.0996280730252254e-06,False
COMPLETED,,1.05,0.065,5.69640621572975e-10,0.0296177538519902,-0.0116932839155197,0.0306350868195295,0.0117374557898095,0.0,0.0283067160844803,0.0006350868195294,0.0606350868195295,False,Maximum number of function evaluations has been exceeded.,6.445004163061722e-08,0.0296177432987618,6.474624515343412e-08,0.011737520344503,0.000163198276647,1.0498286313545072e-08,15545.230123555208,0.1793603850528597,14.414441310800612,80,81,1,1.264210792784008e-06,1.432688004018602e-06,1.3990948471707605e-06,1.2867785151027546e-06,1.4549299419733068e-06,1.301920920746142e-06,False
COMPLETED,,1.05,0.07,4.743779014405197e-10,0.0325278215395402,-0.0081394165754318,0.0330083817243576,0.0081535911107906,0.0,0.0318605834245682,0.0030083817243575,0.0630083817243576,False,Maximum number of function evaluations has been exceeded.,3.9208310165975314e-08,0.0325278298290532,3.9611027952832645e-08,0.0081536292888241,7.97994577013752e-05,6.639728404426461e-09,12018.482209027688,0.1790021751075983,14.27763354871422,80,81,1,1.507935055655891e-06,1.5795566173633654e-06,1.514590071600551e-06,1.5056591032190156e-06,1.5957202717311774e-06,1.5243403429613718e-06,False
COMPLETED,,1.05,0.075,3.8536165476661847e-10,0.0356029301043054,-0.004243217408657,0.0357492268085479,0.0042457390373348,0.0,0.035756782591343,0.0057492268085478,0.0657492268085478,False,Maximum number of function evaluations has been exceeded.,4.8079364070232855e-08,0.0356029449039988,4.9937448787315255e-08,0.0042457861930894,2.488067815473544e-05,8.53400917738047e-09,2915.4735643690283,0.1772998496890068,14.15968845039606,80,81,1,1.7572231940377e-06,1.761133784036899e-06,1.7530757575952035e-06,1.749728134038528e-06,1.7720418287464345e-06,1.772710343488158e-06,False
COMPLETED,,1.05,0.08,3.0085735893864327e-10,0.03887030128094,7.562339305877685e-06,0.0388709791004657,7.592355682282607e-06,0.0,0.0400075623393058,0.0088709791004657,0.0688709791004656,False,Maximum number of function evaluations has been exceeded.,5.62973773749636e-08,0.0388702861779173,5.7997513294865015e-08,7.537957753298035e-06,1.308371064686268e-06,1.0018824051037529e-08,130.59128077518994,0.176239606924355,14.108672350645064,80,81,1,1.9704359810663047e-06,1.9354081462861813e-06,2.088418062237451e-06,2.003085360970547e-06,1.959685116924391e-06,2.030819284018977e-06,False
COMPLETED,,1.05,0.085,2.2233667796181407e-10,0.0423637176862112,0.0046151578426361,0.042374599725008,0.0046151704496124,0.0,0.0446151578426361,0.0123745997250079,0.072374599725008,False,Maximum number of function evaluations has been exceeded.,6.278104015388504e-08,0.0423637209353839,6.264302438288018e-08,0.0046151078834227,0.0007879502119895,1.0835888873479924e-08,72716.71213959767,0.1754485964775085,14.005039136856794,80,81,1,2.275786680152798e-06,2.1646357446552423e-06,2.3331926920165884e-06,2.2913063875508204e-06,2.1783052471529577e-06,2.3250857902292616e-06,False
COMPLETED,,1.05,0.09,1.56395609562825e-10,0.0461260301076705,0.0095682591199874,0.0462456010282039,0.0095690060507553,0.0,0.0495682591199874,0.0162456010282039,0.0762456010282039,False,Maximum number of function evaluations has been exceeded.,5.8695212122941716e-08,0.0461260199759697,5.9409127241203554e-08,0.0095689476431174,0.0015999688763458,1.0182995624947141e-08,157121.6305372996,0.1755095301195979,13.96588224824518,80,81,1,2.5636761831066213e-06,2.405707952847658e-06,2.665200304339382e-06,2.593082558665451e-06,2.429622744242223e-06,2.6336144283442853e-06,False
COMPLETED,,1.05,0.095,4.0200318217775485e-10,0.0502130418038415,0.0148402005434036,0.0504525415599346,0.0148421326085569,0.0,0.0548402005434036,0.0204525415599346,0.0804525415599346,False,Maximum number of function evaluations has been exceeded.,1.4794366528202152e-07,0.0502130309650017,1.479392527434701e-07,0.0148419852610115,0.0024009332270824,2.4893277329970326e-08,96449.06113634964,0.1749360039830207,13.881375015713274,80,81,1,2.8819007059728963e-06,2.695002014654176e-06,3.105193305134392e-06,2.911701943755951e-06,2.688224739309721e-06,2.9599627031887363e-06,False
