chart_id,point_index,Mach,eta,alpha,field_family,gep_regime,N,mapping_kind,mapping_scale,xi_max,continuation_required,technical_success,reference_success,selection_error,reference_error,ci_ref_diagnostic,ci_pred_diagnostic,ci_pinn,n_raw_eigenvalues,n_physically_admissible_modes,scalar_gep_raw_index,scalar_gep_cr,scalar_gep_ci,scalar_gep_omega_i,scalar_gep_distance,scalar_gep_ci_weight,ci_classic,gep_p_rel_classic,gep_rho_rel_classic,gep_u_rel_classic,gep_v_rel_classic,gep_p_overlap_classic,ci_ref,ci_pinn_abs_err_classic,ci_pinn_scaled_err_classic,scalar_gep_ci_abs_err_classic,scalar_gep_ci_scaled_err_classic,ci_pinn_abs_err,ci_pinn_scaled_err,ci_gep_abs_err,ci_gep_scaled_err,p_overlap_final,p_overlap_defect,p_rel_final,rho_rel_final,u_rel_final,v_rel_final,modal_rel_max,ci_under_1pct,overlap_under_1pct,joint_under_1pct,selected_M
HM1_NEUTRAL2,7,0.85,0.8600000000000001,0.4530331113726679,pq_etaaware,standard_N301,301,pin,5.0,0.98,False,True,True,,,0.0626312040520813,0.0626310487999152,0.0626310487999152,901,170,554,8.625097020997156e-14,0.0626467355021743,0.0283810455018906,3.137340451819792e-05,2.0,0.0626280720342447,5.961933616338128e-05,5.961933616338075e-05,0.0009526485207404,7.438721513326308e-05,0.9999999982227674,0.0626280720342447,2.9767656704871026e-06,4.753085275975635e-05,1.8663467929586064e-05,0.0002980048295176,2.9767656705009804e-06,4.7530852759978e-05,1.8663467929599945e-05,0.0002980048295179,0.9999999982227674,1.7772325833220746e-09,5.961933616338128e-05,5.961933616338075e-05,0.0009526485207404,7.438721513326308e-05,0.0009526485207404,True,True,True,0.85
HM1_NEUTRAL2,8,0.85,0.905,0.4767383323165865,pq_etaaware,standard_N301,301,pin,5.0,0.98,False,True,True,,,0.0418343894018106,0.0407612963690222,0.0407612963690222,901,173,554,-2.649825133625091e-13,0.0418430076703567,0.0199481656958759,0.0021634226026689,2.0,0.0418640709763747,6.882699819075947e-05,6.882699819075841e-05,0.0011351600029044,8.283789497185741e-05,0.9999999976314222,0.0418640709763747,0.0011027746073525,0.022055492147051,2.106330601808065e-05,0.0004212661203616,0.0011027746073525,0.02205549214705,2.1063306017997385e-05,0.0004212661203599,0.9999999976314222,2.3685777783555295e-09,6.882699819075947e-05,6.882699819075841e-05,0.0011351600029044,8.283789497185741e-05,0.0011351600029044,True,True,True,0.85
HM1_NEUTRAL3,6,0.85,0.9275,0.4885909427885458,pq_etaaware,near_neutral_N401,401,pin,5.0,0.98,True,True,True,,,0.0316874624156312,0.0332693044890238,0.0332693044890238,1201,180,746,2.1737906419338986e-12,0.0316874725262984,0.0154822120762103,0.0031636639254507,2.0,0.0316973604073029,3.749611204676521e-05,3.749611204676866e-05,0.0007365019470313,4.34272210428865e-05,0.9999999992970208,0.0316973604073029,0.0015719440817208,0.0314388816344173,9.887881004491672e-06,0.0001977576200898,0.0015719440817208,0.0314388816344179,9.887881004498613e-06,0.0001977576200899,0.9999999992970208,7.029792303825387e-10,3.749611204676521e-05,3.749611204676866e-05,0.0007365019470313,4.34272210428865e-05,0.0007365019470313,True,True,True,0.85
HM1_NEUTRAL3,7,0.85,0.95,0.5004435532605052,pq_etaaware,near_neutral_N401,401,pin,5.0,0.98,True,True,True,,,0.0216856384620308,0.0216856523086743,0.0216856523086743,1201,238,748,-3.2776417773419026e-12,0.0215376686765314,0.0107783874414309,0.0002959672642857,2.0,0.0216870705699768,0.0002035120836167,0.0002035120836167,0.0009977838627478,0.0003694914332857,0.9999999792914156,0.0216870705699768,1.418261302444518e-06,2.836522604889036e-05,0.0001494018934453,0.0029880378689063,1.418261302500029e-06,2.836522605000058e-05,0.0001494018934454,0.002988037868908,0.9999999792914156,2.0708584402839847e-08,0.0002035120836167,0.0002035120836167,0.0009977838627478,0.0003694914332857,0.0009977838627478,True,True,True,0.85
HM1_NEUTRAL3,8,0.85,0.9725,0.5122961637324646,pq_etaaware,near_neutral_N401,401,pin,5.0,0.98,True,True,True,,,0.0118518338204779,0.0105640341100538,0.0105640341100538,1201,174,747,-3.614990714875599e-11,0.0103026777231242,0.0052780222737284,0.0005227127738592,2.0,0.0118354192896772,0.0020407298102574,0.0020407298102574,0.0055168659436241,0.0037634320623696,0.9999979177087528,0.0118354192896772,0.0012713851796233,0.0254277035924677,0.001532741566553,0.0306548313310601,0.0012713851796234,0.025427703592468,0.0015327415665529,0.0306548313310599,0.9999979177087528,2.0822912472073796e-06,0.0020407298102574,0.0020407298102574,0.0055168659436241,0.0037634320623696,0.0055168659436241,False,True,False,0.85
HM2_NEUTRAL2,4,0.915,0.8600000000000001,0.34697030132275,pq_etaaware,standard_N301,301,pin,5.0,0.98,False,True,True,,,0.0630866737284247,0.063011441853775,0.0630114418537751,901,167,588,-2.791101059235136e-13,0.0631392244791719,0.021907435742823,0.0002555652507937,2.0,0.0630826320866409,0.0001183909107909,0.0001183909107909,0.0007485338961312,0.0002153418245999,0.9999999929917962,0.0630826320866409,7.11902328658226e-05,0.0011285235018102,5.6592392531029656e-05,0.0008971152702268,7.119023286580872e-05,0.00112852350181,5.65923925310019e-05,0.0008971152702264,0.9999999929917962,7.008203795066947e-09,0.0001183909107909,0.0001183909107909,0.0007485338961312,0.0002153418245999,0.0007485338961312,True,True,True,0.915
HM2_NEUTRAL2,5,0.915,0.905,0.3651257240663823,pq_etaaware,standard_N301,301,pin,5.0,0.98,False,True,True,,,0.0408077775008105,0.036250183185988,0.036250183185988,901,134,591,7.587051067632866e-13,0.0408095429153272,0.0149006139057769,0.0091187194586784,2.0,0.0407925422499236,6.566226217876518e-05,6.566226217876723e-05,0.0008676034010377,8.931335906839068e-05,0.9999999978442335,0.0407925422499236,0.0045423590639356,0.0908471812787135,1.7000665403561765e-05,0.0003400133080712,0.0045423590639355,0.0908471812787119,1.70006654036034e-05,0.000340013308072,0.9999999978442335,2.1557664542370958e-09,6.566226217876518e-05,6.566226217876723e-05,0.0008676034010377,8.931335906839068e-05,0.0008676034010377,True,True,True,0.915
HM2_NEUTRAL3,3,0.915,0.9275,0.3742034354381984,pq_etaaware,near_neutral_N401,401,pin,5.0,0.98,True,True,True,,,0.0303151703618194,0.0303826073692417,0.0303826073692417,1201,182,788,-3.660784742544166e-12,0.0303281459145535,0.0113488963916969,0.0001089229093764,2.0,0.0303361343908431,4.1684449894176576e-05,4.168444989417342e-05,0.0005688424116817,4.777645598493348e-05,0.9999999991312036,0.0303361343908431,4.647297839862827e-05,0.0009294595679725,7.98847628959154e-06,0.0001597695257918,4.647297839859704e-05,0.0009294595679719,7.988476289601948e-06,0.000159769525792,0.9999999991312036,8.687963681808241e-10,4.1684449894176576e-05,4.168444989417342e-05,0.0005688424116817,4.777645598493348e-05,0.0005688424116817,True,True,True,0.915
HM2_NEUTRAL3,4,0.915,0.95,0.3832811468100145,pq_etaaware,near_neutral_N401,401,pin,5.0,0.98,True,True,True,,,0.0203772381112826,0.0155151081379018,0.0155151081379018,1201,187,790,-1.6416646530167496e-11,0.0201483998487538,0.007722501800417,0.009266583421704,2.0,0.0203808632667593,0.0005860646440155,0.0005860646440155,0.001211521259959,0.0009272888574645,0.9999998282641016,0.0203808632667593,0.0048657551288574,0.0973151025771497,0.0002324634180054,0.0046492683601095,0.0048657551288575,0.09731510257715,0.0002324634180055,0.00464926836011,0.9999998282641016,1.7173589839103445e-07,0.0005860646440155,0.0005860646440155,0.001211521259959,0.0009272888574645,0.001211521259959,True,True,True,0.915
HM2_NEUTRAL3,5,0.915,0.9725,0.3923588581818307,pq_etaaware,near_neutral_N401,401,pin,5.0,0.98,True,True,True,,,0.0109122660813149,0.0083875076383871,0.0083875076383871,1201,231,790,-1.2926612488913158e-10,0.0088528476037699,0.0034734931774729,0.0009306799307654,2.0,0.0109102861930065,0.0052618830498114,0.0052618830498114,0.0091082771575715,0.0082220933482269,0.9999861561975596,0.0109102861930065,0.0025227785546193,0.0504555710923869,0.0020574385892366,0.0411487717847321,0.0025227785546193,0.0504555710923879,0.0020574385892366,0.041148771784732,0.9999861561975596,1.3843802440405284e-05,0.0052618830498114,0.0052618830498114,0.0091082771575715,0.0082220933482269,0.0091082771575715,False,True,False,0.915
