alpha,Mach,reference_cr,reference_ci,reference_omega_i,line_id,best_status,best_stage1_mismatch,best_stage2_mismatch,best_spectral_success,best_mode_success,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,source_csv,source_label,source_group
0.216667,1.2,0.2479483075702228,0.055042805686539,0.0119259595796853,M1.20_anchor0.200,validated,3.013401433885299e-06,6.794823364852447e-20,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.2249999999999999,1.2,0.1,0.04,0.0152938476562499,M1.20_a0.22500,validated,0.0422707623152899,3.405268286504533e-19,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.25,1.2,0.1,0.04,0.0113372395833333,M1.20_a0.25000,validated,0.0199973962249527,2.538323406167351e-19,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.275,1.2,0.0,0.015,1.9319161120756164e-06,M1.20_a0.27500,validated,0.04483593641864,5.4344627760675496e-27,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.3,1.2,0.0,0.015,2.433216386959877e-06,M1.20_a0.30000,mode_only,0.1042456411678123,2.5630090810630677e-27,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.1,1.25,0.1,0.04,0.0067972656249999,M1.25_a0.10000,validated,0.0043377235595428,4.948240468525528e-25,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_lowbranch_a0250_a0275_boxrobust_candidates.csv,supersonic_shooting_core_band_M18_lowbranch_a0250_a0275_boxrobust_candidates,shooting
0.2,1.25,0.2338874746306954,0.0545136985789133,0.0110785209657826,36,,0.0013984894182079,7.501610892238691e-20,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_map_a020_m120_130_summary.csv,supersonic_shooting_ci_map_a020_m120_130_summary,shooting
0.25,1.25,0.0,0.015,2.027680322466564e-06,M1.25_a0.25000,mode_only,0.0601125310827664,8.590695257856819e-28,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_candidates.csv,supersonic_shooting_point_batch_core_v2_candidates,shooting
0.2,1.275,0.2311746944151748,0.050919975576394,0.0104691513652788,36,,0.0070049502574436,6.816256800923164e-21,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_map_a020_m120_130_summary.csv,supersonic_shooting_ci_map_a020_m120_130_summary,shooting
0.1,1.3,0.2292287978156679,0.0908323489283033,0.0090832348928303,M1.30_anchor0.175,validated,1.804350463478206e-06,6.609309114153527e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.125,1.3,0.2507322022046491,0.0805622512041191,0.0100702814005148,M1.30_anchor0.175,validated,8.48044792429182e-07,1.4640677329075317e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.15,1.3,0.2679464671366972,0.0699190855162764,0.0104878628274414,M1.30_anchor0.175,validated,2.48584615768089e-06,5.4148242835433054e-20,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.1625,1.3,0.2753741570531295,0.0644937399606446,0.0104802327436047,M1.30_anchor0.175,validated,3.525295246738324e-06,3.76409257947918e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.175,1.3,0.2821847483866972,0.0590180438496097,0.0103281576736817,M1.30_anchor0.175,validated,2.234820388918325e-06,1.157558020111278e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.183333,1.3,0.286403134768127,0.0553553184156296,0.0101484565910926,M1.30_anchor0.175,validated,5.897737531703279e-07,1.5236565398847437e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.191667,1.3,0.290397275393127,0.0516736777906296,0.0099041388010966,M1.30_anchor0.175,validated,3.697097577497154e-06,1.8110070860450328e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.2,1.3,0.0,0.015,1.204568343299897e-06,M1.30_a0.20000,validated,0.0305921661403729,7.580953299173923e-28,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M13_candidates.csv,supersonic_shooting_core_band_M13_candidates,shooting
