Mach,alpha,reference_cr,reference_ci,reference_omega_i,trusted_spectral,trusted_modal,best_status,best_stage1_mismatch,best_stage2_mismatch,source_label,source_csv,line_id
1.6,0.1,0.1,0.04,0.0029117673828124,False,False,validated,0.010372068730472,7.9348249071463715e-19,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.1,0.04,0.0029970703125,False,False,validated,0.0103527605122017,9.423295508754504e-19,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.1,0.04,0.0031984375,False,False,validated,0.0103114202637071,1.316083382360748e-18,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.18,0.055,0.0025029296874999,False,False,validated,0.0155590835825417,2.956153718131454e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.18,0.055,0.0039970703124999,False,False,validated,0.0102003838213143,2.124005636256741e-18,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.26,0.07,0.004248046875,False,False,validated,7.662041397588015e-06,2.0574948843842847e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.34,0.085,0.004248046875,False,False,validated,3.2482630237444154e-06,2.150212724337652e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.26,0.07,0.004248046875,False,False,validated,2.6347873033351866e-06,2.2044498934115834e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.34,0.085,0.004248046875,False,False,validated,2.6347873033351866e-06,2.2044498934115834e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.34,0.085,0.004248046875,False,False,validated,2.6347872309537182e-06,2.203777401007252e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.18,0.055,0.004248046875,False,False,validated,5.623863490030717e-06,2.2830948055433646e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042482954823754,False,False,validated,5.929066422581415e-06,2.0891215282661092e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042482954823754,False,False,validated,3.225860157242208e-06,2.1445445578748607e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042482954823754,False,False,validated,2.2679020551548303e-06,2.17343155734629e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042482954823754,False,False,validated,3.361450878605951e-06,2.2430779127845352e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.26,0.07,0.0042490234375,False,False,validated,7.314974525548064e-06,2.0689193739606262e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.26,0.07,0.0042490234375,False,False,validated,1.3225829670723574e-06,2.2188803731829467e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.18,0.055,0.0042490234374999,False,False,validated,5.14126045492387e-06,2.295646568937108e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042494003560314,False,False,validated,5.567160639107165e-06,2.103092804708973e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042494003560314,False,False,validated,2.499678825073865e-06,2.1601418575538412e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042494003560314,False,False,validated,9.930732886538658e-07,2.188758854416754e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042494003560314,False,False,validated,2.672358531312087e-06,2.2529589786695234e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.18,0.055,0.0042494791666666,False,False,validated,5.062666459884452e-06,2.3068093454771912e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042497258768647,False,False,validated,5.561006226093902e-06,2.104683835219184e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042497258768647,False,False,validated,2.486105318194262e-06,2.1648046248407707e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042497258768647,False,False,validated,9.584841693477482e-07,2.193320849061776e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0042497258768647,False,False,validated,2.659660869827208e-06,2.2615392444170732e-20,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.34,0.085,0.004271484375,False,False,validated,0.0010295652826837,3.0347465490396223e-19,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
1.6,0.1,0.1,0.04,0.0024015625,False,False,validated,0.0170350680395864,5.4385230123811476e-21,supersonic_shooting_core_band_M16_candidates,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,M1.60_a0.10000
