chart_id,field_family,n,compat_L2_rel,ode_L2_rel,ode_abs_rms,ode_abs_p95
ETAEDGE_HM1,pQscaled,3475.0,0.0010238384556689993,1.069319120927362,0.0003885691819454054,0.0009389264418000983
ETAEDGE_HM2A,pQscaled,3609.0,0.0011564928005886772,1.0451235469002345,0.00021302016687870426,0.0004992382276188225
ETAEDGE_HM2B,pQscaled,3757.0,0.0017246517787947934,1.0185367516383554,9.929605663888714e-05,0.0002122551830019462
ETAEDGE_LM,pQscaled,3135.0,0.0013597788597775708,0.9763562885618936,0.0010699542166080452,0.0024786607912954586
ETAEDGE_MM,pQscaled,3200.0,0.0012349216356075218,1.058890594580412,0.0008040982392017395,0.0019482182292327088
HIGH_HIM,pq_legacy,1032.0,0.004413977696462219,0.045684690099328976,0.01085762274595577,0.02149694936966239
HIGH_LOWM_COMPACTY,pq_legacy,2056.0,0.003219720472820133,0.025001842556243534,0.008939239961303184,0.019208792388343224
HM1_HIGH,pq_etaaware,2047.0,0.002207131720252191,0.027360198969913062,0.003211790585971148,0.006277901815750567
HM1_LOW,pq_etaaware,2217.0,0.001895578743723914,0.07208393147832164,0.003990235448268004,0.0084078963614777
HM1_MID,pq_etaaware,1882.0,0.00225034530622028,0.04846014053154661,0.003972235976554176,0.00795140994271694
HM1_NEUTRAL1,pq_etaaware,1789.0,0.0016310824984851345,0.02851808809669458,0.0044317693264081396,0.009221968924976995
HM1_NEUTRAL2,pq_etaaware,1835.0,0.0016323938799639784,0.018555745046911737,0.003759005611156503,0.007570719264996909
HM1_NEUTRAL3,pq_etaaware,1709.0,0.0021904160387777203,0.01135575197821783,0.002754592559780783,0.005603783753293058
HM1_VLOW_EXTREME,pQscaled,3427.0,0.00240036693032593,0.8538954890483126,0.001759739138656704,0.00406122091695442
HM1_VLOW_MOD,pQscaled,2441.0,0.002008848306441436,0.0460724937816328,0.0011617985129694299,0.0018983273899710264
HM2_HIGH,pq_etaaware,2354.0,0.0017029105423200979,0.06425737864423856,0.0031475396026478066,0.005416903565935514
HM2_LOW,pq_etaaware,3975.0,0.004739505350132188,0.2996529987944637,0.004329188301033681,0.00949439791265271
HM2_MID,pq_etaaware,1663.0,0.00228060766093202,0.0999980295345616,0.003990412996651292,0.008185346622678034
HM2_NEUTRAL1,pq_etaaware,2156.0,0.0021669015867205117,0.06806211811777868,0.004009019888369638,0.0072631702348817
HM2_NEUTRAL2,pq_etaaware,2581.0,0.0026424565985952524,0.05944612970862761,0.0040390614343392825,0.0072565831053531
