chart_id,field_family,n,compat_L2_rel,ode_L2_rel,ode_abs_rms,ode_abs_p95
HM2_NEUTRAL3,pq_etaaware,3085.0,0.003262045317400756,0.05009584125430983,0.0037166953761646375,0.0061891322393210525
HM2_VLOW_EXTREME,pQscaled,3529.0,0.001613258468482896,0.9974379478368687,0.0008720622832116306,0.0018416927929476522
HM2_VLOW_MOD,pQscaled,3232.0,0.0029591560797295182,0.44802192591862844,0.0025142539162986695,0.005354285994648923
LMEDGE_HIGH,pq_etaaware,1532.0,0.0003902082087957758,0.002461684252031123,0.0009696768959611447,0.00201160367044292
LMEDGE_LOW,pq_etaaware,1363.0,0.0007969327052290686,0.0074469619437940865,0.000792843978428939,0.0014494872281635898
LMEDGE_MID,pq_etaaware,993.0,0.0007084678128518602,0.005261872269988847,0.0013016175237003796,0.002711614479356739
LMEDGE_NEUTRAL1,pq_etaaware,1473.0,0.0002303936792878988,0.0017117246387676342,0.0009260287293826839,0.0018326214986985774
LMEDGE_NEUTRAL2,pq_etaaware,1661.0,0.00023520284576762044,0.0018058452111404787,0.001302530615317514,0.0024481923784529
LMEDGE_NEUTRAL3,pq_etaaware,2149.0,0.00026143541472508513,0.0024627260496726724,0.0021177191996787324,0.003531756885791756
LMEDGE_VLOW,pQscaled,1173.0,0.0010900233471293971,0.007941812312947298,0.0001600616810778111,0.00030561485396802347
LOW,pq_legacy,1410.0,0.0022899859939973298,0.13051416507265692,0.015633819330437504,0.03587518568671065
LOWM_EXT_HIGH,pq_etaaware,1949.0,0.0007497983270133595,0.0050966706547517044,0.001994968346239968,0.00438012333337588
LOWM_EXT_LOW,pq_etaaware,1354.0,0.0015246263557303732,0.021240745768603006,0.003083808182919795,0.0066711612365973295
LOWM_EXT_MID,pq_etaaware,1005.0,0.0010396582335997762,0.012168552730131467,0.002987552982989832,0.006256836258141736
LOWM_EXT_NEUTRAL1,pq_etaaware,1684.0,0.0005400155171202251,0.0023222666379681843,0.0012465759095644014,0.0025665678451851546
LOWM_EXT_NEUTRAL2,pq_etaaware,1938.0,0.000499609714286721,0.0023556971847221732,0.0016919905206329825,0.0033812578025397074
LOWM_EXT_NEUTRAL3,pq_etaaware,2203.0,0.00044034145505212713,0.0030066796782029274,0.002571824567906667,0.0048989086632335605
LOWM_EXT_VLOW_EXTREME,pQscaled,1821.0,0.0013322713007631415,0.012721244584666263,0.00022929226961052097,0.0003816105403365703
LOWM_EXT_VLOW_MOD,pQscaled,1528.0,0.0010467774280078514,0.007577090812818657,0.0004606815548127981,0.000909523242421883
MID,pq_legacy,1186.0,0.005135687121097586,0.06770940760069867,0.012727416780715373,0.02621463815292575
NEUTRAL1_HIM,pq_legacy,1472.0,0.0010620719794771636,0.008019620543708495,0.0027629852358143124,0.00544336313767677
NEUTRAL1_LOWM,pq_legacy,1763.0,0.0006835757156188895,0.005632497574476473,0.0027722454627453143,0.005536046112204307
NEUTRAL2_HIM,pq_legacy,1564.0,0.0008561897994834905,0.006176660345604213,0.0028436880879788256,0.005510775955139274
NEUTRAL2_LOWM,pq_legacy,2039.0,0.000593209234970883,0.003581266864116484,0.002356369479517815,0.00500295248113237
NEUTRAL3_HIM,pq_legacy,1805.0,0.0016086135819885499,0.005705826266482038,0.0031486267984368915,0.00493251581453042
NEUTRAL3_LOWM,pq_legacy,2315.0,0.001013987242415915,0.00398067448993885,0.0031207650235006924,0.0052213950197001775
ULTRALOW_M002_006_eta002_006,pQscaled,3331.0,0.0015365916743613477,0.9414657124579803,0.0011650963684549205,0.0026822741219217306
VLOW_EXTREME_CI_ONLY,pQscaled,2975.0,0.0036734457576308656,0.5895885417098359,0.002967098483604798,0.006995667452874081
VLOW_MOD_QSCALED,pQscaled,2031.0,0.0033332651721931063,0.10664752307783487,0.0045522006030374014,0.008073361137319905
