alpha,y_window,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_rmse,q_rmse,p_error_energy_fraction,q_error_energy_fraction,qdef_reference_rel_l2,qdef_prediction_rel_l2,dp_pred_vs_q_ref_rel_l2
0.07,5.0,3289,0.0005451397213099906,0.0015994579529207303,0.00028461992426889726,9.92589798314538e-05,0.00016706615686575097,4.1602273653496306e-05,9.33906989578325e-05,0.0009742092256758078,0.0,0.00893332020036853,0.00856976615167088
0.07,10.0,3807,0.0005413126731154087,0.0014631657223641507,0.00028461992426889726,9.92589798314538e-05,0.0001649179196780087,3.97360664444328e-05,0.00010533710056162272,0.0010287429094898428,0.0,0.008078619425988896,0.00774161597616472
0.07,20.0,4101,0.0005382228983176733,0.0014121786169264286,0.00028461992426889726,9.92589798314538e-05,0.0001629127410616315,3.894700163213319e-05,0.0001107293265702714,0.0010646137194293165,0.0,0.007713293903026052,0.007383553891037326
0.07,50.0,4289,0.0005977406206587706,0.0015752350396775834,0.001728289520425706,0.00030506071876792605,0.0001794891711870371,4.366734068932643e-05,0.00014057087175496524,0.0013996639176180475,0.0,0.007647726032528001,0.007332618141668721
0.07,100.0,4354,0.0007237008071784923,0.001997801267637802,0.0025327983551638403,0.0010030743924992888,0.00021630539503374557,5.533050622591517e-05,0.00020724588473291158,0.0022812450723989353,0.0,0.007755478904695134,0.00735670842048803
0.07,500.0,4407,0.0013460011081634132,0.003739134611221261,0.008268423242345684,0.002632759552517832,0.0004002193939875143,0.0001030813619016986,0.0007181283932396479,0.00801415204736199,0.0,0.008491855035084903,0.00742032418691242
0.07,2000.0,4418,0.002559231387814722,0.003805508759038827,0.02877326226879974,0.002632759552517832,0.0007600155187332106,0.00010478049817350548,0.002596171748036904,0.008301199689049882,0.0,0.008516364661996633,0.007421416905863179
0.0725,5.0,3289,0.0005102124788624919,0.001058010180598468,0.0002881244812329642,6.81527260444274e-05,0.0001563069528977528,2.8533540129809293e-05,8.174915171482235e-05,0.00045827843382122743,0.0,0.007844440502019805,0.007631118435908446
0.0725,10.0,3807,0.000517431485954541,0.0010402142829849647,0.0002922226906944195,6.81527260444274e-05,0.00015753736975658887,2.9284931013794704e-05,9.611979697650171e-05,0.0005587602707538883,0.0,0.007117702256892843,0.006901580339550248
0.0725,20.0,4101,0.0005267633536413268,0.00105476015796115,0.00046682321642549954,9.993113820024064e-05,0.00015928759651393813,3.0149866275290368e-05,0.00010585624281149675,0.0006379913367048455,0.0,0.006796037508164691,0.006579530990970957
