alpha,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_ref_norm,q_ref_norm,y_at_p_max_err,y_at_q_max_err
0.07,4418,0.0025592313878147204,0.003805508759038828,0.02877326226879974,0.002632759552517832,19.739027970754208,1.830124305495112,-528.5746663278279,-386.26228219886696
0.0725,4418,0.003049766456699159,0.0038723611740846082,0.045298225059593196,0.0037581833545367606,19.710434658980713,1.8959597782426723,-528.5746663278279,-340.40165958749776
0.075,4418,0.0027330099826990166,0.003976126206836688,0.03773584053478378,0.003967311373999837,19.682315787195932,1.9619364296042219,-528.5746663278279,-340.40165958749776
0.0775,4418,0.0024750040302179348,0.0038011074794944547,0.03250026341039184,0.004136109275549483,19.65459829907034,2.028034804071341,-528.5746663278279,-340.40165958749776
0.08,4418,0.00244667042371004,0.0036406789861720304,0.03206869781692141,0.004781294243585352,19.62745191861436,2.0942497249370313,-528.5746663278279,-340.40165958749776
0.0825,4418,0.002508566129174018,0.0033270348267406156,0.02982909626200419,0.0029598692570153534,19.600720562415436,2.160613187789287,-528.5746663278279,-386.26228219886696
0.085,4418,0.0031831049863696886,0.0035771792368504782,0.04809587095382965,0.0034615372573358638,19.57445239979905,2.227137907449568,-446.36760082966265,-304.25831215571657
0.0875,4418,0.0028881224535942324,0.003650617704564367,0.035829016653590416,0.004218335453512644,19.548802742612242,2.2938171333988513,-446.36760082966265,-340.40165958749776
0.09,4418,0.003807543469052354,0.005768840549058265,0.03906287400568215,0.005273295963898912,19.523732061403866,2.3606175868146173,-446.36760082966265,-304.25831215571657
0.0925,4418,0.003670706240951341,0.005593468627318847,0.03062239254433899,0.003990592549735631,19.49873402737683,2.427593442301283,-446.36760082966265,-340.40165958749776
0.095,4418,0.0030213342123681015,0.003764499151992921,0.0334458591814985,0.0038671779500381825,19.47195082398768,2.494458628326554,-445.0364358433105,-303.6390059667414
0.0975,4418,0.0032699344555126167,0.003069700928747724,0.04413221312761183,0.005391208886223281,19.445387278408628,2.5614618364828967,-383.7657594955448,-302.7067841848682
0.1,4418,0.003319283012492117,0.0031034544585950273,0.04736341885681368,0.004498763511327971,19.41914450302061,2.628595273619053,-382.3777274615912,-301.84231210490896
0.1025,4418,0.002998203148541182,0.0028893406651075695,0.03945782425896387,0.004840933209683213,19.39308813339367,2.695879687887331,-381.0909414612085,-301.0397159846368
0.105,4418,0.0031767133660774625,0.00294483355312152,0.04241858445758001,0.005331765667554213,19.367246868847836,2.763284042626412,-379.8912875797525,-300.2904408124043
0.1075,4418,0.003252024580105204,0.002962170593728352,0.03705829269008983,0.004718597791132048,19.341597923223674,2.8308563756331444,-378.79919129583175,-299.60748161855423
0.11,4418,0.003329634471003515,0.00305225476568983,0.03624356411921344,0.004788279430873017,19.31622617542027,2.898592398839548,-377.8237351210053,-270.7324479454232
0.1125,4418,0.004027777411966993,0.002582406554353052,0.05373323385031672,0.004528872911549678,19.290893292246334,2.966510894879916,-333.1371172233446,-270.27636688731235
0.115,4418,0.003785092321179951,0.003053853955250537,0.048292741950478495,0.005913303071512826,19.265834987609562,3.0345734874134735,-332.5240069597885,-269.8725655403257
0.1175,4418,0.0037005524928404353,0.002749555446140978,0.04760685996011301,0.005326971729587051,19.240757186278216,3.1028397365329186,-331.9775358095139,-269.5124171701868
0.12,4418,0.004005970900615136,0.0028624738332832063,0.048979697682446886,0.005570017014488671,19.216131294851923,3.171233870061799,-331.5250502578927,-269.2140407089169
0.1225,4418,0.004012551638518527,0.0026307870676811054,0.0422377842065129,0.004342617025519367,19.191483183589014,3.2398684486656,-331.1513116609167,-268.9674759507041
0.125,4418,0.004592257388872148,0.0025941803015277144,0.05387707340514564,0.004865952959398984,19.16712886095243,3.3086290351903815,-296.6031048739672,-245.69835575085605
0.1275,4418,0.004701130062974949,0.0026765563525502595,0.05787688954738567,0.005125246469270219,19.142919571538943,3.3775964278065005,-296.4284360266599,-268.62476316241765
0.13,4418,0.00467839973907927,0.0026298395772902496,0.05386035883078312,0.004928095715396326,19.118816771851872,3.4467639675979234,-296.3144934233073,-245.5002268328197
0.1325,4418,0.005046811887753041,0.0025270287366378663,0.06029823107236996,0.004808339612214884,19.094904847321835,3.5161422248240535,-296.2733484333617,-245.47197581835047
0.135,4418,0.005197108654070109,0.002551282855127322,0.053766706646525934,0.004640328170937217,19.07106679512601,3.585747092000729,-296.2962654323203,-245.4877112770754
0.1375,4418,0.005655267808985665,0.0021067756793746333,0.06226998994343305,0.0041686351554279235,19.047432056130884,3.6555104378284553,-268.58095688747346,-226.13365487489727
0.14,4418,0.005907009913805877,0.0025443276563364516,0.06704212591505432,0.005901396063161374,19.02385813533696,3.725549112829828,-268.7087890561963,-245.64868871846767
0.1425,4418,0.0058071204442081735,0.0023394992471467637,0.062926758526616,0.004087504085731232,19.000490341760173,3.7957947886959826,-268.895065677706,-226.3563388628999
0.145,4418,0.006704353762190111,0.0022222894049537104,0.07276981765085215,0.003995787405746559,18.97729699893267,3.866243506566751,-269.13541610843333,-246.00522925537453
0.1475,4418,0.006717019708285753,0.0022302404772426166,0.06715094969251637,0.0038698789694555794,18.95424473451502,3.9368982571912237,-269.4269423018881,-246.24880757998548
0.15,4418,0.007182285285982145,0.002377703283277865,0.07983106108545832,0.004599914982714636,18.931274238544212,4.007805021731667,-246.5397483710265,-226.9798807096596
0.1525,4418,0.007654193719004461,0.0025950606382218406,0.07659717176855894,0.004037872374925191,18.90855619674336,4.078915061673928,-246.8821635185327,-246.8821635185327
0.155,4418,0.007585422915344118,0.0022469192405864683,0.07653301948262417,0.0030229991724224467,18.885813036559863,4.150302892891551,-247.26706680801263,-247.26706680801263
