Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.05,0.05,0.0499374608885954,0.9125243626718814,0.05,0.05,modal_pretraining,155,224
0.85,0.92,0.4846400726312261,0.0350816139496578,0.85,0.92,modal_pretraining,1028,224
0.85,0.12,0.0632139225171164,0.4938197980378727,0.85,0.12,modal_pretraining,997,224
0.05,0.92,0.9188492803501562,0.0519750337175053,0.05,0.92,modal_pretraining,205,224
0.4,0.65,0.5957348403442592,0.2278633697748352,0.4,0.65,modal_pretraining,632,224
0.85,0.55,0.2897304782034504,0.2217916513377925,0.85,0.55,modal_pretraining,1011,224
0.05,0.55,0.5493120697745499,0.3302262669518194,0.05,0.55,modal_pretraining,185,224
0.35,0.92,0.861809723778979,0.0493454130293556,0.35,0.92,modal_pretraining,593,224
0.1,0.25,0.248746859276655,0.6304619915915209,0.1,0.25,modal_pretraining,366,224
0.7,0.05,0.0357071421427142,0.6338226755671641,0.7,0.05,modal_pretraining,823,224
0.7,0.35,0.2499499949989997,0.3818472779849105,0.7,0.35,modal_pretraining,842,224
0.06,0.8,0.798558701661938,0.134477338409054,0.06,0.8,modal_pretraining,249,224
0.85,0.8,0.4214261501141096,0.0912673344193447,0.85,0.8,modal_pretraining,1022,224
0.06,0.4,0.399279350830969,0.4693736806847961,0.06,0.4,modal_pretraining,232,224
0.85,0.25,0.1316956719106592,0.4029905077886317,0.85,0.25,modal_pretraining,1003,224
0.7,0.65,0.4641928478552852,0.1885852111465077,0.7,0.65,modal_pretraining,854,224
0.1,0.65,0.646741834119303,0.2464363800353081,0.1,0.65,modal_pretraining,380,224
0.1,0.12,0.1193984924527944,0.7999901055612681,0.1,0.12,modal_pretraining,359,224
0.85,0.05,0.0263391343821318,0.5473164191292811,0.85,0.05,modal_pretraining,991,224
0.4,0.92,0.8431939278718746,0.0485264040463945,0.4,0.92,modal_pretraining,644,224
0.06,0.06,0.0598919026246453,0.8954981992942762,0.06,0.06,modal_pretraining,218,224
0.85,0.4,0.2107130750570548,0.3084451964423217,0.85,0.4,modal_pretraining,1006,224
0.85,0.65,0.342408746967714,0.1675402985478431,0.85,0.65,modal_pretraining,1017,224
0.05,0.65,0.6491869915517409,0.2473763413014657,0.05,0.65,modal_pretraining,191,224
0.06,0.92,0.9183425069112288,0.0519535093079106,0.06,0.92,modal_pretraining,255,224
0.7,0.92,0.6570114154259422,0.0407645863492276,0.7,0.92,modal_pretraining,868,224
0.1,0.35,0.348245602987317,0.5186215631090787,0.1,0.35,modal_pretraining,368,224
0.35,0.65,0.6088873048438439,0.232452632381144,0.35,0.65,modal_pretraining,581,224
0.05,0.12,0.119849906132629,0.8051606866115958,0.05,0.12,modal_pretraining,165,224
0.7,0.06,0.0428485705712571,0.623895550446348,0.7,0.06,modal_pretraining,824,224
0.1,0.92,0.9153884421380905,0.0517956795109382,0.1,0.92,modal_pretraining,394,224
0.7,0.25,0.1785357107135712,0.4570488660859372,0.7,0.25,modal_pretraining,840,224
0.05,0.35,0.3495622262201681,0.5212627838629809,0.05,0.35,modal_pretraining,179,224
0.06,0.65,0.6488289451003246,0.2472354764431632,0.06,0.65,modal_pretraining,243,224
0.7,0.55,0.3927785635698567,0.2487080687464249,0.7,0.55,modal_pretraining,848,224
0.35,0.8,0.7493997598078078,0.1272250990857027,0.35,0.8,modal_pretraining,587,224
0.93,0.06,0.0220535711393869,0.4979693036814331,0.93,0.06,modal_pretraining,1120,224
0.92,0.05,0.0195959179422654,0.5090149656777643,0.92,0.05,modal_pretraining,1112,224
0.35,0.05,0.0468374849879879,0.8227186030590512,0.35,0.05,modal_pretraining,572,224
0.05,0.06,0.0599249530663145,0.8964149331720782,0.05,0.06,modal_pretraining,156,224
0.98,0.92,0.1830776884276182,0.1919990023019255,0.98,0.92,modal_pretraining,1229,224
0.98,0.35,0.0696491205974634,0.3825802738696409,0.98,0.35,modal_pretraining,1206,224
0.98,0.65,0.1293483668238607,0.2859439572206668,0.98,0.65,modal_pretraining,1218,224
0.85,0.98,0.5162470338897843,0.0086042945325133,0.85,0.98,modal_pretraining,1034,224
0.98,0.25,0.049749371855331,0.415155452776578,0.98,0.25,modal_pretraining,1204,224
0.05,0.98,0.9787742334164709,0.0127951060108533,0.05,0.98,modal_pretraining,211,224
0.93,0.02,0.0073511903797956,0.5219779519924591,0.93,0.02,modal_pretraining,1114,224
0.2,0.55,0.5388877434122992,0.3234401267032974,0.2,0.55,modal_pretraining,459,224
0.7,0.8,0.571314274283428,0.1042480673850852,0.7,0.8,modal_pretraining,862,224
0.98,0.8,0.1591979899370593,0.2357547612983845,0.98,0.8,modal_pretraining,1223,224
0.98,0.55,0.1094486180817283,0.3182922058304853,0.98,0.55,modal_pretraining,1212,224
0.7,0.15,0.1071214264281427,0.5401406203005809,0.7,0.15,modal_pretraining,834,224
0.06,0.19,0.1896576916447102,0.7084001774751912,0.06,0.19,modal_pretraining,226,224
0.35,0.98,0.9180147057645646,0.0121536202788561,0.35,0.98,modal_pretraining,599,224
0.02,0.8,0.7998399839967992,0.1346322538047001,0.02,0.8,modal_pretraining,37,224
0.68,0.02,0.0146642422238586,0.676832220746013,0.68,0.02,modal_pretraining,811,224
0.02,0.55,0.5498899889977995,0.3306244437926228,0.02,0.55,modal_pretraining,25,224
0.85,0.95,0.5004435532605052,0.0216856384620308,0.85,0.95,modal_pretraining,1031,224
0.98,0.15,0.0298496231131986,0.4483652106608082,0.98,0.15,modal_pretraining,1199,224
0.98,0.04,0.0079598994968529,0.4858865633273583,0.98,0.04,modal_pretraining,1189,224
0.02,0.02,0.0199959995999199,0.9645535212203648,0.02,0.02,modal_pretraining,0,224
0.02,0.95,0.9498099809961992,0.0322273538652787,0.02,0.95,modal_pretraining,46,224
0.4,0.35,0.3207802986469087,0.4699943486271756,0.4,0.35,modal_pretraining,620,224
0.5,0.18,0.1558845726811989,0.6017366107236776,0.5,0.18,modal_pretraining,688,224
0.5,0.5,0.4330127018922193,0.3238482649223875,0.5,0.5,modal_pretraining,698,224
0.55,0.725,0.6054943744577649,0.1623780920979512,0.55,0.725,modal_pretraining,726,224
0.3,0.21,0.2003272322975585,0.6396545832002872,0.3,0.21,modal_pretraining,533,224
0.55,0.98,0.8184613613360132,0.0112044956094219,0.55,0.98,modal_pretraining,741,224
0.5,0.02,0.0173205080756887,0.7843488475721109,0.5,0.02,modal_pretraining,673,224
