point_id,Mach,eta,alpha,canonical_chart_id,selected_chart,selected_source,seed_chart_path,ci_ref,seed_method,gep_regime,N,mapping_kind,mapping_scale,xi_max,n_candidates,ci_seed_runtime,ci_seed_release,ci_gep_seeded,cr_gep_seeded,ci_gep_central,cr_gep_central,central_fallback,t_seed_provider_s,t_gep_init_s,t_gep_solve_s,t_candidate_filter_s,t_selector_seeded_s,t_selector_central_s,t_gep_common_s,t_total_gep_seeded_s,t_total_gep_central_s,t_classical_s,ci_classical_runtime,classical_success,classical_source,classical_primary_success,classical_secondary_used,execution_order,success,error,seed_vs_release_abs,gep_seeded_abs_err,gep_central_abs_err,classical_abs_err,speedup_seeded_vs_classical,speedup_central_vs_classical,seeded_overhead_fraction
OFFGRID_0228,0.8464962369451993,0.3659442395709585,0.1948267751035757,HM1_LOW,HM1_LOW,extension,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_LOW_M0.70_0.85_eta0.25_0.40_ciIDW,0.3297853123139742,CiGridIDW,standard_N301,301,pin,5.0,0.98,137,0.33780969507530084,0.3378096950753008,0.32985482597219357,7.455227706805262e-14,0.32985482597219357,7.455227706805262e-14,False,0.000494415,0.000540268,9.1504393,0.004225675,8.2353e-05,2.0557e-05,9.155205243000001,9.155782011000001,9.1552258,2.1199351070000003,0.3297659524400152,True,primary,True,False,classical_then_gep,True,,5.551115123125783e-17,6.951365821938893e-05,6.951365821938893e-05,1.935987395895733e-05,0.23154058325690297,0.23155465013216825,6.075338961066671e-05
OFFGRID_0034,0.6799363267031804,0.2397660508638463,0.1758135298436326,VLOW_MOD_QSCALED,VLOW_MOD_QSCALED,core,assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_MOD_M010_070_eta012_025_ciIDW,0.4731411341962895,CiGridIDW,standard_N301,301,pin,5.0,0.98,132,0.460078065057197,0.460078065057197,0.473225882433812,5.8332068940340624e-15,0.473225882433812,5.8332068940340624e-15,False,0.000502479,0.000496365,8.740035672000001,0.0042458090000000006,7.9176e-05,2.1464e-05,8.744777846000002,8.745359501000001,8.744799310000001,2.0717707450000002,0.4731539983709995,True,primary,True,False,classical_then_gep,True,,0.0,8.474823752246952e-05,8.474823752246952e-05,1.2864174709970033e-05,0.23689943732594418,0.2369146130810405,6.40599035085154e-05
OFFGRID_0355,0.684099677324082,0.9419937241339454,0.6870794201623404,NEUTRAL3_HIM,NEUTRAL3_HIM,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_HIM_M0.35_0.70_eta0.92_0.98_ciIDW,0.0298411582692498,CiGridIDW,standard_N301,301,pin,5.0,0.98,129,0.030218016931757023,0.030218016931757,0.029668572977413554,2.1494169576366895e-12,0.029668572977413554,2.1494169576366895e-12,False,0.0004984880000000001,0.000507072,8.33373285,0.004519761000000001,8.0165e-05,2.0282e-05,8.338759683,8.339338335999999,8.338779964999999,7.106286979,0.029867371535290954,True,secondary_neutral,True,True,gep_then_classical,True,,2.42861286636753e-17,0.00017258529183624555,0.00017258529183624555,2.621326604115501e-05,0.8521403848459952,0.852197444809302,6.696075473198255e-05
OFFGRID_0165,0.1935578695611771,0.6277871526260331,0.6159149818652739,HIGH_LOWM_COMPACTY,HIGH_LOWM_COMPACTY,core,assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_LOWM_compactY_M010_040_eta055_065_ciIDW,0.260440817873754,CiGridIDW,standard_N301,301,pin,5.0,0.98,1,0.262247531969528,0.262247531969528,0.2604725235827312,2.759254245690038e-14,0.2604725235827312,2.759254245690038e-14,False,0.000498596,0.000495908,7.614260795000001,0.0041622690000000006,1.4794000000000001e-05,8.618000000000001e-06,7.618918972000001,7.619432362000001,7.618927590000001,1.937109342,0.26043760208929867,True,primary,True,False,gep_then_classical,True,,0.0,3.170570897720326e-05,3.170570897720326e-05,3.2157844553348802e-06,0.2542327630153717,0.25424960653812956,6.6252368727422e-05
OFFGRID_0268,0.9637999229887698,0.0237800203846878,0.0063403844053236,ETAEDGE_HM2B,ETAEDGE_HM2B,fullrect,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM2B_ciIDW_EVALFIX,0.5001590802662238,CiGridIDW,extreme_longwave_map20_N301,301,pin,20.0,0.995,143,0.5005724730356386,0.5005724730356386,0.5019224594963826,1.759613655317616e-13,0.5019224594963826,1.759613655317616e-13,False,0.0004996320000000001,0.000514047,8.461664028000001,0.004229929,8.5449e-05,1.7247000000000003e-05,8.466408004,8.466993085,8.466425251,1.9599807040000001,0.5001363430611343,True,primary,True,False,classical_then_gep,True,,0.0,0.0017633792301587903,0.0017633792301587903,2.2737205089495838e-05,0.23148485942102315,0.23150038486059976,6.706892025449168e-05
OFFGRID_0105,0.5353891787157403,0.2609904991831483,0.2204340074553829,LOW,LOW,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_LOW_M010_070_eta0.25_0.40_ciIDW,0.51030785837119,CiGridIDW,standard_N301,301,pin,5.0,0.98,137,0.5195317987300082,0.5195317987300082,0.5103887200669934,1.8029579511292203e-14,0.5103887200669934,1.8029579511292203e-14,False,0.000494285,0.000544443,11.57320606,0.004514571,7.7172e-05,1.5959e-05,11.578265074,11.578836531,11.578281033000001,2.088929433,0.5103205364965799,True,primary,True,False,classical_then_gep,True,,0.0,8.086169580345803e-05,8.086169580345803e-05,1.2678125389964379e-05,0.18040926887665376,0.1804179244782717,4.797758824609775e-05
OFFGRID_0369,0.8802685447646522,0.9654837594397372,0.4580986835345847,HM2_NEUTRAL3,HM2_NEUTRAL3,extension,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM2_NEUTRAL3_M0.85_0.98_eta0.92_0.98_ciIDW,0.014327755878179,CiGridIDW,near_neutral_N401,401,pin,5.0,0.98,179,0.01579352082128418,0.0157935208212841,0.01348446802317778,-5.187616398452985e-11,0.01348446802317778,-5.187616398452985e-11,False,0.0006083400000000001,0.0007925320000000001,29.100316629,0.005652585000000001,9.7934e-05,1.8841e-05,29.106761746,29.10746802,29.106780587,7.631956679000001,0.014341768509185344,True,secondary_neutral,True,True,classical_then_gep,True,,7.979727989493313e-17,0.000843287855001219,0.000843287855001219,1.4012631006345144e-05,0.26219926356205275,0.2622054560856748,2.361762400842588e-05
OFFGRID_0142,0.0597724763539266,0.7119252608672108,0.7106523578023093,LMEDGE_NEUTRAL1,LMEDGE_NEUTRAL1,fullrect,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL1_ciIDW_EVALFIX,0.1992133698833012,CiGridIDW,standard_N301,301,pin,5.0,0.98,1,0.19243186610935792,0.1924318661093579,0.1992410661863558,-4.7105735699730565e-14,0.1992410661863558,-4.7105735699730565e-14,False,0.00047681800000000006,0.000531861,11.318059922000002,0.004158555,1.7328e-05,6.087e-06,11.322750338000002,11.323244484000002,11.322756425000001,2.01275985,0.19918943017134716,True,primary,True,False,classical_then_gep,True,,2.7755575615628914e-17,2.7696303054575155e-05,2.7696303054575155e-05,2.3939711954051868e-05,0.1777546932634083,0.17776235524734427,4.310425674464358e-05
