N,shoot_ci,gep_raw_index,gep_cr,gep_ci,gep_abs_err_vs_shoot,gep_rel_err_vs_shoot,n_admissible
401,0.012736335400972866,804,1.5718105386761323e-11,0.011462258857177231,0.0012740765437956342,0.10003478266584545,2
501,0.012736335400972866,1006,1.6458780203315808e-12,0.012238265303663827,0.0004980700973090391,0.039106232807829,4
601,0.012736335400972866,1212,1.0275813484402622e-11,0.012523894954430846,0.00021244044654201988,0.01667987218095659,3
