Mach,alpha,cr,ci,reason
1.1,0.175,0.1508143457011082,0.092213234034898,no modal field rows found for this Mach/alpha
1.1,0.2,0.1656761547463344,0.0791796566675815,no modal field rows found for this Mach/alpha
1.25,0.25,0.2550098377696084,0.0304106202499422,no modal field rows found for this Mach/alpha
1.3,0.2,0.2727688216788323,0.0467110594036997,no modal field rows found for this Mach/alpha
1.3,0.2249999999999999,0.2807064105959674,0.0353543235424167,no modal field rows found for this Mach/alpha
1.3,0.25,0.2886439995131025,0.0255613688283836,no modal field rows found for this Mach/alpha
1.3,0.275,0.2965815884302376,0.0171633516439817,no modal field rows found for this Mach/alpha
1.33,0.18,0.2771044303979708,0.0508498118838383,no modal field rows found for this Mach/alpha
1.4,0.1,0.283841246397037,0.0425165800223759,no modal field rows found for this Mach/alpha
1.4,0.175,0.3334272163349703,0.0426165444542578,no modal field rows found for this Mach/alpha
1.4,0.18125,0.3153193678544234,0.0427209194542578,no modal field rows found for this Mach/alpha
1.4,0.1875,0.3183709082056269,0.0411403935788011,no modal field rows found for this Mach/alpha
1.4,0.19375,0.3222828767123289,0.024414084798728,no modal field rows found for this Mach/alpha
1.4,0.2,0.3240857069010081,0.0232528549709631,no modal field rows found for this Mach/alpha
1.5,0.1,0.3293676490936765,0.0460323254563964,no modal field rows found for this Mach/alpha
1.5,0.158333,0.2399414062499999,0.0374707031249999,no modal field rows found for this Mach/alpha
1.5,0.165625,0.3680825090907056,0.0380056534011514,no modal field rows found for this Mach/alpha
1.6,0.1,0.3723024463246057,0.0286170504353144,no modal field rows found for this Mach/alpha
1.6,0.125,0.3875635867175142,0.0251098747521818,no modal field rows found for this Mach/alpha
1.7,0.1,0.4086724851271471,0.0255832924228237,no modal field rows found for this Mach/alpha
1.7,0.125,0.4192415320846353,0.0221873441527381,no modal field rows found for this Mach/alpha
1.7,0.15,0.4298105790421235,0.0187913958826526,no modal field rows found for this Mach/alpha
1.7,0.175,0.4403796259996116,0.015395447612567,no modal field rows found for this Mach/alpha
