stage,stage_step,global_step,elapsed_seconds,loss,spectral,riccati_kappa,riccati_q,log_amp_compatibility,boundary_kappa,boundary_q,modal_kappa,modal_q,modal_log_amp
spectral_prefit,1,1,4.649630784988403,1.1925586462020874,1.1925586462020874,,,,,,,,
spectral_prefit,2,2,4.798601150512695,1.1523449420928955,1.1523449420928955,,,,,,,,
modal_frozen_spectrum,1,3,16.997992277145386,12.4898681640625,0.0,0.09609711170196533,0.12977248430252075,1.7455638647079468,0.17538082599639893,0.17823711037635803,0.0,0.0,0.0
modal_frozen_spectrum,2,4,26.298136711120605,10.417888641357422,0.0,0.09837280213832855,0.11750634014606476,1.6984246969223022,0.07724221795797348,0.0937463715672493,0.0,0.0,0.0
modal_frozen_spectrum,3,5,35.59800171852112,18.31161880493164,0.0,0.1429044008255005,0.11666986346244812,3.458846092224121,0.03155640512704849,0.04422490671277046,0.0,0.0,0.0
joint,1,6,45.59816384315491,68.92929077148438,1.114437222480774,0.14418838918209076,0.10951165854930878,2.5146448612213135,0.016539528965950012,0.021510692313313484,0.0,0.0,0.0
joint,2,7,55.298261880874634,72.8797378540039,1.1052780151367188,0.12921908497810364,0.12365901470184326,3.409304141998291,0.015382297337055206,0.016261626034975052,0.0,0.0,0.0
joint,3,8,64.69832682609558,61.4513053894043,1.0965170860290527,0.1120675727725029,0.08422630280256271,1.2321583032608032,0.014486885629594326,0.012349605560302734,0.0,0.0,0.0
