stage,stage_step,global_step,elapsed_seconds,loss,spectral,riccati_kappa,riccati_q,log_amp_compatibility,boundary_kappa,boundary_q,modal_kappa,modal_q,modal_log_amp
spectral_prefit,1,1,5.949879884719849,1.36076819896698,1.36076819896698,,,,,,,,
spectral_prefit,2,2,6.14944863319397,1.3160529136657715,1.3160529136657715,,,,,,,,
spectral_prefit,3,3,6.348613023757935,1.2733454704284668,1.2733454704284668,,,,,,,,
spectral_prefit,4,4,6.5493199825286865,1.232609510421753,1.232609510421753,,,,,,,,
spectral_prefit,5,5,6.751219749450684,1.193788766860962,1.193788766860962,,,,,,,,
modal_frozen_spectrum,1,6,25.0578191280365,13.169087409973145,0.0,0.09342700988054276,0.11966890096664429,1.8595778942108154,0.16854877769947052,0.19726142287254333,0.0,0.0,0.0
modal_frozen_spectrum,2,7,41.95432949066162,11.911783218383789,0.0,0.10251760482788086,0.10769596695899963,1.976212978363037,0.07394053041934967,0.10810980200767517,0.0,0.0,0.0
modal_frozen_spectrum,3,8,57.55016040802002,18.658903121948242,0.0,0.13034452497959137,0.10024693608283997,3.5161967277526855,0.030768781900405884,0.05396401882171631,0.0,0.0,0.0
modal_frozen_spectrum,4,9,70.35391688346863,12.022178649902344,0.0,0.10867388546466827,0.1275836080312729,2.266432523727417,0.014728997834026814,0.030646810308098793,0.0,0.0,0.0
modal_frozen_spectrum,5,10,84.05536127090454,6.288378715515137,0.0,0.09341588616371155,0.11048560589551926,1.147598385810852,0.012607317417860031,0.02204125002026558,0.0,0.0,0.0
joint,1,11,98.75434851646423,68.60829162597656,1.1568059921264648,0.10283297300338745,0.0889248251914978,2.0429582595825195,0.01589546725153923,0.020249012857675552,0.0,0.0,0.0
joint,2,12,108.94943690299988,63.57229232788086,1.1477458477020264,0.0794411301612854,0.09979037195444107,1.1437710523605347,0.012678399682044983,0.016012948006391525,0.0,0.0,0.0
joint,3,13,120.94926953315735,62.90758514404297,1.1387830972671509,0.0852869376540184,0.12056852877140045,1.1067862510681152,0.01014263741672039,0.012721559032797813,0.0,0.0,0.0
joint,4,14,134.05431652069092,61.1094856262207,1.1298980712890625,0.09579738974571228,0.08951257914304733,0.8472855091094971,0.008578339591622353,0.010706046596169472,0.0,0.0,0.0
joint,5,15,146.15062832832336,59.43644714355469,1.1210843324661255,0.09072934091091156,0.08816688507795334,0.6062993407249451,0.007598051801323891,0.009585514664649963,0.0,0.0,0.0
