_M_key,_a_key,Mach_seeded,alpha_seeded,cr_reference,ci_reference,seeded_cr,seeded_ci,seeded_technical,seeded_error,seeded_recovery,atlas_chart,Mach_generic,alpha_generic,generic_cr_reference,generic_ci_reference,generic_cr,generic_ci,generic_technical,generic_error,generic_recovery,Mach,alpha,generic_minus_seeded_error
1.0,0.055,1.0,0.055,-1.963662682691355e-07,0.0031382028597574,0.0,0.0031370380267578,True,1.1812686520309432e-06,True,C00,1.0,0.055,-1.963662682691355e-07,0.0031382028597574,0.7614583333333332,3.604340277777777e-05,True,0.7614648487261743,False,1.0,0.055,0.7614636674575223
1.0,0.065,1.0,0.065,5.318523598496773e-08,0.0044499855836279,0.0,0.0044486191003906,True,1.3675178635574677e-06,True,C00,1.0,0.065,5.318523598496773e-08,0.0044499855836279,0.7614583333333332,6.355787037037038e-05,True,0.7614709141879168,False,1.0,0.065,0.7614695466700533
1.0,0.075,1.0,0.075,-9.544762484683384e-09,0.0060334923763868,0.0,0.0060341923333333,True,7.000220206855943e-07,True,C00,1.0,0.075,-9.544762484683384e-09,0.0060334923763868,0.7614583333333332,3.823958333333333e-05,True,0.7614819439715614,False,1.0,0.075,0.7614812439495408
1.0,0.085,1.0,0.085,-3.258289311069424e-09,0.0079182452555799,0.0,0.0079180736816406,True,1.716048749203489e-07,True,C00,1.0,0.085,-3.258289311069424e-09,0.0079182452555799,0.7614583333333332,1e-06,True,0.7614994951655042,False,1.0,0.085,0.7614993235606293
1.0,0.095,1.0,0.095,8.092975981496505e-10,0.0101433175874361,0.0,0.0101449336666666,True,1.616079433139428e-06,True,C00,1.0,0.095,8.092975981496505e-10,0.0101433175874361,0.7614583333333332,5.668576388888889e-05,True,0.7615251357058601,False,1.0,0.095,0.761523519626427
1.0,0.11,1.0,0.11,4.635943253909663e-11,0.0142365019789538,0.0,0.0142367116666666,True,2.096877179239374e-07,True,C00,1.0,0.11,4.635943253909663e-11,0.0142365019789538,0.7614583333333332,3.136747685185185e-05,True,0.7615908213590804,False,1.0,0.11,0.7615906116713624
1.0,0.125,1.0,0.125,-2.4879102619033463e-11,0.0194746295545811,0.0,0.0194761819999999,True,1.552445419000305e-06,True,C00,1.0,0.125,-2.4879102619033463e-11,0.0194746295545811,0.7614583333333332,1e-06,True,0.761707303160929,False,1.0,0.125,0.76170575071551
1.05,0.05,1.05,0.05,3.9623304327421566e-10,0.0216720758392142,0.0,0.0216699212882812,True,2.154550969435999e-06,True,C00,1.05,0.05,3.9623304327421566e-10,0.0216720758392142,0.7614583333333332,6.355787037037038e-05,True,0.7617648724167829,False,1.05,0.05,0.7617627178658135
1.05,0.06,1.05,0.06,4.818920439745717e-10,0.026850382922755,0.0,0.0268510948824869,True,7.119598949835883e-07,True,C00,1.05,0.06,4.818920439745717e-10,0.026850382922755,0.7614583333333332,3.823958333333333e-05,True,0.7619302354542375,False,1.05,0.06,0.7619295234943425
1.05,0.07,1.05,0.07,4.743779014405197e-10,0.0325278215395402,0.0,0.03253188,True,4.058460487520628e-06,True,C00,1.05,0.07,4.743779014405197e-10,0.0325278215395402,0.7614583333333332,1e-06,True,0.7621527319375067,False,1.05,0.07,0.7621486734770191
1.05,0.075,1.05,0.075,3.8536165476661847e-10,0.0356029301043054,0.0,0.035601698875,True,1.2312293657124126e-06,True,C00,1.05,0.075,3.8536165476661847e-10,0.0356029301043054,0.7614583333333332,5.668576388888889e-05,True,0.7622875627364076,False,1.05,0.075,0.762286331507042
1.05,0.085,1.05,0.085,2.2233667796181407e-10,0.0423637176862112,0.0,0.042365058875,True,1.3411888072280424e-06,True,C00,1.05,0.085,2.2233667796181407e-10,0.0423637176862112,0.7614583333333332,1.0110243055555554e-05,True,0.7626353133232333,False,1.05,0.085,0.7626339721344261
1.05,0.1,1.05,0.1,3.017815208068885e-10,0.0546998175409827,0.0,0.054702702625,True,2.8850840330844065e-06,True,C00,1.05,0.1,3.017815208068885e-10,0.0546998175409827,0.7614583333333332,0.0001178113425925,True,0.7634120698180182,False,1.05,0.1,0.7634091847339851
1.05,0.115,1.05,0.115,1.2100138419185254e-10,0.0719056899252925,0.0,0.0719143441249999,True,8.654199708246133e-06,True,C00,1.05,0.115,1.2100138419185254e-10,0.0719056899252925,0.7614583333333332,6.355787037037038e-05,True,0.764839908187785,False,1.05,0.115,0.7648312539880768
1.1,0.095,1.1,0.095,0.0185431702825212,0.1439719750936911,0.0185431026905924,0.14398221375,True,1.0238879415270491e-05,True,C00,1.1,0.095,0.0185431702825212,0.1439719750936911,0.7614583333333332,3.823958333333333e-05,True,0.7567297137741984,False,1.1,0.095,0.7567194748947831
1.1,0.11,1.1,0.11,0.0737351788015254,0.1346775747592678,0.073734844375,0.13469108775,True,1.3517128379540706e-05,True,C00,1.1,0.11,0.0737351788015254,0.1346775747592678,0.7614583333333332,1e-06,True,0.7007859281321719,False,1.1,0.11,0.7007724110037924
1.15,0.06,1.15,0.06,-2.549736936302885e-09,0.1998472244836177,0.0,0.102065065,True,0.09778215948361772,False,C00,1.15,0.06,-2.549736936302885e-09,0.1998472244836177,0.7614583333333332,5.668576388888889e-05,True,0.7872325302270823,False,1.15,0.06,0.6894503707434646
