condition,n,technical_success,target_recovery,target_error_median,target_error_p90,target_error_p95,target_error_p99,target_error_max,error_le_1e-5,error_le_1e-4
SEEDED,401,401,400,3.647138687676845e-06,6.5329384095896675e-06,8.117371197522136e-06,1.0238879415270491e-05,0.09778215948361772,396,400
GENERIC,401,401,1,0.4520004313912778,0.6599972104883428,0.7614709141879168,0.7634933525172295,0.7872325302270823,1,1
