grid_index,i_cr,i_ci,Mach,alpha,cr_center,ci_center,cr_target,ci_target,cr_pinn,ci_pinn,cr_failure_reference,ci_failure_reference,status,technical_success,root_class,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,distance_target,distance_failure,error,seconds
194,19,7,1.15,0.06,0.095,0.10200000000000001,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.06502929687500003,0.11798437500000004,0.0017674062492788317,2.9356882815974604e-21,0.0017674062492788317,0.10454824680141478,0.06694948754794909,,21.78261090896558
195,20,7,1.15,0.06,0.1,0.10200000000000001,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.07002929687500004,0.11798437500000004,0.0019325740581720707,3.007196591327034e-21,0.0019325740581720707,0.10772942450183656,0.07181592338529799,,24.32314836292062
196,21,7,1.15,0.06,0.105,0.10200000000000001,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.07502929687500001,0.11798437500000004,0.002104736351182784,3.1007463920202606e-21,0.002104736351182784,0.11104468423902276,0.07669954250471764,,26.094194503035396
197,22,7,1.15,0.06,0.11,0.10200000000000001,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.08002929687500002,0.11798437500000004,0.0022837826147996416,3.186948485270819e-21,0.0022837826147996416,0.11448237808497708,0.08159725969162805,,26.155103883938864
198,23,7,1.15,0.06,0.115,0.10200000000000001,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.08502929687500002,0.11798437500000004,0.002469558342314969,3.2832325259820567e-21,0.002469558342314969,0.11803180878999953,0.08650668042372792,,25.774386652978137
199,24,7,1.15,0.06,0.12,0.10200000000000001,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.09002929687499997,0.11798437500000004,0.0026618656307672577,3.386064153030181e-21,0.0026618656307672577,0.1216831988422657,0.09142591933736834,,22.009420307935216
200,0,8,1.15,0.06,0.0,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206250000000001,5.1585415626997635e-08,1.783428932107135e-21,5.158541562699942e-08,0.0977847244836177,2.564999999982165e-06,,17.290870620985515
201,1,8,1.15,0.06,0.005,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206250000000001,5.1585415626997635e-08,1.783428932107135e-21,5.158541562699942e-08,0.0977847244836177,2.564999999982165e-06,,17.30475341004785
202,2,8,1.15,0.06,0.01,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206250000000001,5.1585415626997635e-08,1.783428932107135e-21,5.158541562699942e-08,0.0977847244836177,2.564999999982165e-06,,17.29837641492486
203,3,8,1.15,0.06,0.015,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206250000000001,5.1585415626997635e-08,1.783428932107135e-21,5.158541562699942e-08,0.0977847244836177,2.564999999982165e-06,,17.29924799199216
204,4,8,1.15,0.06,0.02,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206250000000001,5.1585415626997635e-08,1.783428932107135e-21,5.158541562699942e-08,0.0977847244836177,2.564999999982165e-06,,17.31241766200401
205,5,8,1.15,0.06,0.025,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.1020625,5.158541563289943e-08,1.7832789018070147e-21,5.158541563290121e-08,0.09778472448361772,2.5649999999960427e-06,,17.314007165958174
206,6,8,1.15,0.06,0.03,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,2.9296875e-05,0.10206770833333333,8.511628983333944e-07,1.7835789687181427e-21,8.511628983333962e-07,0.09777952054003952,2.9415881694702222e-05,,21.53191674593836
207,7,8,1.15,0.06,0.035,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.0050292968750000056,0.102328125,0.00014328982350158694,1.831686729633509e-21,0.00014328982350158694,0.09764870002616206,0.00503617192125972,,21.57668228202965
208,8,8,1.15,0.06,0.04,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.010029296875000005,0.10311979166666665,0.000282155148948757,1.897690269358837e-21,0.000282155148948757,0.09724599275193196,0.010084604312924857,,21.586779689998366
209,9,8,1.15,0.06,0.045,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.015029296875000002,0.104484375,0.0004175620346351967,1.981867186863383e-21,0.0004175620346351967,0.0965399031635806,0.015222773250396423,,21.615003237035125
210,10,8,1.15,0.06,0.05,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.020029296875000012,0.10801562499999996,0.0005508753283552853,2.1320955029038705e-21,0.0005508753283552853,0.09399050749498775,0.02089454229267741,,21.683577132993378
211,11,8,1.15,0.06,0.055,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.025029296874999996,0.11068229166666665,0.0006790613226254893,2.2617593284251986e-21,0.0006790613226254893,0.09261129020775236,0.026471159730574623,,21.63961730909068
212,12,8,1.15,0.06,0.06,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.030029296875000007,0.11601562499999997,0.0008058048348724062,2.4670252242115866e-21,0.0008058048348724062,0.089047716960752,0.033111580981893395,,21.460842658998445
213,13,8,1.15,0.06,0.065,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.03502929687500002,0.12001562499999997,0.0009255373587663305,2.6304904282375954e-21,0.0009255373587663305,0.08717875942166549,0.039360821178812885,,21.509205022011884
214,14,8,1.15,0.06,0.07,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.04002929687500002,0.12398437500000002,0.0010419731563040416,2.7847443211989483e-21,0.0010419731563040416,0.08577596833734538,0.045637712028354226,,21.487769118044525
215,15,8,1.15,0.06,0.075,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.045029296874999986,0.12398437500000002,0.0011626044240211969,2.8421242821968007e-21,0.0011626044240211969,0.08822023429155379,0.05008087187672539,,21.551254929043353
216,16,8,1.15,0.06,0.08,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.05002929687499999,0.12398437500000002,0.0012914033297122928,2.8992285031761203e-21,0.0012914033297122928,0.09087410375186109,0.05462038718906142,,21.58033767901361
217,17,8,1.15,0.06,0.085,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.05502929687500001,0.12398437500000002,0.0014282004845704672,2.95728709123402e-21,0.0014282004845704672,0.09371977233727888,0.05923410896968897,,21.606544035021216
218,18,8,1.15,0.06,0.09,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.06002929687500001,0.12398437500000002,0.0015728642082270736,3.019629406999714e-21,0.0015728642082270736,0.09674031590396402,0.06390596712501101,,21.65036315191537
219,19,8,1.15,0.06,0.095,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.06502929687500003,0.12398437500000002,0.0017252683585484087,3.0961979588802755e-21,0.0017252683585484087,0.09991987647833701,0.0686240890863623,,21.74723414995242
220,20,8,1.15,0.06,0.1,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.07002929687500004,0.12398437500000002,0.0018852740043795928,3.1798826106138847e-21,0.0018852740043795928,0.10324376353898329,0.07337955145463204,,21.81275652302429
221,21,8,1.15,0.06,0.105,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.07502929687500001,0.12398437500000002,0.00205271933106699,3.2581399176605893e-21,0.00205271933106699,0.10669848969849978,0.07816553934076696,,21.888494036975317
222,22,8,1.15,0.06,0.11,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.08002929687500002,0.12398437500000002,0.0022274143757132275,3.348337861580952e-21,0.0022274143757132275,0.11027175838893762,0.08297677090115636,,21.880552312009968
223,23,8,1.15,0.06,0.115,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.08502929687500002,0.12398437500000002,0.0024091385705477834,3.4412781433737334e-21,0.0024091385705477834,0.11395241854579306,0.08780909678349384,,21.937977602006868
224,24,8,1.15,0.06,0.12,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.09002929687499997,0.12398437500000002,0.002597639926168278,3.524039988184213e-21,0.002597639926168278,0.11773039831191842,0.09265921673898922,,21.9541151530575
225,0,9,1.15,0.06,0.0,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206249999999997,5.158541563610237e-08,1.782866351022196e-21,5.158541563610415e-08,0.09778472448361775,2.5650000000237982e-06,,17.313949318020605
226,1,9,1.15,0.06,0.005,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206249999999997,5.158541563610237e-08,1.782866351022196e-21,5.158541563610415e-08,0.09778472448361775,2.5650000000237982e-06,,17.308957819011994
227,2,9,1.15,0.06,0.01,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206249999999997,5.158541563610237e-08,1.782866351022196e-21,5.158541563610415e-08,0.09778472448361775,2.5650000000237982e-06,,17.305489349062555
228,3,9,1.15,0.06,0.015,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206249999999997,5.158541563610237e-08,1.782866351022196e-21,5.158541563610415e-08,0.09778472448361775,2.5650000000237982e-06,,17.31800137204118
229,4,9,1.15,0.06,0.02,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206249999999997,5.158541563610237e-08,1.782866351022196e-21,5.158541563610415e-08,0.09778472448361775,2.5650000000237982e-06,,17.315483425045386
230,5,9,1.15,0.06,0.025,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.10206249999999997,5.158541563610237e-08,1.782866351022196e-21,5.158541563610415e-08,0.09778472448361775,2.5650000000237982e-06,,18.921106825000606
231,6,9,1.15,0.06,0.03,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,2.9296875e-05,0.1020677083333333,8.511628983100194e-07,1.7837665233565874e-21,8.511628983100212e-07,0.09777952054003955,2.941588169469973e-05,,25.676670316956006
232,7,9,1.15,0.06,0.035,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.0050292968750000056,0.10232812499999998,0.00014328982350157368,1.832028857622027e-21,0.00014328982350157368,0.09764870002616209,0.005036171921259719,,25.725998311070725
233,8,9,1.15,0.06,0.04,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.010029296875000005,0.10334895833333332,0.0002822224146269632,1.904079696578405e-21,0.0002822224146269632,0.09701805098517567,0.010111141275754316,,25.78617667092476
234,9,9,1.15,0.06,0.045,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.015029296875000002,0.104484375,0.0004175620346351967,1.981867186863383e-21,0.0004175620346351967,0.0965399031635806,0.015222773250396423,,25.76326431997586
235,10,9,1.15,0.06,0.05,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.020029296875000012,0.10868229166666665,0.0005521860510535842,2.1510436249224105e-21,0.0005521860510535842,0.09333926189425844,0.021094085001841855,,25.80561827099882
236,11,9,1.15,0.06,0.055,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.025029296874999996,0.11401562499999997,0.0006861686371948972,2.3546503709007826e-21,0.0006861686371948972,0.08940653946781131,0.027735925915146297,,25.729853822034784
