Mach,alpha,priority,reason,campaign
1.1,0.05,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.1,0.075,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.1,0.325,high,high_alpha_gap,small_M_low_high_alpha_sparse_representative
1.1,0.35,high,high_alpha_gap,small_M_low_high_alpha_sparse_representative
1.2,0.05,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.2,0.075,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.2,0.325,high,high_alpha_gap,small_M_low_high_alpha_sparse_representative
1.25,0.05,high,low_alpha_gap;Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.25,0.075,high,low_alpha_gap;Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.25,0.1,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.25,0.125,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.25,0.15,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.25,0.175,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.25,0.2,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.25,0.225,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.25,0.275,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.25,0.3,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.3,0.05,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.3,0.075,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.33,0.05,high,low_alpha_gap;Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.33,0.075,high,low_alpha_gap;Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.33,0.1,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.33,0.125,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.33,0.15,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.33,0.175,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.33,0.2,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.33,0.225,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.4,0.05,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.4,0.075,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.5,0.05,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.5,0.075,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.6,0.05,high,low_alpha_gap;Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.6,0.075,high,low_alpha_gap;Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.6,0.15,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.6,0.175,high,Mach_undercovered,small_M_low_high_alpha_sparse_representative
1.7,0.05,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.7,0.075,high,low_alpha_gap,small_M_low_high_alpha_sparse_representative
1.1,0.1,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.1,0.225,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.1,0.25,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.1,0.275,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.1,0.3,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.2,0.1,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.2,0.125,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.2,0.225,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.2,0.25,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.2,0.275,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.2,0.3,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.3,0.25,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.3,0.275,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.3,0.3,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.4,0.225,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.5,0.175,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.5,0.2,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
1.7,0.2,medium,sparse_gap_fill,small_M_low_high_alpha_sparse_representative
