Mach,n_points,alpha_min,alpha_max,max_alpha_gap,needs_low_alpha_review,needs_gap_review
1.1,2,0.175,0.2,0.025000000000000022,True,False
1.2,6,0.15,0.216667,0.024999999999999994,True,False
1.25,1,0.25,0.25,,True,False
1.3,9,0.1,0.2249999999999999,0.024999999999999994,True,False
1.33,1,0.18,0.18,,False,False
1.4,11,0.1,0.2,0.024999999999999994,False,False
1.5,8,0.1,0.165625,0.024999999999999994,False,False
1.6,2,0.1,0.125,0.024999999999999994,False,False
1.7,4,0.1,0.175,0.024999999999999994,False,False
1.8,49,0.07,0.19,0.0025000000000000022,False,False
1.9,40,0.08,0.1775,0.0025000000000000022,False,False
