Mach,alpha,priority,reason
1.1,0.02,high,low_alpha_undercovered_for_small_Mach
1.1,0.04,high,low_alpha_undercovered_for_small_Mach
1.1,0.06,high,low_alpha_undercovered_for_small_Mach
1.1,0.08,high,low_alpha_undercovered_for_small_Mach
1.1,0.1,high,low_alpha_undercovered_for_small_Mach
1.1,0.12,high,low_alpha_undercovered_for_small_Mach
1.1,0.14,high,low_alpha_undercovered_for_small_Mach
1.1,0.16,high,low_alpha_undercovered_for_small_Mach
1.2,0.02,high,low_alpha_undercovered_for_small_Mach
1.2,0.04,high,low_alpha_undercovered_for_small_Mach
1.2,0.06,high,low_alpha_undercovered_for_small_Mach
1.2,0.08,high,low_alpha_undercovered_for_small_Mach
1.2,0.1,high,low_alpha_undercovered_for_small_Mach
1.2,0.12,high,low_alpha_undercovered_for_small_Mach
1.2,0.14,high,low_alpha_undercovered_for_small_Mach
1.25,0.02,high,low_alpha_undercovered_for_small_Mach
1.25,0.04,high,low_alpha_undercovered_for_small_Mach
1.25,0.06,high,low_alpha_undercovered_for_small_Mach
1.25,0.08,high,low_alpha_undercovered_for_small_Mach
1.25,0.1,high,low_alpha_undercovered_for_small_Mach
1.25,0.12,high,low_alpha_undercovered_for_small_Mach
1.25,0.14,high,low_alpha_undercovered_for_small_Mach
1.25,0.16,high,low_alpha_undercovered_for_small_Mach
1.25,0.18,high,low_alpha_undercovered_for_small_Mach
1.25,0.2,high,low_alpha_undercovered_for_small_Mach
1.25,0.22,high,low_alpha_undercovered_for_small_Mach
1.25,0.24,high,low_alpha_undercovered_for_small_Mach
1.3,0.02,high,low_alpha_undercovered_for_small_Mach
1.3,0.04,high,low_alpha_undercovered_for_small_Mach
1.3,0.06,high,low_alpha_undercovered_for_small_Mach
1.3,0.08,high,low_alpha_undercovered_for_small_Mach
