chart_id,point_index,Mach,eta,alpha,field_family,gep_regime,N,mapping_kind,mapping_scale,xi_max,continuation_required,technical_success,reference_success,selection_error,reference_error,ci_ref_diagnostic,ci_pred_diagnostic,ci_pinn,n_raw_eigenvalues,n_physically_admissible_modes,scalar_gep_raw_index,scalar_gep_cr,scalar_gep_ci,scalar_gep_omega_i,scalar_gep_distance,scalar_gep_ci_weight,ci_classic,gep_p_rel_classic,gep_rho_rel_classic,gep_u_rel_classic,gep_v_rel_classic,gep_p_overlap_classic,ci_ref,ci_pinn_abs_err_classic,ci_pinn_scaled_err_classic,scalar_gep_ci_abs_err_classic,scalar_gep_ci_scaled_err_classic
ETAEDGE_HM1,0,0.68,0.025,0.0183303027798233,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6714804503269557,0.6723016846671314,0.6723016846671315,901,111,591,-1.1018372111901659e-13,0.6717642686575268,0.012313642441159,0.0010748320192093,2.0,0.6715035322347859,2.3891531611800552e-05,2.3891531611791797e-05,0.0008216025096863,0.0002330192894815,0.9999999997145976,0.6715035322347859,0.0007981524323456,0.0011886049648753,0.0002607364227409,0.0003882874925068
ETAEDGE_HM1,1,0.68,0.04,0.0293284844477173,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6557030485058343,0.655406072942524,0.6554060729425241,901,112,587,4.5277084893223857e-14,0.6559887595139754,0.0192391561312829,0.0011653731429026,2.0,0.6557102144862521,1.6541891376374642e-05,1.6541891376376305e-05,0.0008685940164634,0.0002590643677806,0.999999999863183,0.6557102144862521,0.000304141543728,0.00046383529951,0.0002785450277232,0.0004247989760866
ETAEDGE_HM1,2,0.68,0.055,0.0403266661156113,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6402973626638216,0.640803947419314,0.6408039474193141,901,117,582,-5.325034094166068e-13,0.6405677085746475,0.025831960108132,0.0004724776893332,2.0,0.6403117380812271,2.203791850821092e-05,2.203791850821029e-05,0.0008703843703223,0.0002433443062017,0.999999999757165,0.6403117380812271,0.000492209338087,0.0007687026628029,0.0002559704934204,0.0003997591769712
ETAEDGE_HM1,3,0.77,0.025,0.0159510971409492,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6165066381283586,0.6133485536852715,0.6133485536852715,901,111,590,5.4909521678672404e-14,0.6168381388519463,0.0098392450730697,0.0069791703333494,2.0,0.6165300877184303,5.1251034409605605e-05,5.125103440960052e-05,0.0008631464751677,0.0002642069371322,0.9999999986866658,0.6165300877184303,0.0031815340331587,0.0051603872974514,0.0003080511335159,0.0004996530415181
ETAEDGE_HM1,4,0.77,0.04,0.0255217554255188,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.6024629350369386,0.5943224036895195,0.5943224036895195,901,153,587,-6.014006916079627e-14,0.6027707455846446,0.0153837675464689,0.0168966837902502,2.0,0.6024734949367822,1.903610536302212e-05,1.9036105363022776e-05,0.0008823022422678,0.0002867240767895,0.9999999998188134,0.6024734949367822,0.0081510912472626,0.0135293773348783,0.0002972506478624,0.0004933837759844
ETAEDGE_HM1,5,0.77,0.055,0.0350924137100884,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5887112151215433,0.5843987301097323,0.5843987301097323,901,115,582,4.208106236370356e-13,0.5890072720490892,0.0206696868689972,0.0092170838787137,2.0,0.5887025091871301,2.625661096363204e-05,2.6256610963637457e-05,0.0009137373127308,0.0002972105479316,0.9999999996552954,0.5887025091871301,0.0043037790773977,0.0073106178591634,0.0003047628619591,0.0005176856853896
ETAEDGE_HM1,6,0.86,0.025,0.012757350822173,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5612357829792347,0.5624493930174992,0.5624493930174994,901,108,590,2.884563593021788e-13,0.5618199052762979,0.0071673336304897,0.001258975482403,2.0,0.5612680950072376,0.0003755287923844,0.0003755287923844,0.0020924677672306,0.0007541111101634,0.9999999294890608,0.5612680950072376,0.0011812980102617,0.002104694745292,0.0005518102690602,0.0009831491830176
ETAEDGE_HM1,7,0.86,0.04,0.0204117613154769,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5494439548201733,0.5484561505270561,0.5484561505270562,901,116,586,-1.231294812000949e-13,0.549790081482232,0.0112221839168319,0.0026678619103515,2.0,0.5494386338497248,3.080698169172503e-05,3.080698169172498e-05,0.0009484099159324,0.0003521208034727,0.9999999995254648,0.5494386338497248,0.0009824833226685,0.0017881584259641,0.0003514476325071,0.0006396485628334
ETAEDGE_HM1,8,0.86,0.055,0.0280661718087807,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5378228773460405,0.5457745288638715,0.5457745288638715,901,116,584,2.912455378815746e-13,0.5381698915772859,0.0151043686393209,0.0152092745731711,2.0,0.5378292002308479,2.8095280119114226e-05,2.8095280119113355e-05,0.0009356607399283,0.0003432619960827,0.999999999605328,0.5378292002308479,0.0079453286330235,0.0147729588308207,0.0003406913464379,0.0006334563952492
ETAEDGE_HM2A,0,0.84,0.025,0.0135646599662505,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5735086980971678,0.5592990428124042,0.5592990428124042,901,108,590,3.770696188582434e-13,0.5739746364758613,0.0077857707730473,0.0293511873269143,2.0,0.5735251317446493,0.000139403792451,0.000139403792451,0.0014915123672466,0.0005215435714352,0.9999999902832912,0.5735251317446493,0.014226088932245,0.0248046478608002,0.000449504731212,0.0007837576879058
ETAEDGE_HM2A,1,0.84,0.04,0.0217034559460008,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5611082687660541,0.5551931214939788,0.5551931214939789,901,146,586,3.8896039602547816e-14,0.5614637536472208,0.0121857038425587,0.0125412643064837,2.0,0.5611212311347018,2.044926645698619e-05,2.0449266456974835e-05,0.0009265288417021,0.0003380470665569,0.9999999997909136,0.5611212311347018,0.0059281096407228,0.0105647573319138,0.0003425225125189,0.0006104251514888
ETAEDGE_HM2A,2,0.84,0.055,0.0298422519257511,pQscaled,longwave_map10_N301,301,pin,10.0,0.99,False,True,True,,,0.5489506746674381,0.547578269714038,0.547578269714038,901,114,583,-2.438548753634307e-13,0.5492910494581416,0.01639208187849,0.0034255594882071,2.0,0.5489703919257064,2.6415766703148056e-05,2.641576670315531e-05,0.0009189340427803,0.0003217782883415,0.9999999996511036,0.5489703919257064,0.0013921222116684,0.0025358784957145,0.0003206575324351,0.0005841071525011
ETAEDGE_HM2A,3,0.885,0.025,0.0116397755562553,pQscaled,extreme_longwave_map20_N301,301,pin,20.0,0.995,False,True,True,,,0.5460029811578562,0.5472589475456942,0.5472589475456942,901,164,585,-4.289923565729675e-14,0.5475023601887704,0.0063728045891173,0.0004868252861525,2.0,0.5459960989513974,7.036464191081512e-05,7.036464191081985e-05,0.0036561398235853,0.0014637655672873,0.9999999975244084,0.5459960989513974,0.0012628485942967,0.0023129260387062,0.0015062612373729,0.0027587399255521
ETAEDGE_HM2A,4,0.885,0.04,0.0186236408900085,pQscaled,extreme_longwave_map20_N301,301,pin,20.0,0.995,False,True,True,,,0.5350180444512138,0.5372509139385246,0.5372509139385248,901,87,580,7.806551337903597e-14,0.5365246382195686,0.0099920421908429,0.0014525514379122,2.0,0.5350169637152192,0.0001119493723532,0.0001119493723532,0.0037420475792758,0.0014869048737747,0.9999999937336692,0.5350169637152192,0.0022339502233055,0.0041754754985575,0.0015076745043494,0.0028179938330925
ETAEDGE_HM2A,5,0.885,0.055,0.0256075062237618,pQscaled,extreme_longwave_map20_N301,301,pin,20.0,0.995,False,True,True,,,0.524148194712836,0.5251472409845671,0.5251472409845672,901,182,575,-6.441931040649214e-14,0.5256986127139959,0.0134618304968965,0.0011027434588573,2.0,0.524173871144995,0.0001559236987271,0.0001559236987271,0.0038465036455495,0.0015264747022161,0.9999999878439,0.524173871144995,0.0009733698395721,0.00185695986228,0.0015247415690008,0.0029088469550575
ETAEDGE_HM2A,6,0.93,0.025,0.0091889879747445,pQscaled,extreme_longwave_map20_N301,301,pin,20.0,0.995,False,True,True,,,0.5189616403584802,0.5192015141071821,0.5192015141071822,901,166,586,4.8979894807245804e-15,0.5206129176828208,0.004783905840084,0.0028228071512772,2.0,0.5189562677907218,0.0001853641603953,0.0001853641603953,0.00377299752765,0.0016285110185497,0.999999982820064,0.5189562677907218,0.0002452463164603,0.0004725760756382,0.001656649892099,0.0031922726343621
ETAEDGE_HM2A,7,0.93,0.04,0.0147023807595912,pQscaled,extreme_longwave_map20_N301,301,pin,20.0,0.995,False,True,True,,,0.509892693494701,0.5102152492575579,0.510215249257558,901,85,582,-1.969856614478861e-13,0.511570083778073,0.0075212981569211,0.0027096690410299,2.0,0.5099073496036325,0.0001034672135199,0.0001034672135199,0.0038389481911667,0.0016507470608013,0.999999994647268,0.5099073496036325,0.0003078996539255,0.0006038345086903,0.0016627341744405,0.0032608554784178
