alpha,Mach,cr_init,ci_init,cr_final,ci_final,stage1_mismatch,stage2_mismatch,accept,job_id,launch_seed,stem
0.275,1.2,0.32,0.004,0.2711579962365928,0.0256950430219381,1.5366998805855937e-08,7162.9119969988415,False,939357,0.32:0.0040,supersonic_multicandidate_M1200_a0275_sparse_supersonic_expand1_M12to16_core_cr032_ci00040
0.3,1.2,0.32,0.004,0.2792872429230549,0.013253508997737,9.713751623291208e-09,22017.51249963712,False,939364,0.32:0.0040,supersonic_multicandidate_M1200_a0300_sparse_supersonic_expand1_M12to16_core_cr032_ci00040
0.25,1.3,0.32,0.004,0.3136049992622497,0.0255557095450457,5.3777270069169365e-09,5847.542117193422,False,939381,0.32:0.0040,supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr032_ci00040
0.25,1.3,0.36,0.012,0.3136050107070641,0.0255556977304756,9.60438892999354e-09,5847.550940551201,False,939382,0.36:0.0120,supersonic_multicandidate_M1300_a0250_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.275,1.3,0.32,0.004,0.3216319900525193,0.0142890050327251,2.2347774966175377e-08,15241.291994876714,False,939385,0.32:0.0040,supersonic_multicandidate_M1300_a0275_sparse_supersonic_expand1_M12to16_core_cr032_ci00040
0.275,1.3,0.36,0.012,0.3216319830095566,0.0142890224552542,2.4535238054773866e-08,15241.28866513888,False,939386,0.36:0.0120,supersonic_multicandidate_M1300_a0275_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.3,1.3,0.32,0.004,0.3288397042360604,0.0030189772632032,5.388247642130046e-08,22211.616642455705,False,971695,0.32:0.0040,supersonic_multicandidate_M1300_a0300_sparse_supersonic_expand1_M12to16_core_cr032_ci00040
0.3,1.3,0.36,0.012,0.32883976035967,0.0030191806551645,6.140069288683881e-08,22211.59678025665,False,971696,0.36:0.0120,supersonic_multicandidate_M1300_a0300_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.2,1.4,0.4,0.02,0.3412710056364831,0.0354084465108106,2.03021417277104e-08,1170.8837150152772,False,971701,0.40:0.0200,supersonic_multicandidate_M1400_a0200_sparse_supersonic_expand1_M12to16_core_cr040_ci00200
0.2,1.4,0.36,0.012,0.3412711284884578,0.0351933333331261,7.384629301419408e-05,1197.544924397337,False,971700,0.36:0.0120,supersonic_multicandidate_M1400_a0200_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.225,1.4,0.32,0.004,0.3504650791857912,0.0255507465804655,3.207295371822822e-09,4308.368458214708,False,971703,0.32:0.0040,supersonic_multicandidate_M1400_a0225_sparse_supersonic_expand1_M12to16_core_cr032_ci00040
0.225,1.4,0.4,0.02,0.3504650512340327,0.025550726613666,1.100678513987679e-08,4308.37577995218,False,971705,0.40:0.0200,supersonic_multicandidate_M1400_a0225_sparse_supersonic_expand1_M12to16_core_cr040_ci00200
0.225,1.4,0.36,0.012,0.3504651199029197,0.0255507356726769,1.9595333255629132e-08,4308.377692412355,False,971704,0.36:0.0120,supersonic_multicandidate_M1400_a0225_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.25,1.4,0.4,0.02,0.358547186442015,0.015506792154069,1.0746201008200957e-08,10006.229005265806,False,971709,0.40:0.0200,supersonic_multicandidate_M1400_a0250_sparse_supersonic_expand1_M12to16_core_cr040_ci00200
0.25,1.4,0.36,0.012,0.3585471565094231,0.0155067897286487,1.935671224943221e-08,10006.2241470907,False,971708,0.36:0.0120,supersonic_multicandidate_M1400_a0250_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.25,1.4,0.32,0.004,0.3585469971623902,0.0155067658133882,8.671077130573256e-08,10006.199141354611,False,971707,0.32:0.0040,supersonic_multicandidate_M1400_a0250_sparse_supersonic_expand1_M12to16_core_cr032_ci00040
0.275,1.4,0.36,0.012,0.3657500638708686,0.0053419134770262,1.7943641035534752e-08,15339.634830431743,False,971712,0.36:0.0120,supersonic_multicandidate_M1400_a0275_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.275,1.4,0.4,0.02,0.3657499274134649,0.0053420249099028,7.94516922236106e-08,15339.590766495923,False,971713,0.40:0.0200,supersonic_multicandidate_M1400_a0275_sparse_supersonic_expand1_M12to16_core_cr040_ci00200
0.3,1.4,0.44,0.012,0.3817968328637781,9.209799066121925e-06,3.863938576075944e-05,24080.720039819567,False,971718,0.44:0.0120,supersonic_multicandidate_M1400_a0300_sparse_supersonic_expand1_M12to16_core_cr044_ci00120
