dataset,chart,metric,n,stage2_median,stage3_median,ratio_stage3_over_stage2,fraction_improved
T401,C00,r_kappa_normalized_rms,28,0.0180228144795202,0.008419877899785249,0.46717885873779474,1.0
T401,C00,r_q_normalized_rms,28,0.016792618108485348,0.00801876412489935,0.4775172086386846,1.0
T401,C00,r_logamp_normalized_rms,28,0.0108052277591708,0.0058891162584503495,0.5450247222648349,1.0
T401,C00,bc_kappa_rmse,28,0.00227515190963435,0.0023279183626251504,1.0231924966273047,0.6428571428571429
T401,C00,bc_q_rmse,28,0.0012215022644791501,0.00100806987229075,0.8252705718237796,0.6071428571428571
T401,C01,r_kappa_normalized_rms,41,0.016793201184766,0.0092640573013536,0.5516552323423313,1.0
T401,C01,r_q_normalized_rms,41,0.016782652994065,0.0101830054982229,0.6067577934087065,1.0
T401,C01,r_logamp_normalized_rms,41,0.0108909479999635,0.0103449596295767,0.9498676910046188,0.6829268292682927
T401,C01,bc_kappa_rmse,41,0.0013581908560645,0.0035179804622101,2.5901959555255853,0.14634146341463414
T401,C01,bc_q_rmse,41,0.0013379812748289,0.0019513094158912,1.4583981499597085,0.2926829268292683
T401,C02,r_kappa_normalized_rms,62,0.02040000438931855,0.013114086945703901,0.6428472609824752,1.0
T401,C02,r_q_normalized_rms,62,0.01584621490557095,0.0098218361142006,0.6198222208098164,1.0
T401,C02,r_logamp_normalized_rms,62,0.01967140945115715,0.008487238921345251,0.43145047346091403,1.0
T401,C02,bc_kappa_rmse,62,0.0043973138547913,0.0019941846048654,0.4535006303206086,0.8064516129032258
T401,C02,bc_q_rmse,62,0.0029595476765274,0.0013545970070229498,0.4577040666607449,0.9032258064516129
T401,C10,r_kappa_normalized_rms,25,0.016457719902083,0.0079878230476477,0.48535417391790137,1.0
T401,C10,r_q_normalized_rms,25,0.0174555144859971,0.0089355043210908,0.5119015156075123,1.0
T401,C10,r_logamp_normalized_rms,25,0.0112661618587266,0.0067061585908797,0.5952478470460825,1.0
T401,C10,bc_kappa_rmse,25,0.0007635809764228,0.0005078202960503,0.6650510053685733,0.88
T401,C10,bc_q_rmse,25,0.0014346800308035,0.0007790632340448,0.543022288815494,0.72
T401,C11,r_kappa_normalized_rms,33,0.0157713545728957,0.0092017266829533,0.583445552531498,1.0
T401,C11,r_q_normalized_rms,33,0.0183768486635626,0.0094876992865835,0.5162854339327286,1.0
T401,C11,r_logamp_normalized_rms,33,0.0140550873263121,0.0066223320323517,0.47116975359905694,1.0
T401,C11,bc_kappa_rmse,33,0.0004557162058537,0.0006723200595432,1.4753042593333558,0.3333333333333333
T401,C11,bc_q_rmse,33,0.0005091204205113,0.0007962908925775,1.5640521583828835,0.24242424242424243
T401,C12,r_kappa_normalized_rms,34,0.01841244707379185,0.01081526414206,0.587388742990842,1.0
T401,C12,r_q_normalized_rms,34,0.01542931429981725,0.00927135920927895,0.6008924978207725,1.0
T401,C12,r_logamp_normalized_rms,34,0.00974633210825675,0.008048678420309,0.8258161461059224,1.0
T401,C12,bc_kappa_rmse,34,0.000868860772161,0.0006915395895661499,0.7959153085553361,0.7352941176470589
T401,C12,bc_q_rmse,34,0.0017105177100805499,0.0005295496439730999,0.30958442631275823,0.8529411764705882
T401,C20,r_kappa_normalized_rms,25,0.0166117797994234,0.0080136575824239,0.48240812719550114,1.0
T401,C20,r_q_normalized_rms,25,0.0150017450293625,0.007426162884156,0.4950199373220233,1.0
T401,C20,r_logamp_normalized_rms,25,0.009106266065347,0.0046774974940464,0.5136570203945783,1.0
T401,C20,bc_kappa_rmse,25,0.0003536448807856,0.0003557860710991,1.0060546339840788,0.36
T401,C20,bc_q_rmse,25,0.0004760732492183,0.0005485135886794,1.1521621716406985,0.44
T401,C21,r_kappa_normalized_rms,32,0.0162531324955557,0.00916590051122335,0.5639467046570683,1.0
T401,C21,r_q_normalized_rms,32,0.0161931581865358,0.00903858197796345,0.5581728946166167,1.0
T401,C21,r_logamp_normalized_rms,32,0.01121212018311675,0.0061501802427815,0.5485296395629493,1.0
T401,C21,bc_kappa_rmse,32,0.0025555899490937,0.00066806105671705,0.26141167793916525,1.0
T401,C21,bc_q_rmse,32,0.0031503167862306503,0.0004210101851333,0.13364058718584873,1.0
T401,C22,r_kappa_normalized_rms,22,0.02939931783571135,0.02271576280676935,0.7726629214225003,1.0
T401,C22,r_q_normalized_rms,22,0.0331796754149299,0.020065703920764448,0.6047588974223497,1.0
T401,C22,r_logamp_normalized_rms,22,0.011360739292967499,0.00963757004570615,0.8483224372265966,1.0
T401,C22,bc_kappa_rmse,22,0.00295839925334675,0.0016086186215266,0.5437462910750863,0.6818181818181818
T401,C22,bc_q_rmse,22,0.0025989163231012503,0.00341458139909995,1.313848148456499,0.13636363636363635
T401,C30,r_kappa_normalized_rms,39,0.0174122423941408,0.0094614651349864,0.5433800495546841,1.0
T401,C30,r_q_normalized_rms,39,0.0172027384196362,0.0089922383677856,0.5227213335710168,1.0
T401,C30,r_logamp_normalized_rms,39,0.0120886257664306,0.0054632318438811,0.4519315883739385,1.0
T401,C30,bc_kappa_rmse,39,0.0005136379001885,0.0006368935217238,1.2399659789319801,0.358974358974359
T401,C30,bc_q_rmse,39,0.0007528797429058,0.0004587962288205,0.6093884622924494,0.6923076923076923
T401,C31,r_kappa_normalized_rms,48,0.01674790007636595,0.008293429271506801,0.4951921873005558,1.0
T401,C31,r_q_normalized_rms,48,0.015676435921413802,0.008375819992263101,0.5342936388252538,1.0
T401,C31,r_logamp_normalized_rms,48,0.01211021376983095,0.0073095609010965,0.6035864469466369,1.0
T401,C31,bc_kappa_rmse,48,0.00123307720790625,0.0008676468908810999,0.7036436042430415,0.6875
T401,C31,bc_q_rmse,48,0.00069437882479385,0.0013706049380747,1.973857625168237,0.1875
T401,C32,r_kappa_normalized_rms,12,0.02127936886082735,0.01470985668490905,0.6912731660941341,1.0
T401,C32,r_q_normalized_rms,12,0.020622435194547553,0.0152869871796583,0.7412794384098774,1.0
T401,C32,r_logamp_normalized_rms,12,0.01222533802152925,0.009409245724438,0.7696511710243092,0.9166666666666666
T401,C32,bc_kappa_rmse,12,0.0029970624091281498,0.00138483445217205,0.46206393565721593,0.75
T401,C32,bc_q_rmse,12,0.00209066373806165,0.0009073949013543,0.43402240390680297,1.0
V64,C00,r_kappa_normalized_rms,5,0.0166581072712865,0.0071703455666044,0.43044179328607707,1.0
V64,C00,r_q_normalized_rms,5,0.0151142657552857,0.0072803027596481,0.4816841835073637,1.0
V64,C00,r_logamp_normalized_rms,5,0.0093183528680344,0.0049364710452698,0.5297578998326871,1.0
V64,C00,bc_kappa_rmse,5,0.0016785877628519,0.000991913786573,0.5909216119196238,0.8
V64,C00,bc_q_rmse,5,0.0008394092475825,0.0008458314005706,1.0076508008538099,0.6
V64,C01,r_kappa_normalized_rms,7,0.0214211504923345,0.0105891296326402,0.49433057465468494,1.0
V64,C01,r_q_normalized_rms,7,0.0175881324202857,0.0102896981057931,0.5850364245566645,1.0
V64,C01,r_logamp_normalized_rms,7,0.0121963245406372,0.0102322511548601,0.838961862712577,0.7142857142857143
V64,C01,bc_kappa_rmse,7,0.0014011013415337,0.0025927794115678,1.8505295332382188,0.14285714285714285
