benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
1,C00,1.1,0.09,1.812993186489701e-09,0.1849919122211095,0.095449984,0.12752211,0.11141578553702955,COMPLETED,,0.0,0.10921156312499998,1.9001939159957917e-07,3.4382568510718085e-21,1.900193915995826e-07,True,True,0,0.1,0.015,12,261.59769117401447,0.07578034909610955
8,C01,1.05,0.14,0.0443825798422026,0.1272560731093161,0.05161245,0.052045684,0.07555708869770819,COMPLETED,,0.042501121875000006,0.11198709024999998,0.0012224936185952302,4.4925362114565884e-23,0.0012224936185952302,True,True,0,0.015,0.03,12,280.9980037698988,0.01538446364487368
17,C02,1.1,0.215,0.1820716357575376,0.0726387709774911,0.1694937,0.07310511,0.012586577771763759,COMPLETED,,0.182062059375,0.07264156833333336,3.233005180759891e-06,8.413855441183644e-21,3.2330051807598995e-06,True,True,0,0.015,0.008,12,337.8170889340108,9.976587703952865e-06
10,C01,1.15,0.2,0.2086070430962784,0.0722196863696432,0.21243446,0.07688497,0.006034400675010647,COMPLETED,,0.208616100625,0.07221700125,2.8977621292457503e-06,1.8624912097820367e-21,2.897762129245752e-06,True,True,0,0.015,0.03,12,340.7567576059373,9.447152694909105e-06
55,C31,1.75,0.14,0.4489475540963262,0.0242005183491091,0.44925815,0.020648466,0.0035656059381527893,COMPLETED,,0.448955415625,0.02419534100000001,2.4208181969265678e-06,8.040478789790283e-21,2.420818196926576e-06,True,True,0,0.015,0.008,12,378.46197755099274,9.41321288863555e-06
31,C12,1.25,0.235,0.283159755764521,0.0387025891520861,0.28065905,0.053022023,0.014536152002696269,COMPLETED,,0.283168815625,0.03870431466666668,3.6503705284814722e-06,1.3004228467633e-21,3.6503705284814735e-06,True,True,0,0.015,0.008,12,375.8627451439388,9.222715026861986e-06
14,C02,1.05,0.22,0.1435406899321354,0.0776899506702274,0.11132309,0.077644095,0.032217632565562954,COMPLETED,,0.14354965249999999,0.07769096999999998,2.7807788127270494e-06,1.8737549729178955e-20,2.780778812727068e-06,True,True,0,0.1,0.008,12,328.1848097220063,9.02034677341546e-06
43,C21,1.55,0.2,0.4017552663925157,0.0216202143809181,0.40542525,0.01902417,0.004495356060080239,COMPLETED,,0.401763140625,0.02162312833333333,2.9757254854404395e-06,4.180951438863188e-21,2.9757254854404438e-06,True,True,0,0.015,0.008,12,410.646478286013,8.396109569049143e-06
4,C00,1.2,0.075,0.1254037605689256,0.1278442189910901,0.1309972,0.17927761,0.051736643448763775,COMPLETED,,0.125401496875,0.12785182874999998,5.137399288418844e-07,4.498491322430102e-21,5.137399288418889e-07,True,True,0,0.015,0.03,12,266.8727069820743,7.939316145312763e-06
41,C21,1.5,0.205,0.3845145331817926,0.0238977814289654,0.3906898,0.022200797,0.006404192098009273,COMPLETED,,0.3845081593749999,0.02389473248404948,2.5487222785710166e-06,2.9861924692170406e-21,2.5487222785710196e-06,True,True,0,0.015,0.03,12,407.04288700805046,7.0655132956420425e-06
35,C12,1.4,0.255,0.360051802461027,0.0134816819704447,0.36723602,0.0051265797,0.011019106842066513,COMPLETED,,0.36005828562500003,0.013483648477897134,3.0135276455350278e-06,1.8311926011647594e-23,3.0135276455350278e-06,True,True,0,0.015,0.015,12,421.9449688169407,6.774848091383688e-06
21,C02,1.2,0.315,0.283776640858734,0.0058299567246247,0.2675301,0.005195754,0.016258914569258147,COMPLETED,,0.28377033437500004,0.00582964254329427,3.4632896807798838e-06,1.512469851909359e-20,3.463289680779899e-06,True,True,0,0.015,0.03,12,420.8171772030182,6.314304949478444e-06
30,C11,1.4,0.19,0.3372147010212746,0.0392805758273937,0.34283513,0.03583122,0.006594488420557808,COMPLETED,,0.33721989562499993,0.039278485625,1.811017183038044e-06,2.3324639892630218e-21,1.8110171830380463e-06,True,True,0,0.015,0.015,12,381.096052562003,5.599361919887721e-06
52,C30,1.8,0.115,0.4550520054455996,0.0254326671624637,0.46485174,0.021089312,0.010719119898760798,COMPLETED,,0.45505681812499993,0.025435015124999998,1.1318285065344428e-06,6.21701328708486e-21,1.131828506534449e-06,True,True,0,0.015,0.015,12,363.678357884055,5.354886654473449e-06
28,C11,1.25,0.195,0.2657063752620336,0.0577515784663902,0.26623735,0.058260698,0.0007356200594474808,COMPLETED,,0.26571000625,0.057755489666666666,1.6783194938186419e-06,3.1989433044641063e-23,1.6783194938186419e-06,True,True,0,0.03,0.008,12,356.75651772192214,5.336811896142829e-06
23,C10,1.35,0.055,0.2048051278829152,0.0932814022118254,0.18919463,0.09081298,0.01580445356120649,COMPLETED,,0.204809864375,0.093283683125,2.649763267685589e-07,2.393251262969299e-21,2.6497632676856127e-07,True,True,0,0.015,0.015,12,283.5759086930193,5.2570830485778556e-06
59,C31,1.85,0.18,0.4905395491810024,0.0108833347589581,0.4916871,0.010030201,0.0014299335973589867,COMPLETED,,0.49053475625000004,0.010885233440429687,1.6608102795205311e-06,8.924956099072617e-21,1.66081027952054e-06,True,True,0,0.03,0.015,12,422.6785041029798,5.15530590013368e-06
63,C32,1.8,0.21,0.4844803096378324,0.0052840046266204,0.4840848,0.005801199,0.0006510897737438706,COMPLETED,,0.4844851906250001,0.005282800439615885,1.8328494611774805e-06,7.590606313180935e-21,1.8328494611774881e-06,True,True,0,0.015,0.03,12,449.9748327740235,5.027335484459165e-06
2,C00,1.1,0.105,0.0614720572586166,0.1377614529920954,0.14534307,0.11897908,0.08594838168039867,COMPLETED,,0.061475882499999995,0.137758376875,3.212776464126705e-07,2.5180183764164307e-21,3.2127764641267304e-07,True,True,0,0.06,0.015,12,272.45294437301345,4.90866254960771e-06
56,C31,1.8,0.14,0.4643068067440054,0.0214988079117178,0.46518022,0.019518593,0.0021642785893541128,COMPLETED,,0.464311079375,0.021501014875,1.249231912678303e-06,8.125921328121034e-21,1.249231912678311e-06,True,True,0,0.015,0.015,12,382.63376854604576,4.808956492331285e-06
16,C02,1.05,0.35,0.2055430635370356,0.0033487427887457,0.19669068,0.0017103432,0.009002724448697796,COMPLETED,,0.20553833624999998,0.003349614669010417,2.8985517162127762e-06,4.7473601830950207e-20,2.8985517162128236e-06,True,True,0,0.03,0.015,12,399.8551210220903,4.807017569472152e-06
20,C02,1.2,0.285,0.2745150983935676,0.0207082606481318,0.27969557,0.012975993,0.009307268613691034,COMPLETED,,0.27451978875,0.020707545606445315,2.321251668514782e-06,1.0501381754249377e-20,2.3212516685147925e-06,True,True,0,0.03,0.015,12,397.2063386760419,4.744547194041881e-06
49,C30,1.7,0.075,0.4008202608716605,0.0347139445851855,0.40201503,0.035420407,0.0013880066331176662,COMPLETED,,0.40082362374999997,0.034717282000000016,5.446137962431393e-07,2.4289256995939163e-21,5.446137962431418e-07,True,True,0,0.03,0.008,12,335.13915979501326,4.737856938551211e-06
15,C02,1.05,0.225,0.1469792621771554,0.0747033476696535,0.112431064,0.07401582,0.03455503858461951,COMPLETED,,0.14698184525,0.07469941374999997,1.506280346484286e-06,2.0313025175560182e-20,1.5062803464843063e-06,True,True,0,0.03,0.03,12,329.75617082207464,4.706165016328017e-06
11,C01,1.2,0.19,0.2345470619404851,0.0685917338335152,0.22998142,0.06911827,0.004595903247821172,COMPLETED,,0.23455173250000005,0.06859222833333332,1.3900653418752446e-06,7.218736454944661e-23,1.3900653418752446e-06,True,True,0,0.06,0.008,12,347.6464137210278,4.696664375147488e-06
39,C20,1.6,0.11,0.3823053415294019,0.0409883410294948,0.40039513,0.03747502,0.018427801593442306,COMPLETED,,0.3823091924999999,0.040990644999999985,8.058189085976621e-07,6.1452297025674724e-21,8.058189085976682e-07,True,True,0,0.06,0.008,12,343.4845313359983,4.487566671991089e-06
32,C12,1.25,0.285,0.3004516982633556,0.0149416772739879,0.29780772,0.011422343,0.0044018558346637015,COMPLETED,,0.300454204375,0.014937967999999996,2.2080973924484522e-06,6.16460087550391e-21,2.2080973924484586e-06,True,True,0,0.015,0.008,12,410.4998630270129,4.476528687656406e-06
12,C02,1.0,0.25,0.111546652099929,0.0638826719697617,0.10953082,0.06353735,0.0020451959118637703,COMPLETED,,0.11154904916666665,0.063879146875,1.367278902027435e-06,4.853218803740047e-20,1.3672789020274834e-06,True,True,0,0.1,0.015,12,328.01490358798765,4.262888929318357e-06
13,C02,1.0,0.315,0.1527202937243574,0.0259287963122211,0.15973595,0.02978584,0.008006011428133142,COMPLETED,,0.15272423124999998,0.025928418125,1.951015991120617e-06,5.690783023591987e-20,1.951015991120674e-06,True,True,0,0.03,0.015,12,363.1232406970812,3.9556458082455794e-06
25,C10,1.4,0.075,0.2608331471465684,0.0767975321674059,0.26328188,0.06943083,0.007763027335436741,COMPLETED,,0.26083070812500003,0.07680062166666667,3.3984255773374114e-07,3.946906785749322e-21,3.398425577337451e-07,True,True,0,0.015,0.008,12,304.4887884800555,3.936220508725641e-06
27,C11,1.25,0.17,0.2524134188561518,0.0696333329101972,0.25561032,0.07059202,0.003337552675193667,COMPLETED,,0.2524169606250001,0.06963498875000002,1.025171224838607e-06,9.46440924679083e-22,1.0251712248386079e-06,True,True,0,0.015,0.03,12,348.690335517982,3.909722755781763e-06
47,C22,1.6,0.22,0.4256110612063782,0.0118039423351638,0.43305627,0.0112891095,0.007462987795031318,COMPLETED,,0.42561486374999996,0.011804734499999999,1.5082758942456855e-06,3.5368639277990194e-21,1.5082758942456891e-06,True,True,0,0.03,0.008,12,430.5266081549926,3.884181139322052e-06
38,C20,1.55,0.06,0.3237921600955207,0.0505159341051575,0.32409853,0.04810274,0.002432564142533053,COMPLETED,,0.323795795625,0.05051484937499999,2.6945272442459157e-07,1.719534817880851e-21,2.6945272442459327e-07,True,True,0,0.015,0.015,12,312.5468857190572,3.793904862992378e-06
