step,ci_anchor_loss
1,0.02677936868711376
100,0.00010898612469589254
200,7.277251026281838e-05
300,4.772531510896485e-05
400,2.9555063722989034e-05
500,1.77274556264498e-05
600,1.0448007664589192e-05
700,5.940699802867046e-06
800,3.2252162895111375e-06
900,1.72551181309378e-06
1000,9.751163114424046e-07
1100,6.222031526921741e-07
1200,4.522511592950445e-07
1300,3.5840766007176807e-07
1400,2.956327070863332e-07
1500,2.4720101079683375e-07
1600,2.073266710445096e-07
1700,1.7390798303547031e-07
1800,1.4593782194348258e-07
1900,1.2269547794140768e-07
2000,1.0353204536141463e-07
2100,8.78313008068032e-08
2200,7.501520061255635e-08
2300,6.455675979517915e-08
2400,5.599052282705676e-08
2500,4.891835668786625e-08
2600,4.3010449085081005e-08
2700,3.800217755157351e-08
2800,3.368787349173571e-08
2900,2.991263391688135e-08
3000,2.6563286750683978e-08
