configuration,run,seed,median_abs,mean_abs,p95_abs,p99_abs,max_abs,fraction_lt_2e-2
physics-only,seed_1234,1234.0,0.285976,0.303773,0.618241,0.654663,0.663944,0.007481
physics-only,seed_2345,2345.0,0.2872,0.304398,0.61818,0.654272,0.663505,0.009975
physics-only,seed_3456,3456.0,0.287982,0.305036,0.617988,0.653464,0.662558,0.007481
four-anchor historical,historical_unseeded,,0.0009771636713185,0.0040076666729102,0.0174924860372857,0.0182247843759442,0.0182443188344566,1.0
four-anchor Stage-0,seed_1234,1234.0,0.0021923920602932,0.0052099624010049,0.0199838795071061,0.0206265025597656,0.0206641345894127,0.9501661129568106
four-anchor Stage-0,seed_2345,2345.0,0.0032401637203973,0.006878497809396,0.025871506948576,0.0267440773242151,0.0267686795937296,0.8538205980066446
four-anchor Stage-0,seed_3456,3456.0,0.0073366112193148,0.0088124920962457,0.0232885565072584,0.0238663301865439,0.0239117246657406,0.8637873754152824
