step,ci_anchor_loss
1,0.09900703773157556
100,0.0007020481503013313
200,0.0004979656375732554
300,0.000425527453063948
400,0.00035583124041378705
500,0.00028558558843957716
600,0.00021609985697156357
700,0.00014957831322338688
800,9.066255317402026e-05
900,4.60690553635179e-05
1000,1.9776413556138955e-05
1100,8.314360564152803e-06
1200,4.415304556368969e-06
1300,3.144939901572479e-06
1400,2.587329795795145e-06
1500,2.206922390266619e-06
1600,1.8821047498102394e-06
1700,1.5900509460333326e-06
1800,1.327832642659643e-06
1900,1.095695663682426e-06
2000,8.938562151446784e-07
2100,7.218658095593244e-07
2200,5.78471244061406e-07
2300,4.6163104763445565e-07
2400,3.6863478571377506e-07
2500,2.9630244721342065e-07
2600,2.412323861256873e-07
2700,2.0005697558136773e-07
2800,1.6966470077694785e-07
2900,1.4735741569685439e-07
3000,1.3092883325903064e-07
