canonical_path,classification,purpose,sha256,legacy_path,legacy_path_status
configs/production/classical/dense_supersonic_campaign_config.json,production,Final dense classical Riccati-shooting campaign configuration,d610c6c85bc65cc6cc73b85131e14724e5b4dbda45c50b110b6f6cfe6bbaf19a,code/configs/legacy/dense_supersonic_campaign_config.json,removed_phase_8b2
configs/validation/pointwise/cases.yaml,validation,Pointwise convergence validation case list,002c327dfa30f9a4297299a1ce4c534ee21b9e26f4426246925c3ea5f92e0ae8,code/configs/legacy/cases.yaml,removed_phase_8b1
configs/validation/plotting_ci.yaml,validation,Release and showcase plotting validation settings,7f8e3ec71bee91fed9d2d0bbbc8cc8393da5c9f1ea1703d5b18c7d10ba891b34,code/configs/legacy/plotting_ci.yaml,removed_phase_8b1
configs/validation/reference_v2.yaml,validation,Reference validation settings used by release-manifest preparation,7eea867244787e0c1a406ceb19de66c915768e38120fe7c8757b0a6af7e7b421,code/configs/legacy/reference_v2.yaml,removed_phase_8b1
configs/validation/witness_M150_a01625.yaml,validation,Witness spectral and modal reproduction configuration at M=1.50 alpha=0.1625,1742b0225aac1cb093165b8ab522d212981ea906c7266f25c51abcc625efd320,code/configs/legacy/witness_M150_a01625.yaml,removed_phase_8b1
configs/experiments/fixed_mach/S4M4.json,experiment,Retained fixed-Mach S4M4 smoke experiment configuration,76de1d69a1d9ec2abd14c4564841601f8cff9752d1ff9b2f9ebcd84a577a7050,code/configs/legacy/S4M4.json,removed_phase_8b1
