region,definition,n,ci_seed_mae,ci_seed_median,ci_seed_p95,ci_seed_p99,ci_seed_max,ci_final_mae,ci_final_median,ci_final_p95,ci_final_p99,ci_final_max,gep_mae_reduction_percent
all,all valid points,387,0.0010447176609742442,0.0004193886242472,0.001632086219847059,0.0032004527168805626,0.1484978281947952,0.0005922167619863511,6.791145666101839e-05,0.00151962144960538,0.0019093542080724018,0.1477036788046178,43.31322383943587
interior,"eta>0.25, eta<0.9, Mach<0.9",179,0.0005460816458939871,0.0004147564543564,0.00153775502721896,0.002220155459764958,0.0025161248159217,5.1585339388625305e-05,4.930337388450723e-05,8.250463219832138e-05,9.018933887648295e-05,9.57555551135969e-05,90.55354821453938
long_wavelength,eta<=0.25,120,0.0004662905858523894,0.0003093052165221,0.0013077878594115,0.002663742237929481,0.003933711954957,0.0004788825776443342,0.00024316611306285,0.0017525449876083798,0.002279445309269653,0.0045569985893798,-2.700460222443985
near_neutral,eta>=0.9,60,0.0037196809888988065,0.0006827899514676499,0.003713938381850629,0.07421502501031775,0.1484978281947952,0.002657069309873133,1.861364347240102e-05,0.001185475196607354,0.06177239707754239,0.1477036788046178,28.56727988762968
high_mach,Mach>=0.9,60,0.003760488462167149,0.00049095233684685,0.003713938381850629,0.07421502501031775,0.1484978281947952,0.0031152491720523394,0.00013785074647975,0.002073162233483629,0.06324713747762689,0.1477036788046178,17.15839036886611
edge_corner_union,eta<=0.25 or eta>=0.9 or Mach>=0.9,208,0.00147383230856735,0.0004369902499675,0.0017380644461348497,0.014911842956586745,0.1484978281947952,0.0010574716881642016,0.000203447227969,0.0016991791716151443,0.0023498983722313603,0.1477036788046178,28.250203091820875
