boundary_id,pair_id,normal_axis,Mach_boundary,alpha_boundary,chart_a,chart_b,samepoint_cr_a,samepoint_ci_a,samepoint_cr_b,samepoint_ci_b,samepoint_cr_abs_diff,samepoint_ci_abs_diff,samepoint_c_abs_diff,eps,Mach_minus,alpha_minus,Mach_plus,alpha_plus,routed_chart_minus,routed_chart_plus,routed_cr_minus,routed_ci_minus,routed_cr_plus,routed_ci_plus,routed_cr_abs_diff,routed_ci_abs_diff,routed_c_abs_diff,route_changes
ROUTE_0073,C22--C32,Mach,1.6500000005000033,0.3248666666666667,C22,C32,0.3497127890586853,0.008524763397872448,0.2814207077026367,0.03980076685547829,0.06829208135604858,0.03127600345760584,0.07511322632014505,1e-06,1.6499990005000034,0.3248666666666667,1.6500010005000032,0.3248666666666667,C22,C32,0.349712073802948,0.00852497760206461,0.2814185321331024,0.03980252519249916,0.06829354166984558,0.03127754759043455,0.07511519697826022,True
ROUTE_0024,C02--C12,Mach,1.250000000500237,0.36,C02,C12,0.2720485031604767,0.0014041003305464983,0.33083805441856384,0.0011050703469663858,0.05878955125808716,0.00029902998358011246,0.05879031175336917,1e-06,1.249999000500237,0.36,1.2500010005002369,0.36,C02,C12,0.27204838395118713,0.0014041149988770485,0.3308384120464325,0.0011050703469663858,0.05879002809524536,0.00029904465191066265,0.05879078865896915,True
ROUTE_0011,C01--C02,alpha,1.063,0.2200000005000543,C01,C02,0.18426388502120972,0.0885106772184372,0.14176051318645477,0.07533860206604004,0.042503371834754944,0.013172075152397156,0.04449764242231085,1e-06,1.063,0.2199990005000543,1.063,0.2200010005000543,C01,C02,0.18426041305065155,0.08851038664579391,0.14176097512245178,0.07533791661262512,0.04249943792819977,0.013172470033168793,0.0444940017416689,True
ROUTE_0074,C22--C32,Mach,1.6500000005000033,0.36,C22,C32,0.2669350802898407,0.052850011736154556,0.2273585945367813,0.06873669475317001,0.03957648575305939,0.015886683017015457,0.04264604227645562,1e-06,1.6499990005000034,0.36,1.6500010005000032,0.36,C22,C32,0.2669338583946228,0.05285116285085678,0.22735707461833954,0.06873834878206253,0.039576783776283264,0.01588718593120575,0.04264650619789832,True
ROUTE_0004,C00--C01,alpha,1.2489999999999999,0.13000000049990673,C00,C01,0.2021789252758026,0.10532466322183609,0.24075835943222046,0.08929939568042755,0.03857943415641785,0.01602526754140854,0.04177537479907394,1e-06,1.2489999999999999,0.12999900049990673,1.2489999999999999,0.13000100049990673,C00,C01,0.2021784633398056,0.10532382875680923,0.24075959622859955,0.08929893374443054,0.038581132888793945,0.016024895012378693,0.04177680068100641,True
ROUTE_0009,C00--C10,Mach,1.250000000500237,0.12956666666666666,C00,C10,0.20204174518585205,0.10489889979362488,0.23054343461990356,0.08690287917852402,0.028501689434051514,0.01799602061510086,0.033707611285498394,1e-06,1.249999000500237,0.12956666666666666,1.2500010005002369,0.12956666666666666,C00,C10,0.20204170048236847,0.10489897429943085,0.23054391145706177,0.08690272271633148,0.0285022109746933,0.017996251583099365,0.03370817558824763,True
ROUTE_0064,C21--C22,alpha,1.648,0.2200000005000543,C21,C22,0.42961928248405457,0.012340075336396694,0.4603974223136902,0.0035301847383379936,0.03077813982963562,0.0088098905980587,0.032014185351533865,1e-06,1.648,0.2199990005000543,1.648,0.2200010005000543,C21,C22,0.4296194314956665,0.012340246699750423,0.46039772033691406,0.0035299307201057673,0.03077828884124756,0.008810315979644656,0.03201444567154718,True
ROUTE_0082,C31--C32,alpha,1.777,0.2200000005000543,C31,C32,0.4511345624923706,0.006055028643459082,0.48127278685569763,0.0035717152059078217,0.030138224363327026,0.00248331343755126,0.030240360669201043,1e-06,1.777,0.2199990005000543,1.777,0.2200010005000543,C31,C32,0.45113617181777954,0.006055059842765331,0.48127281665802,0.003571517067030072,0.03013664484024048,0.002483542775735259,0.030238805316111613,True
ROUTE_0081,C31--C32,alpha,1.714,0.2200000005000543,C31,C32,0.4384930431842804,0.009533845819532871,0.46475255489349365,0.00514176394790411,0.026259511709213257,0.004392081871628761,0.02662428099260895,1e-06,1.714,0.2199990005000543,1.714,0.2200010005000543,C31,C32,0.4384939968585968,0.009533905424177647,0.4647526443004608,0.0051414682529866695,0.026258647441864014,0.004392437171190977,0.026623487182917488,True
ROUTE_0003,C00--C01,alpha,1.186,0.13000000049990673,C00,C01,0.17695049941539764,0.12255580723285675,0.18421699106693268,0.10308180749416351,0.007266491651535034,0.019473999738693237,0.02078553744179959,1e-06,1.186,0.12999900049990673,1.186,0.13000100049990673,C00,C01,0.17694854736328125,0.12255385518074036,0.184218168258667,0.10308076441287994,0.007269620895385742,0.019473090767860413,0.020785780043480674,True
