metric,n_finite,nominal_threshold,median,p90,p95,p99,max,max_over_nominal_threshold
stage1_mismatch,500,0.05,1.20326657000505e-06,0.005229437409741974,0.01282387741140541,0.019089976446465533,0.0238797061816041,0.477594123632082
stage2_mismatch,500,0.01,6.367074352780526e-21,2.596642011399964e-19,3.670959597433769e-19,4.991189403787856e-19,6.418360421826917e-19,6.418360421826916e-17
