alpha,Mach,lower_mach,upper_mach,interp_weight,lower_alpha,upper_alpha,lower_cr,lower_ci,upper_cr,upper_ci,lower_source_type,upper_source_type,lower_source_label,upper_source_label,interp_cr,interp_ci,guide_target_cr,guide_target_ci,guide_target_ci_source,blumen_cr,blumen_ci
0.125,1.4,1.3,1.5,0.49999999999999944,0.125,0.125,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,modal,modal,spectral_summary_modal_fallback,spectral_summary_modal_fallback,0.2999981759601773,0.06467927353325892,0.2999981759601773,0.03760313434591587,blumen_ci,0.3024517446368571,0.03760313434591587
0.1375,1.4,1.3,1.5,0.49999999999999944,0.1375,0.1375,0.25933933467067316,0.07524066836019774,0.3561293840907055,0.0454370701278998,modal_interp,modal,spectral_summary_modal_fallback,modal_front_spectral_dense_M15,0.30773435938068927,0.060338869244048784,0.30773435938068927,0.0351464115076858,blumen_ci,0.3060574050142156,0.0351464115076858
0.15,1.4,1.3,1.5,0.49999999999999944,0.15,0.15,0.2679464671366972,0.0699190855162764,0.3623598528407056,0.0418239381434009,modal,modal,spectral_summary_modal_fallback,spectral_summary_modal_fallback,0.3151531599887013,0.05587151182983867,0.3151531599887013,0.032689688669455735,blumen_ci,0.3096630653915741,0.032689688669455735
0.1625,1.4,1.3,1.5,0.49999999999999944,0.1625,0.1625,0.2753741570531295,0.0644937399606446,0.3680825090907056,0.0380056534011514,modal,modal,modal_front_spectral_dense,modal_front_spectral_dense_M15,0.3217283330719175,0.051249696680898016,0.3217283330719175,0.030232965831225672,blumen_ci,0.3132687257689326,0.030232965831225672
0.16875,1.4,1.3,1.5,0.49999999999999944,0.16875,0.16875,0.27877945271991333,0.06175589190512715,0.3707325090907057,0.0360444572608568,modal_interp,spectral,modal_front_spectral_dense|spectral_summary_modal_fallback,modal_front_spectral_dense_M15,0.3247559809053095,0.04890017458299199,0.3247559809053095,0.029059004109787612,blumen_ci,0.3150715559576119,0.029059004109787612
0.175,1.4,1.3,1.5,0.49999999999999944,0.175,0.175,0.2821847483866972,0.0590180438496097,0.3733559465907056,0.0340212037684009,modal,spectral,spectral_summary_modal_fallback,spectral_summary,0.3277703474887014,0.04651962380900532,0.3277703474887014,0.02789777428202272,blumen_ci,0.3168743861462911,0.02789777428202272
0.18125,1.4,1.3,1.5,0.49999999999999944,0.18125,0.18125,0.2853486647294233,0.05627088988796616,0.3758075090907057,0.0319782648224763,modal_interp,spectral,spectral_summary_modal_fallback|modal_front_spectral_dense,modal_front_spectral_dense_M15,0.3305780869100644,0.044124577355221246,0.3305780869100644,0.026736544454257827,blumen_ci,0.31867721633497037,0.026736544454257827
0.1875,1.4,1.3,1.5,0.49999999999999944,0.1875,0.1875,0.288400205080627,0.053514498103129596,0.3782325090907057,0.0298849314891429,modal_interp,spectral,modal_front_spectral_dense,modal_front_spectral_dense_M15,0.3333163570856663,0.04169971479613626,0.3333163570856663,0.02557531462649293,blumen_ci,0.32048004652364964,0.02557531462649293
0.19375,1.4,1.3,1.5,0.49999999999999944,0.19375,0.19375,0.2913462980636087,0.05075188382687405,0.3805469622157058,0.0277711238068128,spectral_interp,spectral,modal_front_spectral_dense|spectral_summary,modal_front_spectral_dense_M15,0.3359466301396572,0.039261503816843436,0.3359466301396572,0.024414084798728034,blumen_ci,0.3222828767123289,0.024414084798728034
0.2,1.4,1.3,1.5,0.49999999999999944,0.2,0.2,0.2941938216788323,0.0479860594036997,0.3827621965907056,0.0256305787684009,spectral,spectral,spectral_summary,spectral_summary,0.3384780091347689,0.03680831908605031,0.3384780091347689,0.02325285497096314,blumen_ci,0.32408570690100813,0.02325285497096314
