line_id,anchor_alpha,alpha,Mach,continuation_direction,continuation_step_index,continuation_prev_alpha,continuation_prev_cr,continuation_prev_ci,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,delta_cr_prev,delta_ci_prev,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,success_priority,y_limit
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,previous,0.23316948728073064,0.06986588448643195,0.015,0.015,0.015,0.015,0,0.22591362790573064,0.07624283761143195,0.01334249658200059,0.004850626962429633,0.001992816239835757,0.026839268232158302,0.007255859375000007,0.006376953125000001,1.974944651402862e-06,1.0752341575664461e-20,-19.662337067842756,True,True,True,validated,-0.03631045360396311,distance_to_blumen_plus_previous,0,275.68374573004917
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,previous,0.23316948728073064,0.06986588448643195,0.03,0.015,0.03,0.015,0,0.22592339353073063,0.07624283761143195,0.01334249658200059,0.004860392587429624,0.001992816239835757,0.026839268232158302,0.0072460937500000155,0.006376953125000001,2.192137096554841e-06,1.0662870755260889e-20,-19.663432502413862,True,True,True,validated,-0.03630981497981106,distance_to_blumen_plus_previous,0,275.6855831802771
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,blumen,0.221063000943301,0.0742500213715962,0.015,0.008,0.015,0.008,0,0.225916516568301,0.07624481303826285,0.013342842281695997,0.004853515624999999,0.001994791666666648,0.026865873299664007,0.0072529707124296405,0.0063789285518308925,1.1618557327696584e-06,1.0755381035235818e-20,-19.662241093762777,True,True,True,validated,-0.03629468843852865,distance_to_blumen_plus_previous,0,275.67718925995234
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,blumen,0.221063000943301,0.0742500213715962,0.03,0.008,0.03,0.008,0,0.225926282193301,0.07624481303826285,0.013342842281695997,0.00486328124999999,0.001994791666666648,0.026865873299664007,0.007243205087429649,0.0063789285518308925,2.4897911624472696e-06,1.0663971355852053e-20,-19.663336485960166,True,True,True,validated,-0.03629399448719114,distance_to_blumen_plus_previous,0,275.679026644195
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,previous,0.23316948728073064,0.06986588448643195,0.015,0.008,0.015,0.008,0,0.22591362790573064,0.07624609281976528,0.013343066243458924,0.004850626962429633,0.001996071448169087,0.02688310940921385,0.007255859375000007,0.0063802083333333315,1.3550119968486538e-06,1.0796455780164054e-20,-19.661644996404775,True,True,True,validated,-0.03628474421219968,distance_to_blumen_plus_previous,0,275.6720462253006
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,previous,0.23316948728073064,0.06986588448643195,0.03,0.008,0.03,0.008,0,0.22592339353073063,0.07624609281976528,0.013343066243458924,0.004860392587429624,0.001996071448169087,0.02688310940921385,0.0072460937500000155,0.0063802083333333315,1.655649291815281e-06,1.0718614029067787e-20,-19.662740365197358,True,True,True,validated,-0.03628410248441544,distance_to_blumen_plus_previous,0,275.673883593485
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,blend_previous_blumen,0.2271162441120158,0.07205795292901407,0.015,0.015,0.015,0.015,0,0.22591507223701582,0.07624740605401407,0.013343296059452463,0.004852071293714816,0.001997384682417877,0.026900796060672406,0.007254415043714824,0.006381521567582121,8.463666632645894e-07,1.0811157496334716e-20,-19.66152781556427,True,True,True,validated,-0.03627429252361253,distance_to_blumen_plus_previous,0,275.6675983740636
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,blend_previous_blumen,0.2271162441120158,0.07205795292901407,0.03,0.015,0.03,0.015,0,0.22592483786201586,0.07624740605401407,0.013343296059452463,0.0048618369187148625,0.001997384682417877,0.026900796060672406,0.007244649418714777,0.006381521567582121,1.8956501208357103e-06,1.071721177996101e-20,-19.662623156594726,True,True,True,validated,-0.036273613574448256,distance_to_blumen_plus_previous,0,275.66943570105377
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,blend_previous_blumen,0.2271162441120158,0.07205795292901407,0.015,0.008,0.015,0.008,0,0.22591507223701582,0.0762506612623474,0.013343865720910794,0.004852071293714816,0.0020006398907512074,0.026944637237727956,0.007254415043714824,0.006384776775915452,8.551396310320347e-07,1.0870782061383056e-20,-19.660835820390975,True,True,True,validated,-0.03624855057108542,distance_to_blumen_plus_previous,0,275.6559002630595
M1.20_anchor0.200,0.2,0.175,1.2,left,2,0.1875,0.23316948728073064,0.06986588448643195,0.221063000943301,0.0742500213715962,True,True,True,blend_previous_blumen,0.2271162441120158,0.07205795292901407,0.03,0.008,0.03,0.008,0,0.22592483786201586,0.0762506612623474,0.013343865720910794,0.0048618369187148625,0.0020006398907512074,0.026944637237727956,0.007244649418714777,0.006384776775915452,1.899576358762817e-06,1.078577619499726e-20,-19.661931095652864,True,True,True,validated,-0.036247872928477747,distance_to_blumen_plus_previous,0,275.65773750801634
