Mach,frontier_direction,anchor_alpha,frontier_left_alpha,frontier_right_alpha,segment_alpha_min,segment_alpha_max,segment_points_original,segment_points_dense,dense_alphas
1.2,right,0.2,0.2,0.225,0.175,0.275,5,10,0.175000 0.187500 0.200000 0.208333 0.216667 0.225000 0.237500 0.250000 0.262500 0.275000
1.3,right,0.175,0.175,0.2,0.15,0.225,4,8,0.150000 0.162500 0.175000 0.183333 0.191667 0.200000 0.212500 0.225000
1.5,right,0.15,0.15,0.175,0.125,0.25,6,12,0.125000 0.137500 0.150000 0.158333 0.166667 0.175000 0.187500 0.200000 0.212500 0.225000 0.237500 0.250000
