alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,guide_target_cr,guide_target_ci,guide_target_ci_source,guide_lower_cr,guide_lower_ci,guide_upper_cr,guide_upper_ci,guide_lower_mach,guide_upper_mach,guide_lower_source_type,guide_upper_source_type,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,guide_err_cr_abs,guide_err_ci_abs,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,lower_cr_target_ci,0.2507322022046491,0.03760313434591586,0.1,0.008,0.1,0.008,0,0.30327126470464905,0.05358750934591587,0.006698438668239484,0.0008195200677919567,0.01598437500000001,0.4250809215252584,0.0032730887444717416,0.01598437500000001,0.0017665559834707826,3.0047490024189555e-20,-19.623817113683543,True,True,True,validated,0.08985136709766091,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,interp_cr_target_ci,0.2999981759601773,0.03760313434591586,0.06,0.008,0.06,0.008,0,0.3032403634601773,0.05358750934591587,0.006698438668239484,0.0007886188233202085,0.01598437500000001,0.4250809215252584,0.0032421874999999933,0.01598437500000001,0.001766537379312206,3.097404334833781e-20,-19.618590080096993,True,True,True,validated,0.08985150043612182,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,upper_cr_target_ci,0.3492641497157056,0.03760313434591586,0.1,0.008,0.1,0.008,0,0.3032355038823723,0.05358750934591587,0.006698438668239484,0.0007837592455152143,0.01598437500000001,0.4250809215252584,0.003237327922194999,0.01598437500000001,0.0017665362608316453,3.109393509967648e-20,-19.617768111432355,True,True,True,validated,0.08985152168853588,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,interp_cr_target_ci,0.2999981759601773,0.03760313434591586,0.015,0.008,0.015,0.008,0,0.3032305978351773,0.05358750934591587,0.006698438668239484,0.0007788531983202174,0.01598437500000001,0.4250809215252584,0.0032324218750000022,0.01598437500000001,0.001766535629941999,3.1231007981231414e-20,-19.616938294552302,True,True,True,validated,0.08985154322230773,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,upper_cr_target_ci,0.3492641497157056,0.03760313434591586,0.03,0.008,0.03,0.008,0,0.3032289934657055,0.05358750934591587,0.006698438668239484,0.000777248828848387,0.01598437500000001,0.4250809215252584,0.003230817505528172,0.01598437500000001,0.001766535532265571,3.126488161085313e-20,-19.616666931439646,True,True,True,validated,0.0898515502812892,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,blumen_ci_guided,0.3024517446368571,0.03760313434591586,0.015,0.008,0.015,0.008,0,0.3032232290118571,0.05358750934591587,0.006698438668239484,0.00077148437500002,0.01598437500000001,0.4250809215252584,0.003225053051679805,0.01598437500000001,0.0017665356231165922,3.143665106809862e-20,-19.615691941974703,True,True,True,validated,0.0898515757132818,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,interp_cr_target_ci,0.2999981759601773,0.03760313434591586,0.03,0.008,0.03,0.008,0,0.3032208322101773,0.05358750934591587,0.006698438668239484,0.0007690875733202263,0.01598437500000001,0.4250809215252584,0.003222656250000011,0.01598437500000001,0.0017665358643455635,3.1546272026626137e-20,-19.61528655611787,True,True,True,validated,0.08985158631954797,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,blumen_ci_guided,0.3024517446368571,0.03760313434591586,0.03,0.008,0.03,0.008,0,0.3032134633868571,0.05358750934591587,0.006698438668239484,0.0007617187500000289,0.01598437500000001,0.4250809215252584,0.0032152874266798137,0.01598437500000001,0.0017665373544952312,3.174440286938737e-20,-19.61404023896546,True,True,True,validated,0.0898516190452366,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,lower_cr_target_ci,0.2507322022046491,0.03760313434591586,0.03,0.008,0.03,0.008,0,0.30321267095464915,0.05358750934591587,0.006698438668239484,0.0007609263177920655,0.01598437500000001,0.4250809215252584,0.0032144949944718504,0.01598437500000001,0.0017665375820125654,3.181941635710808e-20,-19.613906213494634,True,True,True,validated,0.08985162257505513,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,upper_cr_target_ci,0.3492641497157056,0.03760313434591586,0.06,0.008,0.06,0.008,0,0.3032094622157055,0.05358750934591587,0.006698438668239484,0.0007577175788484047,0.01598437500000001,0.4250809215252584,0.0032112862555281896,0.01598437500000001,0.0017665386368343745,3.184655383421292e-20,-19.61336351693255,True,True,True,validated,0.08985163688903484,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,blumen_ci_guided,0.3024517446368571,0.03760313434591586,0.06,0.008,0.06,0.008,0,0.30319393213685714,0.05358750934591587,0.006698438668239484,0.0007421875000000466,0.01598437500000001,0.4250809215252584,0.0031957561766798315,0.01598437500000001,0.0017665467694553962,3.2338284174192067e-20,-19.610736974408912,True,True,True,validated,0.08985170664234245,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,lower_cr_target_ci,0.2507322022046491,0.03760313434591586,0.06,0.008,0.06,0.008,0,0.3031931397046491,0.05358750934591587,0.006698438668239484,0.0007413950677920278,0.01598437500000001,0.4250809215252584,0.0031949637444718126,0.01598437500000001,0.0017665473188094812,3.2363325095397926e-20,-19.6106029564999,True,True,True,validated,0.08985171022263573,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,interp_cr_target_ci,0.2999981759601773,0.03760313434591586,0.1,0.008,0.1,0.008,0,0.30318828012684407,0.05358750934591587,0.006698438668239484,0.000736535489986978,0.01598437500000001,0.4250809215252584,0.003190104166666763,0.01598437500000001,0.0017665509744385752,3.250040277710984e-20,-19.60978110118168,True,True,True,validated,0.08985173222357146,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,blumen_ci_guided,0.3024517446368571,0.03760313434591586,0.1,0.008,0.1,0.008,0,0.30316789047019044,0.05358750934591587,0.006698438668239484,0.0007161458333333481,0.01598437500000001,0.4250809215252584,0.003169714510013133,0.01598437500000001,0.001766571668494605,3.3071757063395606e-20,-19.606332915326213,True,True,True,validated,0.08985182537400363,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,upper_cr_target_ci,0.3492641497157056,0.03760313434591586,0.015,0.008,0.015,0.008,0,0.31929344659070547,0.05358750934591587,0.006698438668239484,0.016841701953848376,0.01598437500000001,0.4250809215252584,0.01929527063052816,0.01598437500000001,0.003487607298527982,7.175899799538413e-19,-22.36426733775664,True,True,True,validated,0.09015426797514252,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,lower_cr_target_ci,0.2507322022046491,0.03760313434591586,0.015,0.008,0.015,0.008,0,0.28070290532964903,0.05358750934591587,0.006698438668239484,0.021748839307208057,0.01598437500000001,0.4250809215252584,0.019295270630528272,0.01598437500000001,0.00468822504110159,1.7986418456868632e-18,-16.032328802959984,True,True,True,validated,0.09065501605141742,distance_to_guided_branch_target,500.0
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,1.3,1.5,modal,modal,upper_branch_ci_blend,0.3492641497157056,0.04319971510415728,0.1,0.008,0.1,0.008,0,0.303105295549039,0.05918409010415729,0.007398011263019661,0.0006535509121818883,0.021580955758241427,0.5739137477135697,0.003107119588861673,0.021580955758241427,0.000678839301887544,1.0287043793093504e-19,-19.321558672567548,True,True,True,validated,0.11203091352059154,distance_to_guided_branch_target,484.8289824444696
