alpha,Mach,best_status,y,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,p_real,p_imag
0.1,1.8,validated,-743.9002996358191,-4.135881580012934e-05,-1.9725992386974976e-05,-8.969469131709339e-06,-3.766306250765816e-06,2.1160016593135615e-05,1.0303481476614127e-05,-1.276506660497819e-05,-6.088269255239191e-06
0.1,1.8,validated,-651.3358186968627,0.00015856086701938549,1.2179303710653264e-05,3.374758239628401e-05,9.847022707149056e-07,-8.138700593316779e-05,-6.915182651555171e-06,4.893853920351404e-05,3.7590443551398926e-06
0.1,1.8,validated,-579.2272484813516,2.6331572322474388e-05,0.0004183985891219624,9.80081714374539e-06,8.84613130276257e-05,-1.1782926068171703e-05,-0.00021500127302029063,8.127028494590848e-06,0.00012913536701295136
0.1,1.8,validated,-521.4684173791524,0.0009044658512559478,0.00011118215469060117,0.00019292395418858425,1.446182223845942e-05,-0.0004640757101908396,-6.086754194772745e-05,0.00027915612693084807,3.431547984277813e-05
0.1,1.8,validated,-474.163509452829,0.0005232597106283728,0.0016396806392148626,0.00012748951944483572,0.0003424412337304028,-0.0002619256165803832,-0.0008443260010682324,0.00016149991068776934,0.0005060742713626118
0.1,1.8,validated,-434.70991323151577,-0.0011777663086894516,-0.0026775919676193956,-0.0002767466003735483,-0.0005559469083994369,0.0005937644974270493,0.0013801263104709488,-0.0003635081199658802,-0.0008264172739566037
0.1,1.8,validated,-401.3027454741643,-0.003703174612731346,0.002700700042519702,-0.0007580855941782545,0.000610040354035861,0.0019132083808700974,-0.0013716833898635033,-0.0011429551273862179,0.0008335493958394139
0.1,1.8,validated,-372.6509644622392,-0.0020092057103288977,0.006430247967940064,-0.0003612694712938524,0.0013838651896798029,0.0010586971054926215,-0.0032942478719285824,-0.0006201252192373142,0.0019846444345494024
0.1,1.8,validated,-347.80665984552877,-0.005193069069384543,0.007844947528468378,-0.0010221896572733663,0.0017159589853873915,0.002699833007656008,-0.004007595746612522,-0.0016027990954890564,0.002421280101379129
0.1,1.8,validated,-326.05815890697187,-0.012590838346318857,-0.000549855415545323,-0.0026755878720494063,1.0294338552319818e-05,0.006464432105618526,0.00033480361039817607,-0.0038860612179996467,-0.00016970846158806264
0.1,1.8,validated,-306.86074913546463,0.0019331361937307378,-0.016198449194323863,0.0002466881064287667,-0.003454568803416865,-0.0010602764002363616,0.008311563528129699,0.0005966469733736841,-0.0049995213562727975
0.1,1.8,validated,-289.7904291583682,0.015592842461574986,0.013340974064596767,0.0034411173746527893,0.002671967700635622,-0.007953048637817216,-0.006916881288025582,0.00481260569801697,0.0041175845878385076
0.1,1.8,validated,-274.5122262208242,-0.024882845722675073,-0.003984299823219383,-0.005316877507101497,-0.0005941366055832373,0.012763379255535142,0.002149903630750654,-0.007679890655146628,-0.001229722167660303
0.1,1.8,validated,-260.7579946638003,0.03031028031066365,-0.0006685299150075199,0.006420939430641926,-0.0004472556142620476,-0.015570300067365705,0.0002172284884304587,0.009355024787241867,-0.00020633639352083918
0.1,1.8,validated,-248.31054259209526,-0.03561203762292428,-0.004033471690630258,-0.007592633574130771,-0.0004964288083896321,0.018273743560403094,0.002219806579411297,-0.010991369636705026,-0.0012448986699476103
0.1,1.8,validated,-236.99207779361143,0.0362068165105042,0.02074642306761035,0.00788720721389072,0.004034626426270459,-0.018509676503753385,-0.010806140674426427,0.011174943367439568,0.006403216996176033
0.1,1.8,validated,-226.655661213345,-0.018924037353832544,-0.04405759372828867,-0.004457120019619855,-0.009152240562040044,0.009536144820023873,0.02270695967156359,-0.005840752269701401,-0.013598022755644649
0.1,1.8,validated,-217.17879260653874,-0.023528020080069087,0.04912049228247296,-0.004494347293436584,0.010653749681577536,0.0122885218599997,-0.02513063251937623,-0.007261734592613914,0.015160645766195358
0.1,1.8,validated,-208.458532555209,0.06099632415885634,-0.005439431948105652,0.0128802180617613,-0.0017682581576230951,-0.031350665693424214,0.0025398930084396276,0.01882602597495566,-0.0016788370210202633
0.1,1.8,validated,-200.40774800755813,-0.030468875948029335,-0.06105767231380407,-0.007076685789270757,-0.012640965774550943,0.015394890707552103,0.03148633092963435,-0.009403974058033745,-0.018844960590680266
0.1,1.8,validated,-192.95219059618458,-0.058031614994618806,0.04818913999009185,-0.011820656565838611,0.01080399286368982,0.03000587249826094,-0.02450870327253286,-0.017910992282289748,0.014873191354966618
0.1,1.8,validated,-186.0281999123922,0.05908499340557412,0.05799149113946893,0.013114191630810818,0.011702332768311863,-0.030105037386034313,-0.03003060622686845,0.018236109075794482,0.0178986083763793
0.1,1.8,validated,-179.58088114535803,0.0640999286180642,-0.06358068074537569,0.012952393721667602,-0.0141291233835507,-0.033186639760377286,0.0323886264580163,0.019783928585822286,-0.019623666896720893
0.1,1.8,validated,-173.56264658561076,-0.06034960892305292,-0.07707673394394332,-0.013574721971151891,-0.015736853687698192,0.030675129959391437,0.03983814900327383,-0.018626422507115097,-0.023789115414797325
0.1,1.8,validated,-167.9320389625455,-0.09491223719076225,0.046268667136246895,-0.01966101341542728,0.010768437678278595,0.04893996066149913,-0.023368864881225547,-0.02929390036751921,0.014280452819829283
0.1,1.8,validated,-162.65277506116135,0.01783919091129799,0.11194258548138335,0.004911250821260812,0.02355904312238712,-0.00869646818611217,-0.05756853110394495,0.005505923120770984,0.034550180704130656
0.1,1.8,validated,-157.69296296299302,0.11838866291499821,0.02581490366320238,0.025365987631378265,0.004281183113479911,-0.06069760973503237,-0.013751326927212091,0.03653971077623402,0.007967562859013077
0.1,1.8,validated,-153.02445721768376,0.07887708633194307,-0.10209883439675445,0.015697867072502862,-0.02244631691248844,-0.04093655292220815,0.05211025803102562,0.02434477973208119,-0.03151198592492421
0.1,1.8,validated,-148.6223243985185,-0.054007847391836304,-0.1257788219015165,-0.012720720661760762,-0.026128661903240244,0.027215301271279534,0.06482540507301368,-0.016669088701184043,-0.03882062404367794
0.1,1.8,validated,-144.46439760820368,-0.14288416912479474,-0.023182083470122995,-0.030534033554594407,-0.0034759797924909285,0.07328958561188119,0.01250103134356459,-0.04410005219901072,-0.007154964033988582
0.1,1.8,validated,-140.53090312924,-0.10748957004425858,0.10833548189454552,-0.021702648447458214,0.02405725067255926,0.05565802673837957,-0.05519436589517888,-0.033175793223536594,0.03343687712794615
0.1,1.8,validated,-136.80414594658646,0.019007835729007962,0.1593229436393475,0.0056366047206302845,0.03359486742495179,-0.009099523567303135,-0.08190819335243366,0.005866615965743193,0.04917374803683564
0.1,1.8,validated,-133.26824358936585,0.13906985843971423,0.09472174043695947,0.030446180969025245,0.018685309410523158,-0.07103283353089737,-0.049228299612326665,0.04292279581472661,0.029235105073135634
0.1,1.8,validated,-129.90889984635675,0.17203812209145558,-0.03730500378998259,0.03610687143625924,-0.009644901303421107,-0.0885149164352289,0.018444132118180537,0.053098185830696164,-0.011513890058636601
0.1,1.8,validated,-126.71321155586081,0.10152339203020168,-0.15317300350122576,0.019985545367612018,-0.03350548195530971,-0.05278035162684187,0.07824797828482329,0.03133438025623508,-0.04727561836457584
0.1,1.8,validated,-123.66950296412487,-0.028590031672097563,-0.18929115650502076,-0.007970668091848236,-0.039853429799348895,0.013896280887805297,0.09733989875969912,-0.008824083849412832,-0.0584231964521669
0.1,1.8,validated,-120.76718316963327,-0.14967418841006683,-0.131226431530631,-0.03306287935143907,-0.02631971275841354,0.07632736358433939,0.0680214278028569,-0.04619573716360087,-0.040501985040318204
0.1,1.8,validated,-117.99662298469816,-0.20634377467613227,-0.010444266120150784,-0.043863063947581264,-0.00013518050093634234,0.10593577668314053,0.006222900123185226,-0.06368635020868278,-0.0032235389259724595
0.1,1.8,validated,-115.34904819724086,-0.17802224179319398,0.11892921448546741,-0.03655322113735623,0.02701465640165154,0.09192805919636018,-0.06034185042932489,-0.05494513635592406,0.036706547680699815
0.1,1.8,validated,-112.81644673979991,-0.08011417740734315,0.20651264239341793,-0.014907862071199368,0.0446010501545365,0.04200643272009811,-0.1057325864832289,-0.024726597965229368,0.06373846987451169
0.1,1.8,validated,-110.3914876966746,0.048980195585868434,0.2235445256039201,0.012639885812536411,0.04691178434198215,-0.024226234861295597,-0.11501745859891499,0.015117344316626062,0.0689952239518272
0.1,1.8,validated,-108.06745042462337,0.16556109474229658,0.16833720835860022,0.036805923187207115,0.034029403218824666,-0.08433253027266241,-0.08714782748504256,0.051099103315523635,0.05195592850574081
