alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,guide_target_cr,guide_target_ci,guide_target_ci_source,guide_lower_mach,guide_upper_mach,guide_lower_alpha,guide_upper_alpha,guide_lower_cr,guide_lower_ci,guide_upper_cr,guide_upper_ci,guide_lower_source_type,guide_upper_source_type,guide_lower_source_label,guide_upper_source_label,guide_interp_weight,n_seeds,n_candidates,n_success_candidates,n_spectral_success_candidates,n_mode_success_candidates,best_seed_name,best_shooting_cr,best_shooting_ci,best_shooting_omega_i,best_err_cr_abs,best_err_ci_abs,best_err_ci_rel,best_guide_err_cr_abs,best_guide_err_ci_abs,best_stage1_mismatch,best_stage2_mismatch,best_ln_p_start_right,best_spectral_success,best_mode_success,best_success,best_status,best_selection_metric,best_selection_metric_name,best_retry_index,best_used_cr_half_window,best_used_ci_half_window,best_y_limit,centroid_abs_y,spread_abs_y,peak_y,centroid_abs_y_center8,spread_abs_y_center8,peak_y_center8,center8_mass_fraction,left_mass_fraction,right_mass_fraction,p_left_boundary_amp_fraction,p_right_boundary_amp_fraction,p_edge_amp_fraction_max,rho_left_boundary_amp_fraction,rho_right_boundary_amp_fraction,rho_edge_amp_fraction_max,u_left_boundary_amp_fraction,u_right_boundary_amp_fraction,u_edge_amp_fraction_max,v_left_boundary_amp_fraction,v_right_boundary_amp_fraction,v_edge_amp_fraction_max,left_relative_mach,left_relative_regime,right_relative_mach,right_relative_regime,edge_amp_fraction_max,left_boundary_amp_fraction,right_boundary_amp_fraction,max_field_edge_amp_fraction,box_truncation_suspect_p,box_truncation_suspect_any_field,exception
0.125,1.4,0.3024517446368571,0.03760313434591586,True,True,0.2999981759601773,0.03760313434591586,blumen_ci,1.3,1.5,0.125,0.125,0.2507322022046491,0.0805622512041191,0.3492641497157056,0.0487962958623987,modal,modal,spectral_summary_modal_fallback,spectral_summary_modal_fallback,0.49999999999999944,10,160,160,160,160,lower_cr_target_ci,0.30327126470464905,0.05358750934591587,0.006698438668239484,0.0008195200677919567,0.01598437500000001,0.4250809215252584,0.0032730887444717416,0.01598437500000001,0.0017665559834707826,3.0047490024189555e-20,-19.623817113683543,True,True,True,validated,0.08985136709766091,distance_to_guided_branch_target,0,0.1,0.008,500.0,73.40680822879638,108.01662127907083,0.3198294372506468,3.870623438256861,4.503920638812021,0.3198294372506468,0.12835959765821237,0.7765617339569527,0.22342264854268645,0.0037090977334322986,1.6528186327863475e-09,0.0037090977334322986,0.003709097733432299,1.652818632786348e-09,0.003709097733432299,0.00037580146660585973,3.125881641814195e-10,0.00037580146660585973,0.003825696123816256,8.218871548114263e-10,0.003825696123816256,1.8261214956029068,supersonic_relative,0.9783010791257204,subsonic_relative,0.0037090977334322986,0.0037090977334322986,1.6528186327863475e-09,0.003825696123816256,False,False,
0.1375,1.4,0.3060574050142156,0.0351464115076858,True,True,0.30773435938068927,0.0351464115076858,blumen_ci,1.3,1.5,0.1375,0.1375,0.25933933467067316,0.07524066836019774,0.3561293840907055,0.0454370701278998,modal_interp,modal,spectral_summary_modal_fallback,modal_front_spectral_dense_M15,0.49999999999999944,10,160,160,160,160,upper_cr_target_ci,0.3111424049240388,0.05113078650768581,0.007030483144806799,0.005084999909823196,0.01598437500000001,0.45479394095481285,0.0034080455433495027,0.01598437500000001,0.0016248557187462868,6.237268754360604e-19,-22.515776316770953,True,True,True,validated,0.08822224122520002,distance_to_guided_branch_target,0,0.1,0.008,500.0,70.88139342516483,104.64951548356997,0.3278928169250541,3.8551356119073112,4.490177267037398,0.3278928169250541,0.13568206348836803,0.7924136513794845,0.20756969004480633,0.0028527604885047117,7.051155789334506e-11,0.0028527604885047117,0.002852760488504712,7.051155789334507e-11,0.002852760488504712,0.0003141133531162278,1.474818986089539e-11,0.0003141133531162278,0.0029449903210584357,3.553944943274539e-11,0.0029449903210584357,1.8369946042667127,supersonic_relative,0.967053629071601,subsonic_relative,0.0028527604885047117,0.0028527604885047117,7.051155789334506e-11,0.0029449903210584357,False,False,
0.15,1.4,0.3096630653915741,0.032689688669455735,True,True,0.3151531599887013,0.032689688669455735,blumen_ci,1.3,1.5,0.15,0.15,0.2679464671366972,0.0699190855162764,0.3623598528407056,0.0418239381434009,modal,modal,spectral_summary_modal_fallback,spectral_summary_modal_fallback,0.49999999999999944,10,160,160,160,160,blumen_ci_guided,0.3182275185165742,0.048674063669455744,0.007301109550418361,0.008564453125000093,0.01598437500000001,0.4889729957855282,0.0030743585278729113,0.01598437500000001,0.0013443567711178205,1.157019368920801e-18,-25.32553725160877,True,True,True,validated,0.08679428343362802,distance_to_guided_branch_target,0,0.015,0.008,493.5508052933035,69.02900997879935,102.01201001179365,0.33593909071594613,3.838819248996924,4.475451192846324,0.33593909071594613,0.14168577942901786,0.8068366630008327,0.19314629496611427,0.0024964420662528727,3.715804205729646e-12,0.0024964420662528727,0.002496442066252873,3.715804205729646e-12,0.002496442066252873,0.00029613193914042855,8.50666527964365e-13,0.00029613193914042855,0.0025785575956037824,1.908361769984285e-12,0.0025785575956037824,1.8467761618276828,supersonic_relative,0.9569108875569585,subsonic_relative,0.0024964420662528727,0.0024964420662528727,3.715804205729646e-12,0.0025785575956037824,False,False,
0.1625,1.4,0.3132687257689326,0.030232965831225672,True,True,0.3217283330719175,0.030232965831225672,blumen_ci,1.3,1.5,0.1625,0.1625,0.2753741570531295,0.0644937399606446,0.3680825090907056,0.0380056534011514,modal,modal,modal_front_spectral_dense,modal_front_spectral_dense_M15,0.49999999999999944,10,160,160,160,160,lower_cr_target_ci,0.3246580112197962,0.04621734083122568,0.0075103178850741735,0.011389285450863595,0.01598437500000001,0.5287068125976176,0.0029296781478787004,0.01598437500000001,0.0009231956973406297,1.3332772273236983e-18,-27.907928687508715,True,True,True,validated,0.08545727147203497,distance_to_guided_branch_target,0,0.1,0.008,480.7436141581684,67.74806288020474,100.01955351929375,0.3419468077805378,3.821791612321233,4.459833827125634,0.3419468077805378,0.1463612879923625,0.8200609205113996,0.17992241889169408,0.0024979756844009803,2.810613874213796e-13,0.0024979756844009803,0.0024979756844009807,2.8106138742137963e-13,0.0024979756844009807,0.0003168698171089544,6.981093098953388e-14,0.0003168698171089544,0.002580723657628279,1.4751255968057786e-13,0.002580723657628279,1.8556496390734156,supersonic_relative,0.9476902315789145,subsonic_relative,0.0024979756844009803,0.0024979756844009803,2.810613874213796e-13,0.002580723657628279,False,False,
0.16875,1.4,0.3150715559576119,0.029059004109787612,True,True,0.3247559809053095,0.029059004109787612,blumen_ci,1.3,1.5,0.16875,0.16875,0.27877945271991333,0.06175589190512715,0.3707325090907057,0.0360444572608568,modal_interp,spectral,modal_front_spectral_dense|spectral_summary_modal_fallback,modal_front_spectral_dense_M15,0.49999999999999944,10,160,160,160,160,lower_cr_target_ci,0.32767268188658,0.04504337910978763,0.007601070224776663,0.012601125928968115,0.01598437500000002,0.5500661667416257,0.0029167009812705036,0.01598437500000002,0.000644688412700878,7.493539522747759e-19,-29.245737805846552,True,True,True,validated,0.08481215966005079,distance_to_guided_branch_target,0,0.1,0.008,475.43492179029806,67.25093317490071,99.22207841246069,0.34596380274625876,3.813416753651301,4.452183505288945,0.34596380274625876,0.1483520636751167,0.8261739757503664,0.1738095446293429,0.0024987879419330673,7.378010395580307e-14,0.0024987879419330673,0.002498787941933067,7.378010395580307e-14,0.002498787941933067,0.00032698337427049067,1.9033695030147366e-14,0.00032698337427049067,0.0025816435461527517,3.91833351701727e-14,0.0025816435461527517,1.8598111641265846,supersonic_relative,0.943368295110184,subsonic_relative,0.0024987879419330673,0.0024987879419330673,7.378010395580307e-14,0.0025816435461527517,False,False,
