stage,step,Mach,loss,spectral,riccati_kappa,riccati_q,log_amp_compatibility,boundary_kappa,boundary_q,modal_kappa,modal_q,modal_log_amp
spectral_prefit,1,1.6,6.977480888366699,6.977480888366699,,,,,,,,
spectral_prefit,2,1.1,0.7296509742736816,0.7296509742736816,,,,,,,,
modal_frozen_spectrum,1,1.1,5.077119827270508,0.0,0.07234431058168411,0.07412929087877274,0.6605926752090454,0.10257863998413086,0.060189612209796906,0.0,0.0,0.0
modal_frozen_spectrum,2,1.2,8.423955917358398,0.0,0.08259949833154678,0.06576813757419586,1.5766609907150269,0.022428303956985474,0.016800032928586006,0.0,0.0,0.0
joint,1,1.9,1194.130126953125,23.719390869140625,0.0845944732427597,0.09673691540956497,1.3208801746368408,0.03065083548426628,0.10683426260948181,0.0,0.0,0.0
joint,2,1.3,83.05738830566406,1.5421717166900635,0.10140626132488251,0.07733073085546494,1.1305686235427856,0.004130733199417591,0.007591193541884422,0.0,0.0,0.0
