Mach,alpha,rank,selected,status,reason,gep_cr,gep_ci,gep_omega_i,ci_seed_blumen,cr_seed_blumen,gep_score,gep_ci_distance_to_seed,gep_cr_distance_to_seed,gep_p_edge_fraction,gep_rho_edge_fraction,n_finite_modes,cr_seed_used,cr_seed_source,gep_abs_cr_distance_to_seed,gep_abs_ci_distance_to_seed,gep_ci_relative_distance_to_seed,gep_revised_score,ci_min_used,ci_max_used,selection_policy
1.8,0.258,1,False,rejected,rejected_negative_cr_branch,-0.9957897953175454,0.0012115579997445728,0.0003125819639340998,0.001353700631373911,,0.0005685707057470011,0.0001421426316293383,0.0,2.3897286391959996e-10,2.389728639196e-10,251,0.4444444444444444,asymptotic_fallback,1.4402342397619898,0.0001421426316293383,0.1050030031271194,0.42701471513911615,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,2,True,review,selected_by_ci_seed_with_cr_soft_penalty,0.9957897953175412,0.0012115579997447363,0.00031258196393414196,0.001353700631373911,,0.0005685707158139303,0.0001421426316291748,0.0,2.5239630814997394e-10,2.523963081499739e-10,251,0.4444444444444444,asymptotic_fallback,0.5513453508730968,0.0001421426316291748,0.10500300312699862,0.3825702706958931,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,3,False,not_run,gep_candidate_not_selected_ci_first,0.9945245824508583,0.001531739461778665,0.0003951887811388956,0.001353700631373911,,0.0007121554215420003,0.000178038830404754,0.0,1.3323064563499465e-10,1.3323064563499462e-10,251,0.4444444444444444,asymptotic_fallback,0.5500801380064139,0.000178038830404754,0.13152009113274707,0.40902409804639084,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,4,False,rejected,rejected_negative_cr_branch,-0.9945245824508511,0.001531739461780334,0.0003951887811393262,0.001353700631373911,,0.0007121554236918574,0.00017803883040642303,0.0,1.3608822044573617e-10,1.360882204457362e-10,251,0.4444444444444444,asymptotic_fallback,1.4389690268952955,0.00017803883040642303,0.13152009113398,0.45346854249235363,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,5,False,not_run,gep_candidate_not_selected_ci_first,0.9967997481287764,0.0009474658812892922,0.0002444461973726374,0.001353700631373911,,0.0016249393290275972,0.0004062347500846189,0.0,4.38252162299235e-10,4.382521622992352e-10,251,0.4444444444444444,asymptotic_fallback,0.5523553036843319,0.0004062347500846189,0.30009201493266585,0.5777097801607076,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,6,False,rejected,rejected_negative_cr_branch,-0.9967997481287741,0.0009474658812852517,0.0002444461973715949,0.001353700631373911,,0.0016249393327699008,0.00040623475008865937,0.0,4.4322035101997827e-10,4.4322035101997827e-10,251,0.4444444444444444,asymptotic_fallback,1.4412441925732185,0.00040623475008865937,0.30009201493565063,0.6221542246086336,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,7,False,rejected,rejected_negative_cr_branch,-0.9929549576021494,0.0019162821050070895,0.0004944007830918291,0.001353700631373911,,0.002250325984829269,0.0005625814736331784,0.0,1.2039540695740876e-10,1.2039540695740876e-10,251,0.4444444444444444,asymptotic_fallback,1.4373994020465939,0.0005625814736331784,0.41558780471439816,0.7374577748287675,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,8,False,not_run,gep_candidate_not_selected_ci_first,0.9929549576021441,0.0019162821050055549,0.0004944007830914332,0.001353700631373911,,0.002250325992752188,0.0005625814736316438,0.0,1.3096748320155035e-10,1.3096748320155033e-10,251,0.4444444444444444,asymptotic_fallback,0.5485105131576997,0.0005625814736316438,0.4155878047132645,0.6930133303842462,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,9,False,not_run,gep_candidate_not_selected_ci_first,0.9975975115689615,0.0007318759078628939,0.00018882398422862662,0.001353700631373911,,0.002487299407098427,0.0006218247235110171,0.0,6.840724779046644e-10,6.840724779046642e-10,251,0.4444444444444444,asymptotic_fallback,0.5531530671245171,0.0006218247235110171,0.4593517274789986,0.7370093809036318,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,10,False,rejected,rejected_negative_cr_branch,-0.9975975115689671,0.0007318759078692986,0.00018882398423027906,0.001353700631373911,,0.002487299419464796,0.0006218247235046124,0.0,7.005951284143597e-10,7.005951284143594e-10,251,0.4444444444444444,asymptotic_fallback,1.4420419560134117,0.0006218247235046124,0.45935172747426734,0.7814538253449974,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
