Mach,alpha,ci_seed_blumen,cr_search_min,cr_search_max,status,shooting_cr,shooting_ci,omega_i,stage1_mismatch,spectral_success,mode_success,success,reason,grid_best_cr,grid_best_mismatch,grid_edge_flag,minimize_success,minimize_message,n_finite_gep_modes,nearest_gep_cr,nearest_gep_ci,nearest_gep_omega_i,nearest_gep_distance,nearest_gep_abs_dcr,nearest_gep_abs_dci,gep_anchor_match_status
1.8,0.258,0.0013537006313739,0.55,1.05,spectral_validated,0.7615845727352136,0.0013537006313739,0.0003492547628944,7.185849612224346e-06,True,False,False,fixed_ci_spectral_anchor,0.76,1.686766809342242e-05,interior,True,Solution found.,251,0.8655268034540067,0.02514247523515383,0.006486758610669689,0.1579608567194257,0.10394223071879305,0.02378877460377993,gep_does_not_match_anchor
1.8,0.248,0.0028024304426322,0.55,1.05,spectral_validated,0.761553061871243,0.0028024304426322,0.0006950027497727,2.957547873330359e-05,True,False,False,fixed_ci_spectral_anchor,0.76,3.8506891385197216e-05,interior,True,Solution found.,253,0.8315682398690921,0.030790122444342448,0.007635950366196927,0.156476508587185,0.07001517799784907,0.027987692001710248,gep_does_not_match_anchor
1.8,0.238,0.0042511602538905,0.55,1.05,spectral_validated,0.7614998143096021,0.0042511602538905,0.0010117761404259,6.524904204522726e-05,True,False,False,fixed_ci_spectral_anchor,0.76,7.323409195817733e-05,interior,True,Solution found.,249,0.8563548619486541,0.02664147773683105,0.00634067170136579,0.14673322046243872,0.09485504763905195,0.022390317482940552,gep_does_not_match_anchor
1.9,0.252,0.0003041353595579,0.55,1.05,spectral_validated,0.7615936577965997,0.0003041353595579,7.664211060860547e-05,3.447918283475689e-07,True,False,False,fixed_ci_spectral_anchor,0.76,9.650763825245372e-06,interior,True,Solution found.,253,0.877693079982632,0.024165663895568658,0.006089747301683302,0.16647338956662702,0.11609942218603231,0.023861528536010757,gep_does_not_match_anchor
1.9,0.242,0.0016982772846746,0.55,1.05,spectral_validated,0.761578685417334,0.0016982772846746,0.0004109831028912,1.032126983596955e-05,True,False,False,fixed_ci_spectral_anchor,0.76,1.9088245312559875e-05,interior,True,Solution found.,243,0.8658174608587881,0.025185801725798016,0.00609496401764312,0.15702648634814173,0.1042387754414541,0.023487524441123415,gep_does_not_match_anchor
1.9,0.232,0.0030924192097912,0.55,1.05,spectral_validated,0.7615429719713899,0.0030924192097912,0.0007174412566715,3.279797201948472e-05,True,False,False,fixed_ci_spectral_anchor,0.76,4.0823987704668005e-05,interior,True,Solution found.,266,0.832353890725102,0.030526965671485818,0.00708225603578471,0.15437145041657424,0.07081091875371215,0.027434546461694617,gep_does_not_match_anchor
