Mach,alpha,cr,ci,stage1_mismatch,finite,exception
1.8,0.238,0.9,0.0005,0.4508527961049409,True,
1.8,0.238,0.9,0.000625,0.4509039479342846,True,
1.8,0.238,0.9,0.00075,0.45095519159210606,True,
1.8,0.238,0.9,0.000875,0.45100652617937564,True,
1.8,0.238,0.9,0.001,0.45105795061206083,True,
1.8,0.238,0.9,0.0011250000000000001,0.4511094637068247,True,
1.8,0.238,0.9,0.00125,0.45116106423825086,True,
1.8,0.238,0.9,0.001375,0.4512127509464996,True,
1.8,0.238,0.9,0.0015,0.45126452255348737,True,
1.8,0.238,0.9,0.0016250000000000001,0.45131637776455746,True,
1.8,0.238,0.9,0.00175,0.45136831524964,True,
1.8,0.238,0.9,0.001875,0.45142033368603124,True,
1.8,0.238,0.9,0.002,0.45147243171834583,True,
1.8,0.238,0.9,0.002125,0.4515246079826646,True,
1.8,0.238,0.9,0.0022500000000000003,0.45157686108918016,True,
1.8,0.238,0.9,0.002375,0.4516291896409497,True,
1.8,0.238,0.9,0.0025,0.4516815922269442,True,
1.8,0.238,0.9,0.002625,0.4517340674155787,True,
1.8,0.238,0.9,0.0027500000000000003,0.45178661376246515,True,
1.8,0.238,0.9,0.002875,0.4518392298045491,True,
1.8,0.238,0.9,0.003,0.45189191406779394,True,
1.8,0.238,0.9,0.003125,0.45194466505920394,True,
1.8,0.238,0.9,0.00325,0.45199748127325273,True,
1.8,0.238,0.9,0.003375,0.45205036118849007,True,
1.8,0.238,0.9,0.0035,0.4521033032651811,True,
1.8,0.238,0.9,0.003625,0.4521563059530121,True,
1.8,0.238,0.9,0.0037500000000000003,0.4522093676841443,True,
1.8,0.238,0.9,0.003875,0.45226248687586684,True,
1.8,0.238,0.9,0.004,0.45231566193046385,True,
1.8,0.238,0.9,0.004125,0.45236889123642104,True,
1.8,0.238,0.9,0.00425,0.45242217316122924,True,
1.8,0.238,0.9,0.004375,0.45247550606893844,True,
1.8,0.238,0.9,0.0045000000000000005,0.452528888298227,True,
1.8,0.238,0.9,0.004625000000000001,0.45258231817661293,True,
1.8,0.238,0.9,0.004750000000000001,0.452635794017061,True,
1.8,0.238,0.9,0.004875000000000001,0.45268931411896174,True,
1.8,0.238,0.9,0.005000000000000001,0.4527428767632382,True,
1.8,0.238,0.9,0.005124999999999999,0.4527964802197961,True,
1.8,0.238,0.9,0.0052499999999999995,0.4528501227413813,True,
1.8,0.238,0.9,0.005375,0.4529038025674392,True,
1.8,0.238,0.9,0.0055,0.4529575179233993,True,
1.8,0.238,0.9,0.005625,0.4530112670167751,True,
1.8,0.238,0.9,0.00575,0.45306504804607445,True,
1.8,0.238,0.9,0.005875,0.4531188591894126,True,
1.8,0.238,0.9,0.006,0.4531726986160172,True,
1.8,0.238,0.9,0.006125,0.4532265644763232,True,
1.8,0.238,0.9,0.00625,0.45328045490825,True,
1.8,0.238,0.9,0.0063750000000000005,0.45333436803634536,True,
1.8,0.238,0.9,0.006500000000000001,0.4533883019695927,True,
1.8,0.238,0.9,0.006625000000000001,0.45344225480492756,True,
1.8,0.238,0.9,0.006750000000000001,0.45349622462059214,True,
1.8,0.238,0.9,0.006875000000000001,0.4535502094864386,True,
1.8,0.238,0.9,0.007000000000000001,0.45360420745330654,True,
1.8,0.238,0.9,0.007124999999999999,0.4536582165622849,True,
1.8,0.238,0.9,0.0072499999999999995,0.4537122348390605,True,
1.8,0.238,0.9,0.007375,0.45376626029402906,True,
1.8,0.238,0.9,0.0075,0.4538202909232215,True,
1.8,0.238,0.9,0.007625,0.45387432471552663,True,
1.8,0.238,0.9,0.00775,0.45392835963815203,True,
1.8,0.238,0.9,0.007875,0.45398239364887005,True,
1.8,0.238,0.9,0.008,0.4540364246902137,True,
1.8,0.238,0.9025,0.0005,0.4895190753833473,True,
1.8,0.238,0.9025,0.000625,0.48957998515419543,True,
1.8,0.238,0.9025,0.00075,0.48964098131027395,True,
1.8,0.238,0.9025,0.000875,0.4897020627509383,True,
1.8,0.238,0.9025,0.001,0.48976322811831174,True,
1.8,0.238,0.9025,0.0011250000000000001,0.4898244759967974,True,
1.8,0.238,0.9025,0.00125,0.4898858049103239,True,
1.8,0.238,0.9025,0.001375,0.48994721334175284,True,
1.8,0.238,0.9025,0.0015,0.49000869975183325,True,
1.8,0.238,0.9025,0.0016250000000000001,0.4900702625841301,True,
1.8,0.238,0.9025,0.00175,0.4901319002585386,True,
1.8,0.238,0.9025,0.001875,0.4901936111646741,True,
1.8,0.238,0.9025,0.002,0.4902553936816382,True,
1.8,0.238,0.9025,0.002125,0.49031724616782923,True,
1.8,0.238,0.9025,0.0022500000000000003,0.49037916695793116,True,
1.8,0.238,0.9025,0.002375,0.49044115437070107,True,
1.8,0.238,0.9025,0.0025,0.49050320670711123,True,
1.8,0.238,0.9025,0.002625,0.490565322246885,True,
1.8,0.238,0.9025,0.0027500000000000003,0.4906274992507668,True,
1.8,0.238,0.9025,0.002875,0.4906897359624823,True,
1.8,0.238,0.9025,0.003,0.49075203060541644,True,
1.8,0.238,0.9025,0.003125,0.4908143813833229,True,
1.8,0.238,0.9025,0.00325,0.4908767864805452,True,
1.8,0.238,0.9025,0.003375,0.49093924406870104,True,
1.8,0.238,0.9025,0.0035,0.4910017522909768,True,
1.8,0.238,0.9025,0.003625,0.49106430928239003,True,
1.8,0.238,0.9025,0.0037500000000000003,0.49112691315257906,True,
1.8,0.238,0.9025,0.003875,0.49118956199454455,True,
1.8,0.238,0.9025,0.004,0.4912522538795679,True,
1.8,0.238,0.9025,0.004125,0.4913149868670937,True,
1.8,0.238,0.9025,0.00425,0.4913777589943724,True,
1.8,0.238,0.9025,0.004375,0.49144056827970617,True,
1.8,0.238,0.9025,0.0045000000000000005,0.49150341272037434,True,
1.8,0.238,0.9025,0.004625000000000001,0.49156629030470705,True,
1.8,0.238,0.9025,0.004750000000000001,0.49162919899020574,True,
1.8,0.238,0.9025,0.004875000000000001,0.4916921367268449,True,
