Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,y,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,p_real,p_imag,source,validation_status
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-1199.9999999999932,0.10500192451039737,0.2867674804808874,0.018435672979066085,0.05022950735221502,-0.055344650643327845,-0.1511897904842363,0.03240800139209795,0.08850848162990352,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-976.2447715011094,-0.3384515056303594,-0.10437874597547735,-0.059313096564508644,-0.018242309032001552,0.1784284699298794,0.05504408347874336,-0.10446034124393808,-0.03221566233811029,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-822.7576828833896,-0.33971691939231763,-0.1957706135357006,-0.05954711069725561,-0.03425462554659088,0.1790915123689015,0.10322633952300354,-0.10485090104701161,-0.06042302886904339,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-710.9302677714187,0.04275690099683199,-0.4200681434678418,0.007434747097800217,-0.07360459894620033,-0.022560424330460082,0.22145988199344444,0.013196574381738267,-0.1296506615641487,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-625.8282501894919,-0.003349529570554546,0.4467144141944478,-0.0005267156208804075,0.07826790399112449,0.0017858750053189952,-0.23550967783356555,-0.0010338054230106686,0.13787481919581723,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-558.8936630281581,0.4636423196637781,-0.05574444616988575,0.08122583368894787,-0.009829236534368218,-0.24443678890149953,0.029367974565341837,0.14309948137770925,-0.01720507597835979,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-504.87003212900885,-0.16668536526481598,0.4543884618668079,-0.02914324977135751,0.07963444153341198,0.08789759800871155,-0.23954816151107158,-0.05144610039037531,0.14024335242802713,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-460.3503539634333,0.16956079774385208,-0.4687592079469152,0.02964511055578657,-0.08215268272077435,-0.08941418184057599,0.24712435416301803,0.05233357955057164,-0.14467876788485035,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-423.0294482678216,0.17615971996471838,0.47963497669016086,0.030928978034949164,0.08401164516664801,-0.09285072726846852,-0.25287357703969787,0.054370283939727884,0.1480354866327657,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944662,-283.53122372820303,-391.2918643876442,-0.07378142795860963,0.5165761105181602,-0.012857464939134103,0.09051763893367958,0.03892101135560572,-0.2723379236855519,-0.022772045666237542,0.15943707114758032,fixed_ci_shooting_exact_amplitude,full_shooting_validated_exact_amplitude
