Mach,alpha,cr,ci,stage1_mismatch,finite,exception
1.8,0.238,0.6,1e-06,0.026809748082527507,True,
1.8,0.238,0.6,0.00010098750000000001,0.018219217652131435,True,
1.8,0.238,0.6,0.00020097500000000002,0.018218887007823117,True,
1.8,0.238,0.6,0.00030096250000000006,0.018218953105427108,True,
1.8,0.238,0.6,0.00040095000000000007,0.01821901347497065,True,
1.8,0.238,0.6,0.0005009375000000001,0.01821910282631467,True,
1.8,0.238,0.6,0.0006009250000000001,0.018219219130072684,True,
1.8,0.238,0.6,0.0007009125000000001,0.018219361723403358,True,
1.8,0.238,0.6,0.0008009000000000001,0.01821953032397415,True,
1.8,0.238,0.6,0.0009008875000000001,0.018219724794469802,True,
1.8,0.238,0.6,0.001000875,0.01821994506810886,True,
1.8,0.238,0.6,0.0011008625000000001,0.018220191106611983,True,
1.8,0.238,0.6,0.00120085,0.018220462880509474,True,
1.8,0.238,0.6,0.0013008375,0.018220760384502203,True,
1.8,0.238,0.6,0.001400825,0.0182210835909977,True,
1.8,0.238,0.6,0.0015008125000000002,0.01822143250923248,True,
1.8,0.238,0.6,0.0016008,0.01822180711779108,True,
1.8,0.238,0.6,0.0017007875,0.01822220742440167,True,
1.8,0.238,0.6,0.0018007750000000001,0.018222633418176426,True,
1.8,0.238,0.6,0.0019007625000000002,0.018223085099894034,True,
1.8,0.238,0.6,0.0020007500000000004,0.018223562466667544,True,
1.8,0.238,0.6,0.0021007375000000003,0.018224065510623968,True,
1.8,0.238,0.6,0.0022007250000000006,0.018224594232081157,True,
1.8,0.238,0.6,0.0023007125000000005,0.018225148636825415,True,
1.8,0.238,0.6,0.0024007000000000004,0.01822572871140455,True,
1.8,0.238,0.6,0.0025006875000000003,0.01822633446585786,True,
1.8,0.238,0.6,0.002600675,0.018226965885249934,True,
1.8,0.238,0.6,0.0027006625000000005,0.0182276229764804,True,
1.8,0.238,0.6,0.0028006500000000004,0.018228305737170363,True,
1.8,0.238,0.6,0.0029006375000000004,0.01822901416083977,True,
1.8,0.238,0.6,0.0030006250000000007,0.018229748253019214,True,
1.8,0.238,0.6,0.0031006125000000006,0.01823050800773347,True,
1.8,0.238,0.6,0.0032006000000000005,0.018231293421114955,True,
1.8,0.238,0.6,0.0033005875000000004,0.018232104498983687,True,
1.8,0.238,0.6,0.0034005750000000003,0.018232941238305836,True,
1.8,0.238,0.6,0.0035005625000000006,0.01823380362918063,True,
1.8,0.238,0.6,0.0036005500000000005,0.018234691677925484,True,
1.8,0.238,0.6,0.0037005375000000004,0.01823560538077586,True,
1.8,0.238,0.6,0.0038005250000000008,0.018236544739298997,True,
1.8,0.238,0.6,0.0039005125000000007,0.01823750974861902,True,
1.8,0.238,0.6,0.004000500000000001,0.01823850040667518,True,
1.8,0.238,0.6,0.0041004875000000005,0.01823951671416535,True,
1.8,0.238,0.6,0.004200475,0.018240558668421784,True,
1.8,0.238,0.6,0.0043004625,0.018241626268298634,True,
1.8,0.238,0.6,0.004400450000000001,0.01824271951554054,True,
1.8,0.238,0.6,0.004500437500000001,0.0182438384042995,True,
1.8,0.238,0.6,0.004600425000000001,0.018244982932406353,True,
1.8,0.238,0.6,0.004700412500000001,0.018246153104798137,True,
1.8,0.238,0.6,0.004800400000000001,0.018247348914268866,True,
1.8,0.238,0.6,0.004900387500000001,0.01824857036460648,True,
1.8,0.238,0.6,0.0050003750000000005,0.018249817447672137,True,
1.8,0.238,0.6,0.0051003625,0.01825109016704957,True,
1.8,0.238,0.6,0.00520035,0.018252388518994616,True,
1.8,0.238,0.6,0.005300337500000001,0.018253712504350136,True,
1.8,0.238,0.6,0.005400325000000001,0.018255062121000292,True,
1.8,0.238,0.6,0.005500312500000001,0.018256437367213003,True,
1.8,0.238,0.6,0.005600300000000001,0.018257838243384613,True,
1.8,0.238,0.6,0.005700287500000001,0.018259264745088946,True,
1.8,0.238,0.6,0.005800275000000001,0.01826071687252434,True,
1.8,0.238,0.6,0.0059002625000000005,0.018262194624334902,True,
1.8,0.238,0.6,0.006000250000000001,0.018263698000666077,True,
1.8,0.238,0.6,0.006100237500000001,0.018265226996699666,True,
1.8,0.238,0.6,0.006200225000000001,0.01826678161324862,True,
1.8,0.238,0.6,0.006300212500000001,0.018268361850227014,True,
1.8,0.238,0.6,0.006400200000000001,0.018269967705346005,True,
1.8,0.238,0.6,0.006500187500000001,0.018271599175088898,True,
1.8,0.238,0.6,0.006600175000000001,0.01827325626237058,True,
