step,ci_anchor_loss
1,0.011507978176338404
100,7.503212566352205e-07
200,2.340955625001831e-10
300,5.48758191405056e-15
400,7.286939520712578e-20
500,2.6071081624752958e-24
600,1.5513065621160182e-28
700,8.631508944621253e-29
800,7.212897537170704e-29
900,6.127669780818435e-29
1000,5.113578256289511e-29
1100,4.4788575141107585e-29
1200,3.926789864696481e-29
1300,3.3326368072022835e-29
1400,2.901315233269536e-29
1500,2.553644712561316e-29
1600,2.2323683463061793e-29
1700,1.9928457541198297e-29
1800,1.768022998325146e-29
1900,1.594977839442434e-29
2000,1.359151793931534e-29
2100,1.2360131040418954e-29
2200,1.1266827990077737e-29
2300,9.541898534056256e-30
2400,9.080227683878094e-30
2500,7.729886995366768e-30
2600,7.121190316126291e-30
2700,6.341797529345097e-30
2800,5.5326818847107875e-30
2900,5.2111266244255876e-30
3000,4.9771500176579384e-30
