alpha,Mach,n_points,rank_cr,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.2,1.2,1001,1,-7.105263157894739,0.6944444444444445,1.2283813353751862e-16,0.6944444444444445,1.0,1.6378417805002484e-16,1.0
0.2,1.2,1001,1,-6.9722758754597205,0.694153532111918,-2.684685176165719e-06,0.6941535321171095,0.9995810862411619,-3.8659466536786354e-06,0.9995810862486377
0.2,1.2,1001,1,-6.843896055032944,0.6932807951143176,-1.0738740698213874e-05,0.6932807951974878,0.9983243449646173,-1.5463786605460737e-05,0.9983243450843823
0.2,1.2,1001,1,-6.71988760225557,0.6919472049101292,-2.301070187211819e-05,0.6919472052927395,0.9964039750705859,-3.313541069586821e-05,0.9964039756215447
0.2,1.2,1001,1,-6.600030279708814,0.6901390021565249,-3.967622418832736e-05,0.6901390032970217,0.9938001631053959,-5.7133762831161916e-05,0.9938001647477113
0.2,1.2,1001,1,-6.484118397624675,0.6879691249851174,-5.9602890528244445e-05,0.6879691275669952,0.9906755399785692,-8.582816236064415e-05,0.9906755436964731
0.2,1.2,1001,1,-6.371959632216871,0.6854124769390673,-8.311784280306417e-05,0.6854124819787886,0.9869939667922567,-0.0001196896936364124,0.9869939740494554
0.2,1.2,1001,1,-6.263373957351273,0.6825755152995275,-0.00010910136078051463,0.6825755240187875,0.9829087420313195,-0.00015710595952394762,0.982908754587054
0.2,1.2,1001,1,-6.158192677072612,0.6794238025908858,-0.00013801072852235156,0.6794238166078815,0.9783702757308755,-0.00019873544907217643,0.9783702959153494
0.2,1.2,1001,1,-6.056257548051246,0.6760585641240189,-0.00016873357833428694,0.6760585851806414,0.9735243323385872,-0.00024297635280136335,0.9735243626601237
0.2,1.2,1001,1,-5.957419982348386,0.6724376637144779,-0.0002018387604919006,0.672437694006419,0.9683102357488481,-0.0002906478151083631,0.9683102793692433
0.2,1.2,1001,1,-5.861540322052194,0.6686580958667984,-0.00023621696123031074,0.6686581375910005,0.9628676580481895,-0.0003401524241716868,0.9628677181310406
0.2,1.2,1001,1,-5.768487178337671,0.6646713766367298,-0.00027253257489711285,0.6646714325094542,0.9571267823568907,-0.0003924469078518736,0.9571268628136138
0.2,1.2,1001,1,-5.678136828372153,0.6605710705470621,-0.00030967601208626937,0.6605711431351843,0.9512223415877694,-0.00044593345740425903,0.9512224461146653
0.2,1.2,1001,1,-5.590372664244996,0.6563034579991429,-0.0003483934655724328,0.6563035504700852,0.9450769795187656,-0.0005016865904242966,0.9450771126769224
0.2,1.2,1001,1,-5.505084688759872,0.6519593132594472,-0.0003875725848411696,0.6519594284602674,0.938821411093604,-0.0005581045221712777,0.938821576982785
0.2,1.2,1001,1,-5.422169053505371,0.6474805978414852,-0.0004280296029463187,0.6474807393201036,0.9323720608917386,-0.0006163626282427284,0.9323722646209492
0.2,1.2,1001,1,-5.341527635124964,0.6429558064066893,-0.0004686476298301131,0.6429559772042539,0.9258563612256325,-0.0006748525869553727,0.9258566071741255
0.2,1.2,1001,1,-5.26306764615103,0.638323338706727,-0.0005103028934940703,0.6383235426856401,0.9191856077376869,-0.0007348361666314677,0.9191859014673217
0.2,1.2,1001,1,-5.1867012771577965,0.6336698172639255,-0.0005518727618140821,0.6336700575811058,0.9124845368600527,-0.0007946967770122979,0.9124848829167924
0.2,1.2,1001,1,-5.112345367331481,0.6289307066803569,-0.0005942848766250406,0.6289309874540828,0.9056602176197139,-0.0008557702223400142,0.9056606219338793
0.2,1.2,1001,1,-5.039921100859374,0.6241910824199335,-0.0006364101201102844,0.6241914068540267,0.8988351586847042,-0.0009164305729587685,0.8988356258697985
0.2,1.2,1001,1,-4.969353726807374,0.6193839937229524,-0.0006792202123775952,0.6193843661413252,0.8919129509610514,-0.0009780771058237223,0.8919134872435083
0.2,1.2,1001,1,-4.9005723003930965,0.6145932283378283,-0.0007215791650727038,0.6145936519320756,0.8850142488064725,-0.0010390739977046985,0.8850148587821887
0.2,1.2,1001,1,-4.833509443771829,0.609749852346645,-0.0007644964976423979,0.6097503316043791,0.8780397873791687,-0.0011008749566050612,0.8780404775103057
0.2,1.2,1001,1,-4.768101124639835,0.604936572679833,-0.0008068292417066327,0.6049371107305686,0.8711086646589595,-0.0011618341080574773,0.8711094394520187
0.2,1.2,1001,1,-4.704286451125707,0.6000828325046437,-0.0008496193324924778,0.6000834339654831,0.8641192788066867,-0.0012234518387892026,0.8641201449102955
0.2,1.2,1001,1,-4.642007481588632,0.5952704229860097,-0.0008917169192570219,0.595271090882975,0.857189409099854,-0.0012840723637300969,0.857190370871484
0.2,1.2,1001,1,-4.5812090480748004,0.5904274653560027,-0.0009341917281100832,0.5904282044083756,0.8502155501126437,-0.001345236088478541,0.8502166143480608
0.2,1.2,1001,1,-4.52183859230119,0.5856349666709904,-0.0009758872758869879,0.5856357797673458,0.8433143520062262,-0.001405277677277238,0.8433155228649781
0.2,1.2,1001,1,-4.463846013141786,0.5808199782752095,-0.0010178970979552214,0.5808208702156946,0.8363807687163017,-0.0014657718210554648,0.8363820531106003
0.2,1.2,1001,1,-4.407183524686007,0.576062828113175,-0.001059058437319639,0.5760638016214203,0.8295304724829718,-0.0015250441497402767,0.8295318743348452
0.2,1.2,1001,1,-4.351805524024062,0.5712897091783362,-0.0011004852031412146,0.5712907691191503,0.8226571812168042,-0.0015846986925233016,0.8226587075315765
0.2,1.2,1001,1,-4.297668467990431,0.5665803540108468,-0.0011410087975200136,0.5665815029209236,0.8158757097756192,-0.0016430526684288096,0.8158773642061298
0.2,1.2,1001,1,-4.244730758165186,0.5618602751606946,-0.0011817605324346266,0.5618615179575902,0.8090787962314,-0.001701735166705862,0.8090805858589296
0.2,1.2,1001,1,-4.192952633494862,0.5572086764678341,-0.0012215664496345918,0.5572100154839523,0.8023804941136814,-0.0017590556874738008,0.8023824222968915
0.2,1.2,1001,1,-4.142296069950316,0.5525505399507358,-0.0012615726887978398,0.5525519801480209,0.7956727775290595,-0.0018166646718689007,0.79567485141315
0.2,1.2,1001,1,-4.092724686689338,0.5479645938728004,-0.001300600438932479,0.5479661373658822,0.7890690151768324,-0.0018728646320627952,0.7890712378068702
0.2,1.2,1001,1,-4.044203658237364,0.5433754162632161,-0.0013398084303912023,0.5433770680529806,0.7824605994190313,-0.0019293241397633034,0.7824629779962923
0.2,1.2,1001,1,-3.9966996322406976,0.5388613020875879,-0.0013780135184518051,0.5388630640606087,0.7759602750061265,-0.001984339466570606,0.7759628122472765
0.2,1.2,1001,1,-3.9501806523841037,0.5343465323665266,-0.0014163850766072163,0.5343484095595463,0.7694590066077983,-0.002039594510314385,0.7694617097657467
0.2,1.2,1001,1,-3.904616086098282,0.5299090023902074,-0.0014537361450545011,0.5299109964540878,0.7630689634418986,-0.0020933800488784826,0.7630718348938863
0.2,1.2,1001,1,-3.8599765567136255,0.5254727867329316,-0.0014912450413532648,0.5254749027390808,0.7566808128954214,-0.0021473928595486997,0.7566838599442762
0.2,1.2,1001,1,-3.816233879744375,0.5211154077275046,-0.0015277215002451627,0.5211176470855556,0.7504061871276065,-0.0021999189603530383,0.7504094118032
0.2,1.2,1001,1,-3.7733610030128037,0.5167608102477048,-0.0015643512980856563,0.5167631780640415,0.7441355667566948,-0.002252665869243378,0.7441389764122196
0.2,1.2,1001,1,-3.731331950346102,0.5124861648866611,-0.0015999413585150548,0.5124886623258983,0.7379800774367921,-0.0023039155562616705,0.7379836737492936
0.2,1.2,1001,1,-3.6901217685996834,0.5082153519066457,-0.0016356836158535526,0.5082179841116279,0.7318301067455698,-0.0023553844068291167,0.7318338971207442
0.2,1.2,1001,1,-3.649706477779909,0.5040252070036639,-0.0016703826573644177,0.5040279748915811,0.725796298085276,-0.0024053510266047588,0.7258002838438767
0.2,1.2,1001,1,-3.6100630240566742,0.4998396010586122,-0.0017052354340145292,0.49984250981115846,0.7197690255244016,-0.0024555390249809063,0.7197732141280683
0.2,1.2,1001,1,-3.571169235472408,0.4957350482405214,-0.0017390446488849834,0.4957380985261501,0.7138584694663508,-0.0025042242943943607,0.7138628618776561
0.2,1.2,1001,1,-3.5330037801686554,0.49163545692061045,-0.0017730112665943242,0.4916386539629374,0.707955057965679,-0.0025531362238958434,0.7079596617066298
0.2,1.2,1001,1,-3.495546126964879,0.48761703036277015,-0.0018059365339090925,0.48762037458105795,0.702168523722389,-0.0026005486088291102,0.7021733393967234
0.2,1.2,1001,1,-3.4587765081363604,0.48360375419793555,-0.0018390245463441115,0.4836072508612948,0.6963894060450272,-0.002648195346735535,0.6963944412402645
0.2,1.2,1001,1,-3.422675884249407,0.4796715292391945,-0.0018710754969808244,0.47967517851790376,0.6907270021044399,-0.0026943487156523807,0.6907322570657812
0.2,1.2,1001,1,-3.38722591092243,0.47574445209828403,-0.0019032958342454368,0.4757482593108767,0.685072011021529,-0.00274074600131342,0.6850774934076624
0.2,1.2,1001,1,-3.3524089073909256,0.471898127890312,-0.0019344850746288965,0.4719020929587886,0.6795333041620493,-0.002785658507465607,0.6795390138606556
0.2,1.2,1001,1,-3.3182078267632016,0.4680567927675184,-0.0019658513330052226,0.46806092106399905,0.6740017815852265,-0.0028308259195275218,0.6740077263321587
0.2,1.2,1001,1,-3.2846062278616546,0.464295761571704,-0.001996193801035049,0.46430005277098546,0.6685858966632536,-0.002874519073490462,0.668592075990219
0.2,1.2,1001,1,-3.251588248551908,0.4605394341422626,-0.0020267216537036667,0.4605438936743565,0.6631767851648582,-0.002918479181333265,0.6631832068910735
0.2,1.2,1001,1,-3.2191385804688406,0.4568628394430829,-0.00205623408480596,0.45686746673691664,0.6578824887980392,-0.00296097708212062,0.6578891521011598
0.2,1.2,1001,1,-3.1872424450549457,0.453190561367126,-0.00208594079341966,0.4531953619149742,0.6525944083686613,-0.003003754742524288,0.6526013211575628
