Mach,eta,alpha,ci,omega_i,alpha_cut,chart_id
0.68,0.02,0.0146642422238586,0.676832220746013,0.0099252316299317,0.7332121111929343,ETAEDGE_HM1
0.68,0.0333333333333333,0.0244404037064311,0.6626903136858321,0.0161964187988232,0.7332121111929343,ETAEDGE_HM1
0.68,0.0466666666666666,0.0342165651890035,0.6487999144507718,0.0221997045674247,0.7332121111929343,ETAEDGE_HM1
0.68,0.06,0.043992726671576,0.6352400256399687,0.0279459408188241,0.7332121111929343,ETAEDGE_HM1
0.725,0.02,0.0137749773139559,0.6491196679101838,0.0089416086995053,0.6887488656977956,ETAEDGE_HM1
0.725,0.0333333333333333,0.0229582955232598,0.6357383565198365,0.0145954690644539,0.6887488656977956,ETAEDGE_HM1
0.725,0.0466666666666666,0.0321416137325637,0.6226018116950831,0.0200114269406977,0.6887488656977956,ETAEDGE_HM1
0.725,0.06,0.0413249319418677,0.6097097211089832,0.0251962127291238,0.6887488656977956,ETAEDGE_HM1
0.77,0.02,0.0127608777127594,0.6212662627100992,0.0079279028055066,0.6380438856379709,ETAEDGE_HM1
0.77,0.0333333333333333,0.0212681295212656,0.6086637555984922,0.0129451395889687,0.6380438856379709,ETAEDGE_HM1
0.77,0.0466666666666666,0.0297753813297719,0.5963000776599485,0.0177550621992976,0.6380438856379709,ETAEDGE_HM1
0.77,0.06,0.0382826331382782,0.5841827486622939,0.0223640538527496,0.6380438856379709,ETAEDGE_HM1
0.815,0.02,0.011589219128138,0.5932366609372816,0.006875149658447,0.5794609564069007,ETAEDGE_HM1
0.815,0.0333333333333333,0.0193153652135633,0.581583829845895,0.0112335040757763,0.5794609564069007,ETAEDGE_HM1
0.815,0.0466666666666666,0.0270415112989886,0.5700993640841285,0.0154163483954272,0.5794609564069007,ETAEDGE_HM1
0.815,0.06,0.034767657384414,0.558819672455529,0.0194288509116043,0.5794609564069007,ETAEDGE_HM1
0.86,0.02,0.0102058806577384,0.5652226248192694,0.0057685946539591,0.510294032886923,ETAEDGE_HM1
0.86,0.0333333333333333,0.0170098010962307,0.5546476289555505,0.0094344458470299,0.510294032886923,ETAEDGE_HM1
0.86,0.0466666666666666,0.023813721534723,0.5442500568904435,0.0129606193000462,0.510294032886923,ETAEDGE_HM1
0.86,0.06,0.0306176419732153,0.5339710620030377,0.0163489348004665,0.510294032886923,ETAEDGE_HM1
0.84,0.02,0.0108517279730004,0.5776734213121016,0.0062687548253113,0.5425863986500216,ETAEDGE_HM2A
0.84,0.0333333333333333,0.018086213288334,0.566595231294784,0.0102475622013504,0.5425863986500216,ETAEDGE_HM2A
0.84,0.0466666666666666,0.0253206986036676,0.5556750197567907,0.0140700796968487,0.5425863986500216,ETAEDGE_HM2A
0.84,0.06,0.0325551839190012,0.5449145719228311,0.0177397941090916,0.5425863986500216,ETAEDGE_HM2A
0.8625,0.02,0.0101211412399985,0.5636859890877151,0.005705145510565,0.506057061999929,ETAEDGE_HM2A
0.8625,0.0333333333333333,0.0168685687333309,0.5531721816078945,0.0093312229668194,0.506057061999929,ETAEDGE_HM2A
0.8625,0.0466666666666666,0.0236159962266633,0.5428320035240407,0.0128195185469358,0.506057061999929,ETAEDGE_HM2A
0.8625,0.06,0.0303634237199957,0.5326006659584666,0.0161715796940488,0.506057061999929,ETAEDGE_HM2A
0.885,0.02,0.0093118204450042,0.5496955460892846,0.005118666224602,0.4655910222502147,ETAEDGE_HM2A
0.885,0.0333333333333333,0.0155197007416738,0.5398635176169728,0.0083785202347627,0.4655910222502147,ETAEDGE_HM2A
0.885,0.0466666666666666,0.0217275810383433,0.530161942730199,0.0115191365741159,0.4655910222502147,ETAEDGE_HM2A
0.885,0.06,0.0279354613350128,0.5205681176847243,0.014542310523822,0.4655910222502147,ETAEDGE_HM2A
0.9075,0.02,0.0084010416020872,0.5357862667450688,0.0045011627167523,0.4200520801043604,ETAEDGE_HM2A
0.9075,0.0333333333333333,0.0140017360034786,0.5267237114172572,0.0073750463540369,0.4200520801043604,ETAEDGE_HM2A
0.9075,0.0466666666666666,0.0196024304048701,0.517799700163376,0.0101501325861152,0.4200520801043604,ETAEDGE_HM2A
0.9075,0.06,0.0252031248062616,0.5089475102141635,0.0128270676197636,0.4200520801043604,ETAEDGE_HM2A
0.93,0.02,0.0073511903797956,0.5219779519924591,0.0038371592991523,0.3675595189897819,ETAEDGE_HM2A
0.93,0.0333333333333333,0.012251983966326,0.5139175008011003,0.0062965089798294,0.3675595189897819,ETAEDGE_HM2A
0.93,0.0466666666666666,0.0171527775528564,0.5058840463169876,0.0086773165140142,0.3675595189897819,ETAEDGE_HM2A
0.93,0.06,0.0220535711393869,0.4979693036814331,0.0109820014639694,0.3675595189897819,ETAEDGE_HM2A
0.92,0.02,0.0078383671769061,0.5281011419570284,0.0041394506572026,0.3919183588453084,ETAEDGE_HM2B
0.92,0.0333333333333333,0.0130639452948436,0.5195529360692652,0.0067874111345842,0.3919183588453084,ETAEDGE_HM2B
0.92,0.0466666666666666,0.018289523412781,0.5111002496046402,0.0093477799814223,0.3919183588453084,ETAEDGE_HM2B
0.92,0.06,0.0235151015307185,0.5027493155109868,0.01182220119874,0.3919183588453084,ETAEDGE_HM2B
0.935,0.02,0.0070929542505221,0.5189680332953132,0.0036810165176471,0.3546477125261065,ETAEDGE_HM2B
0.935,0.0333333333333333,0.0118215904175368,0.5111042200450221,0.0060420647500468,0.3546477125261065,ETAEDGE_HM2B
0.935,0.0466666666666666,0.0165502265845516,0.5033493102083781,0.0083305451351264,0.3546477125261065,ETAEDGE_HM2B
0.935,0.06,0.0212788627515663,0.4956410392434857,0.0105466776481058,0.3546477125261065,ETAEDGE_HM2B
0.95,0.02,0.0062449979983984,0.5099588304017484,0.0031846918751245,0.3122498999199199,ETAEDGE_HM2B
0.95,0.0333333333333333,0.0104083299973306,0.5029558202102502,0.0052349301508263,0.3122498999199199,ETAEDGE_HM2B
0.95,0.0466666666666666,0.0145716619962629,0.4959868147374608,0.0072273522189573,0.3122498999199199,ETAEDGE_HM2B
0.95,0.06,0.0187349939951952,0.4890575188500647,0.009162489678961,0.3122498999199199,ETAEDGE_HM2B
0.965,0.02,0.0052449976167773,0.5011982919390084,0.0026287838467529,0.2622498808388672,ETAEDGE_HM2B
0.965,0.0333333333333333,0.0087416626946289,0.4952005717431579,0.004328876364366,0.2622498808388672,ETAEDGE_HM2B
0.965,0.0466666666666666,0.0122383277724804,0.4892056636393609,0.0059870592597723,0.2622498808388672,ETAEDGE_HM2B
0.965,0.06,0.015734992850332,0.4832830861466003,0.0076044559052031,0.2622498808388672,ETAEDGE_HM2B
0.98,0.02,0.0039799497484264,0.4928591982277318,0.0019615548419961,0.1989974874213242,ETAEDGE_HM2B
0.98,0.0333333333333333,0.0066332495807108,0.4881972050330456,0.0032383339055896,0.1989974874213242,ETAEDGE_HM2B
0.98,0.0466666666666666,0.0092865494129951,0.483582520949317,0.0044908129760565,0.1989974874213242,ETAEDGE_HM2B
0.98,0.06,0.0119398492452794,0.4789778846871157,0.005718923734987,0.1989974874213242,ETAEDGE_HM2B
0.05,0.02,0.0199749843554381,0.962606766789044,0.01922805510705,0.998749217771909,ETAEDGE_LM
0.05,0.0333333333333333,0.0332916405923969,0.940016834464631,0.0312947026037992,0.998749217771909,ETAEDGE_LM
0.05,0.0466666666666666,0.0466082968293557,0.9179596804368384,0.0427845372631807,0.998749217771909,ETAEDGE_LM
0.05,0.06,0.0599249530663145,0.8964149331720782,0.0537176227982802,0.998749217771909,ETAEDGE_LM
0.125,0.02,0.0198431348329844,0.9505261889459872,0.018861419329538,0.9921567416492216,ETAEDGE_LM
0.125,0.0333333333333333,0.0330718913883073,0.9284248484515378,0.030704765750195,0.9921567416492216,ETAEDGE_LM
0.125,0.0466666666666666,0.0463006479436303,0.9068043383400866,0.0419856284232409,0.9921567416492216,ETAEDGE_LM
0.125,0.06,0.0595294044989532,0.8856609608431298,0.0527228695869623,0.9921567416492216,ETAEDGE_LM
0.2,0.02,0.0195959179422654,0.9292322757349688,0.018209159424607,0.9797958971132712,ETAEDGE_LM
0.2,0.0333333333333333,0.032659863237109,0.9078836614251736,0.0296513562173519,0.9797958971132712,ETAEDGE_LM
0.2,0.0466666666666666,0.0457238085319526,0.8870070536904708,0.0405573406894345,0.9797958971132712,ETAEDGE_LM
0.2,0.06,0.0587877538267962,0.8665968435713755,0.0509452819069526,0.9797958971132712,ETAEDGE_LM
0.275,0.02,0.0192288845230294,0.9002562644783914,0.0173109237507888,0.9614442261514704,ETAEDGE_LM
0.275,0.0333333333333333,0.0320481408717156,0.8798869254091101,0.0281987401366919,0.9614442261514704,ETAEDGE_LM
0.275,0.0466666666666666,0.0448673972204019,0.8599932724569546,0.0385856597621995,0.9614442261514704,ETAEDGE_LM
0.275,0.06,0.0576866535690882,0.84051747570196,0.0484866404395835,0.9614442261514704,ETAEDGE_LM
0.35,0.02,0.0187349939951951,0.8654521952102502,0.0162142416803925,0.9367496997597596,ETAEDGE_LM
0.35,0.0333333333333333,0.0312249899919919,0.8461672852343983,0.0264215650129951,0.9367496997597596,ETAEDGE_LM
0.35,0.0466666666666666,0.0437149859887887,0.8273370797335868,0.0361670288485591,0.9367496997597596,ETAEDGE_LM
0.35,0.06,0.0562049819855855,0.8089032222407297,0.0454643910341223,0.9367496997597596,ETAEDGE_LM
0.3,0.02,0.0190787840283389,0.889209157529325,0.0169650294725231,0.9539392014169455,ETAEDGE_MM
0.3,0.0333333333333333,0.0317979733805648,0.8692320740825024,0.0276398183532085,0.9539392014169455,ETAEDGE_MM
0.3,0.0466666666666666,0.0445171627327907,0.8496588594439839,0.0378244017132252,0.9539392014169455,ETAEDGE_MM
0.3,0.06,0.0572363520850167,0.8305326747285227,0.0475366605888724,0.9539392014169455,ETAEDGE_MM
0.4,0.02,0.0183303027798233,0.8397648945248971,0.0153931447805077,0.916515138991168,ETAEDGE_MM
0.4,0.0333333333333333,0.0305505046330389,0.8212762314224199,0.0250904033130753,0.916515138991168,ETAEDGE_MM
0.4,0.0466666666666666,0.0427707064862545,0.8031981356227361,0.0343533517090268,0.916515138991168,ETAEDGE_MM
0.4,0.06,0.05499090833947,0.7855045340396645,0.0431956078316133,0.916515138991168,ETAEDGE_MM
0.5,0.02,0.0173205080756887,0.7843488475721109,0.0135853205485299,0.8660254037844386,ETAEDGE_MM
0.5,0.0333333333333333,0.0288675134594812,0.7673796343328041,0.022152341922634,0.8660254037844386,ETAEDGE_MM
0.5,0.0466666666666666,0.0404145188432737,0.7508320705025647,0.0303445168614601,0.8660254037844386,ETAEDGE_MM
0.5,0.06,0.0519615242270663,0.7346064222711816,0.0381712694082025,0.8660254037844386,ETAEDGE_MM
0.6,0.02,0.016,0.7254170191455228,0.0116066723063283,0.8,ETAEDGE_MM
0.6,0.0333333333333333,0.0266666666666666,0.7100298087525049,0.0189341282334001,0.8,ETAEDGE_MM
0.6,0.0466666666666666,0.0373333333333333,0.6949187925495455,0.0259436349218496,0.8,ETAEDGE_MM
0.6,0.06,0.048,0.6801526918572754,0.0326473292091492,0.8,ETAEDGE_MM
0.7,0.02,0.0142828568570857,0.6645275707788042,0.0094913521710205,0.714142842854285,ETAEDGE_MM
0.7,0.0333333333333333,0.0238047614284761,0.6507081906430255,0.0154899532378126,0.714142842854285,ETAEDGE_MM
0.7,0.0466666666666666,0.0333266659998666,0.6371759212935185,0.0212349491121063,0.714142842854285,ETAEDGE_MM
0.7,0.06,0.0428485705712571,0.623895550446348,0.0267330325223936,0.714142842854285,ETAEDGE_MM
0.35,0.5,0.4683748498798799,0.3492149557316797,0.1635635024666344,0.9367496997597596,HIGH_HIM
0.35,0.55,0.5152123348678679,0.3087896724719226,0.1590922481373434,0.9367496997597596,HIGH_HIM
0.35,0.6,0.5620498198558558,0.2699430880381856,0.1517214640031956,0.9367496997597596,HIGH_HIM
0.35,0.65,0.6088873048438439,0.232452632381144,0.1415374568344116,0.9367496997597596,HIGH_HIM
0.4,0.5,0.458257569495584,0.3415852321242972,0.1565340182488653,0.916515138991168,HIGH_HIM
0.4,0.55,0.5040833264451424,0.3022658835094108,0.1523671920303037,0.916515138991168,HIGH_HIM
0.4,0.6,0.5499090833947008,0.2644002111282429,0.1453960777508974,0.916515138991168,HIGH_HIM
0.4,0.65,0.5957348403442592,0.2278633697748352,0.1357461482131163,0.916515138991168,HIGH_HIM
0.45,0.5,0.4465142774872938,0.333120921601938,0.1487432476249908,0.8930285549745876,HIGH_HIM
0.45,0.55,0.4911657052360232,0.2949771442443711,0.1448826570812947,0.8930285549745876,HIGH_HIM
0.45,0.6,0.5358171329847525,0.2582272559015803,0.1383625879157047,0.8930285549745876,HIGH_HIM
0.45,0.65,0.580468560733482,0.222672696763563,0.1292544998049885,0.8930285549745876,HIGH_HIM
0.5,0.5,0.4330127018922193,0.3238482649223875,0.1402304121971502,0.8660254037844386,HIGH_HIM
0.5,0.55,0.4763139720814413,0.2869532889745536,0.1366798608733032,0.8660254037844386,HIGH_HIM
0.5,0.6,0.5196152422706631,0.2513586019568103,0.1306097608526032,0.8660254037844386,HIGH_HIM
0.5,0.65,0.562916512459885,0.2168942232828215,0.1220933397430614,0.8660254037844386,HIGH_HIM
0.55,0.5,0.4175823272122516,0.3138124327589353,0.1310425259796144,0.8351646544245033,HIGH_HIM
0.55,0.55,0.4593405599334768,0.278234155032741,0.127804232565357,0.8351646544245033,HIGH_HIM
0.55,0.6,0.5010987926547019,0.2438543470117476,0.1221951188711874,0.8351646544245033,HIGH_HIM
0.55,0.65,0.5428570253759272,0.2105674665639277,0.1143080285398387,0.8351646544245033,HIGH_HIM
0.6,0.5,0.4,0.3030944124201319,0.1212377649680527,0.8,HIGH_HIM
0.6,0.55,0.44,0.2688829320752667,0.1183084901131173,0.8,HIGH_HIM
0.6,0.6,0.48,0.2357950761956715,0.1131816365739223,0.8,HIGH_HIM
0.6,0.65,0.52,0.2036951468322454,0.1059214763527676,0.8,HIGH_HIM
0.65,0.5,0.3799671038392666,0.2918454367054819,0.1108916653536879,0.7599342076785331,HIGH_HIM
0.65,0.55,0.4179638142231933,0.258989507052667,0.1082482422115173,0.7599342076785331,HIGH_HIM
0.65,0.6,0.4559605246071199,0.2271756480479645,0.1035831276619123,0.7599342076785331,HIGH_HIM
