source_path,experiment,anchor_budget,chart,seed,checkpoint_type,size_bytes,sha256,used_by_final_results,used_by_article,duplicate_of,proposed_destination,classification,canonical_destination,migration_status,sha256_destination
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_4000.pt,near_neutral,,,,periodic_epoch,225492,607b4ade37e94a5de85715938dba21b92cf6ef98902379af4c74769cddb8c325,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_4000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_4000.pt,GIT_MV,607b4ade37e94a5de85715938dba21b92cf6ef98902379af4c74769cddb8c325
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_4500.pt,near_neutral,,,,periodic_epoch,225492,fe39fd01aeff445ca87b2b74ed87605ef19833b2a263d64ce13e0ada658f3499,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_4500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_4500.pt,GIT_MV,fe39fd01aeff445ca87b2b74ed87605ef19833b2a263d64ce13e0ada658f3499
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_500.pt,near_neutral,,,,periodic_epoch,225470,12c4b4eeed06a9912f5eb006f58a2420d7280b856ea8b28919e5385607ab281b,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_500.pt,GIT_MV,12c4b4eeed06a9912f5eb006f58a2420d7280b856ea8b28919e5385607ab281b
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_5000.pt,near_neutral,,,,periodic_epoch,225492,807f467d271aac9e2ab0f6b6abbcfc8bceecc832b3bea4ad0df978257046f6e1,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_5000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/checkpoint_epoch_5000.pt,GIT_MV,807f467d271aac9e2ab0f6b6abbcfc8bceecc832b3bea4ad0df978257046f6e1
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/model_best.pt,near_neutral,,,,model_best,225250,0c0cc9f01b0df68bcf45883ef53a0150916bbac1b9730fd8dbf7a226a8fefe93,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/model_best.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_edge_neutral/model_best.pt,GIT_MV,0c0cc9f01b0df68bcf45883ef53a0150916bbac1b9730fd8dbf7a226a8fefe93
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_1000.pt,near_neutral,,,,periodic_epoch,225492,31052450151faba4c10150a88b54f4b7c8de2f269cc0c0daf2c6d2d6410358e7,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_1000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_1000.pt,GIT_MV,31052450151faba4c10150a88b54f4b7c8de2f269cc0c0daf2c6d2d6410358e7
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_1500.pt,near_neutral,,,,periodic_epoch,225492,6ad64c472235cf0947b4db6eb0243b4da830cac8e25523c4b00405bdd1c93d68,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_1500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_1500.pt,GIT_MV,6ad64c472235cf0947b4db6eb0243b4da830cac8e25523c4b00405bdd1c93d68
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_2000.pt,near_neutral,,,,periodic_epoch,225492,a5be3d9be7f316384de68b6110ed4e85dfea8c80ffe62f54cf8f821329f4c1ec,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_2000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_2000.pt,GIT_MV,a5be3d9be7f316384de68b6110ed4e85dfea8c80ffe62f54cf8f821329f4c1ec
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_2500.pt,near_neutral,,,,periodic_epoch,225492,6297b55942230a51f6f0ccd1612a19938a4d1e14508a4dd2da91157edba8e50c,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_2500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_2500.pt,GIT_MV,6297b55942230a51f6f0ccd1612a19938a4d1e14508a4dd2da91157edba8e50c
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_3000.pt,near_neutral,,,,periodic_epoch,225492,25e7e6118a3d1737318fcc8a75cf517a76146350b6493eb6ff0db334fd754187,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_3000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_3000.pt,GIT_MV,25e7e6118a3d1737318fcc8a75cf517a76146350b6493eb6ff0db334fd754187
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_3500.pt,near_neutral,,,,periodic_epoch,225492,a0ab4b9163c7269a7360022beb4eede42cd3e1be1f88ee4ee838024facb6396d,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_3500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_3500.pt,GIT_MV,a0ab4b9163c7269a7360022beb4eede42cd3e1be1f88ee4ee838024facb6396d
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_4000.pt,near_neutral,,,,periodic_epoch,225492,327963feb1fffdd7e16d586062b03b54ce91891bd89c20d51d3de523f39d1af4,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_4000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_4000.pt,GIT_MV,327963feb1fffdd7e16d586062b03b54ce91891bd89c20d51d3de523f39d1af4
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_4500.pt,near_neutral,,,,periodic_epoch,225492,5b394c4d18d80e1759f17c5367204b7f4fc4a7c6b6cd7dcc626a83b92b5005b9,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_4500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_4500.pt,GIT_MV,5b394c4d18d80e1759f17c5367204b7f4fc4a7c6b6cd7dcc626a83b92b5005b9
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_500.pt,near_neutral,,,,periodic_epoch,225470,a170df49590f306f6a9fb2d5569110ca8fe4fe294e7f13f7ed4b04d81953443b,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_500.pt,GIT_MV,a170df49590f306f6a9fb2d5569110ca8fe4fe294e7f13f7ed4b04d81953443b
