source_path,destination_path,category,subcategory,experiment,file_type,git_tracked,required_for_article,required_for_reproduction,anchor_budget,action,dependency_reason,notes,layer,scope_group,size_bytes,content_sha256,duplicate_of,refinement_reason,actual_destination,migration_status,sha256_source,sha256_destination,validation_status
.jz_transfer_20260817/subsonic_article_results_20260817.tar.gz,code/src/scripts/utils/subsonic_article_results_20260817.tar.gz,pinn_subsonic,support_file,subsonic_general,gz,false,false,false,,ARCHIVE,name/content/dependency audit match,untracked source: copy only,ARCHIVE,obsolete development outputs,302188869,,,second-pass scope classification,archive/miscellaneous/.jz_transfer_20260817/subsonic_article_results_20260817.tar.gz,COPY,53598cdce1592c88391affb226826ae0f40fbd883991a2f56a2812205a49552d,53598cdce1592c88391affb226826ae0f40fbd883991a2f56a2812205a49552d,SHA256_OK
.jz_transfer_20260817/subsonic_article_results_20260817.tar.gz.sha256,code/src/scripts/utils/subsonic_article_results_20260817.tar.gz.sha256,pinn_subsonic,support_file,subsonic_general,sha256,false,false,false,,ARCHIVE,name/content/dependency audit match,untracked source: copy only,ARCHIVE,obsolete development outputs,107,,,second-pass scope classification,archive/miscellaneous/.jz_transfer_20260817/subsonic_article_results_20260817.tar.gz.sha256,COPY,cf72065dbc6a34b20636230c464d5fa61147d5c13d2cc0e64f897d6f8a94bad8,cf72065dbc6a34b20636230c464d5fa61147d5c13d2cc0e64f897d6f8a94bad8,SHA256_OK
KH_RT_Blumen/.DS_Store,archive/excluded/KH_RT_Blumen/.DS_Store,pinn_subsonic,support_file,subsonic_general,file,false,false,false,,EXCLUDE,name/content/dependency audit match,generated cache/OS metadata; recorded for audit but excluded from migration,EXCLUDE,duplicated outputs,6148,,,second-pass scope classification,,ARTICLE_COPY_DEFERRED,bd16dc3bb1d7427c70b0e9764a214fc7504796ca351ad65dabcf1b7a87ac9910,,EXCLUDED_BY_MANIFEST
KH_RT_Blumen/subsonic/0.00.csv,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.00.csv,classic_subsonic,reference_asset,classical_Blumen_reference,csv,true,false,true,,MOVE,classical reference or Blumen validation,,CORE,classical source data,2905,,,second-pass scope classification,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.00.csv,GIT_MV_ALREADY_APPLIED,375c86253ed67a88c529ee68bb36eb179572bd934a0422689d3a359dc7e2bc6d,375c86253ed67a88c529ee68bb36eb179572bd934a0422689d3a359dc7e2bc6d,SHA256_OK
KH_RT_Blumen/subsonic/0.05.csv,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.05.csv,classic_subsonic,reference_asset,classical_Blumen_reference,csv,true,false,true,,MOVE,classical reference or Blumen validation,,CORE,classical source data,4116,,,second-pass scope classification,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.05.csv,GIT_MV_ALREADY_APPLIED,7f60bb3df9a4884998518b4e03007ad95c4c0e05ee0c85416d4190154e5a93c3,7f60bb3df9a4884998518b4e03007ad95c4c0e05ee0c85416d4190154e5a93c3,SHA256_OK
KH_RT_Blumen/subsonic/0.10.csv,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.10.csv,classic_subsonic,reference_asset,classical_Blumen_reference,csv,true,false,true,,MOVE,classical reference or Blumen validation,,CORE,classical source data,3846,,,second-pass scope classification,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.10.csv,GIT_MV_ALREADY_APPLIED,83982acb9e59f3401cb25ec0f97a66f0557eaa3098ef83c62246d6f31e5fd074,83982acb9e59f3401cb25ec0f97a66f0557eaa3098ef83c62246d6f31e5fd074,SHA256_OK
KH_RT_Blumen/subsonic/0.15.csv,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.15.csv,classic_subsonic,reference_asset,classical_Blumen_reference,csv,true,false,true,,MOVE,classical reference or Blumen validation,,CORE,classical source data,1915,,,second-pass scope classification,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.15.csv,GIT_MV_ALREADY_APPLIED,beb4502934d9722266f48bf1f01a8867e9b78cf65f47facb79337c2cfe8ebf68,beb4502934d9722266f48bf1f01a8867e9b78cf65f47facb79337c2cfe8ebf68,SHA256_OK
KH_RT_Blumen/subsonic/0.175.csv,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.175.csv,classic_subsonic,reference_asset,classical_Blumen_reference,csv,true,false,true,,MOVE,classical reference or Blumen validation,,CORE,classical source data,1123,,,second-pass scope classification,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.175.csv,GIT_MV_ALREADY_APPLIED,f871c762c5a9b2681c9247f100e42a45db945feedeebfcd8f4aa5f06361da6f7,f871c762c5a9b2681c9247f100e42a45db945feedeebfcd8f4aa5f06361da6f7,SHA256_OK
archive/legacy_classical_solver/blumen_comparison.png,archive/archive/legacy_classical_solver/blumen_comparison.png,pinn_subsonic,scientific_figure,subsonic_general,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,25304,,,second-pass scope classification,archive/legacy_classical_solver/blumen_comparison.png,KEEP_IN_PLACE,cf5b6c7d605b9e97d54c7b2b1184ed5291c90c15c19d6fba5b337530d7b96053,cf5b6c7d605b9e97d54c7b2b1184ed5291c90c15c19d6fba5b337530d7b96053,SHA256_OK
archive/legacy_classical_solver/blumen_ref.csv,archive/archive/legacy_classical_solver/blumen_ref.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,109,,,second-pass scope classification,archive/legacy_classical_solver/blumen_ref.csv,KEEP_IN_PLACE,c7fd6aa674ed12c4a57eebc7b09a1fe551a0ac093522232bdaf49316a2622e9c,c7fd6aa674ed12c4a57eebc7b09a1fe551a0ac093522232bdaf49316a2622e9c,SHA256_OK
archive/legacy_classical_solver/reconstruct_blumen_maps.py,archive/archive/legacy_classical_solver/reconstruct_blumen_maps.py,pinn_subsonic,utility_or_entry_point,subsonic_general,python,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,7669,,,second-pass scope classification,archive/legacy_classical_solver/reconstruct_blumen_maps.py,KEEP_IN_PLACE,c0b6c2a5e43f158850b152c5f8038d60d5af0559fecfb2d014ce756f068aaa2f,c0b6c2a5e43f158850b152c5f8038d60d5af0559fecfb2d014ce756f068aaa2f,SHA256_OK
archive/legacy_classical_solver/subsonic_limit.png,archive/archive/legacy_classical_solver/subsonic_limit.png,pinn_subsonic,scientific_figure,classical_Blumen_reference,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,49941,,,second-pass scope classification,archive/legacy_classical_solver/subsonic_limit.png,KEEP_IN_PLACE,3dc087b369aa0ee1b036756a7ac6bd4bb9e31e47f523f8e9a38ee9c8a56e062e,3dc087b369aa0ee1b036756a7ac6bd4bb9e31e47f523f8e9a38ee9c8a56e062e,SHA256_OK
