source_path,layer,operation,actual_destination,sha256_source,sha256_destination,validation_status,message
KH_RT_Blumen/subsonic/0.00.csv,CORE,GIT_MV_ALREADY_APPLIED,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.00.csv,375c86253ed67a88c529ee68bb36eb179572bd934a0422689d3a359dc7e2bc6d,375c86253ed67a88c529ee68bb36eb179572bd934a0422689d3a359dc7e2bc6d,SHA256_OK,
KH_RT_Blumen/subsonic/0.05.csv,CORE,GIT_MV_ALREADY_APPLIED,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.05.csv,7f60bb3df9a4884998518b4e03007ad95c4c0e05ee0c85416d4190154e5a93c3,7f60bb3df9a4884998518b4e03007ad95c4c0e05ee0c85416d4190154e5a93c3,SHA256_OK,
KH_RT_Blumen/subsonic/0.10.csv,CORE,GIT_MV_ALREADY_APPLIED,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.10.csv,83982acb9e59f3401cb25ec0f97a66f0557eaa3098ef83c62246d6f31e5fd074,83982acb9e59f3401cb25ec0f97a66f0557eaa3098ef83c62246d6f31e5fd074,SHA256_OK,
KH_RT_Blumen/subsonic/0.15.csv,CORE,GIT_MV_ALREADY_APPLIED,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.15.csv,beb4502934d9722266f48bf1f01a8867e9b78cf65f47facb79337c2cfe8ebf68,beb4502934d9722266f48bf1f01a8867e9b78cf65f47facb79337c2cfe8ebf68,SHA256_OK,
KH_RT_Blumen/subsonic/0.175.csv,CORE,GIT_MV_ALREADY_APPLIED,assets/classic_subsonic/csv/Table_Blumen_ci_level_0.175.csv,f871c762c5a9b2681c9247f100e42a45db945feedeebfcd8f4aa5f06361da6f7,f871c762c5a9b2681c9247f100e42a45db945feedeebfcd8f4aa5f06361da6f7,SHA256_OK,
assets/article/pinn_spectral_workflow.svg,CORE,COPY_ALREADY_PRESENT,assets/article/pinn_spectral_workflow.svg,a235cc9e7ad221a5467c15f11a743dbc60071236752167819fa956d055f8d68b,a235cc9e7ad221a5467c15f11a743dbc60071236752167819fa956d055f8d68b,SHA256_OK,
assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/article_figures/secondary_mstab17_ci_error_vs_nscan_no_L80.pdf,CORE,COPY_ALREADY_PRESENT,assets/classic_subsonic/pdf/convergence_box_resolution/article_test_a050_M050_exact_solver/article_figures/Fig_secondary_mstab17_ci_error_vs_nscan_no_L80.pdf,1b89caa5b4ab0936e9104e6f43a4094f8045c2e48e5f1a86d6952691b72d6699,1b89caa5b4ab0936e9104e6f43a4094f8045c2e48e5f1a86d6952691b72d6699,SHA256_OK,
assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/article_figures/secondary_mstab17_ci_error_vs_nscan_no_L80.png,CORE,COPY_ALREADY_PRESENT,assets/classic_subsonic/png/convergence_box_resolution/article_test_a050_M050_exact_solver/article_figures/Fig_secondary_mstab17_ci_error_vs_nscan_no_L80.png,6330ae19f261683ba2a9134898b750a92173f2cf6729e0fb2b12510a38802a04,6330ae19f261683ba2a9134898b750a92173f2cf6729e0fb2b12510a38802a04,SHA256_OK,
assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/article_figures/subsonic_classical_convergence_heatmap_a0p500_M0p500.pdf,CORE,COPY_ALREADY_PRESENT,assets/classic_subsonic/pdf/convergence_box_resolution/article_test_a050_M050_exact_solver/article_figures/Fig_subsonic_classical_convergence_heatmap_a0p500_M0p500.pdf,5d0bbd80b459e184e31f823da98876c9597b0764d9e52827b5450c555b8d1e7a,5d0bbd80b459e184e31f823da98876c9597b0764d9e52827b5450c555b8d1e7a,SHA256_OK,
assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/article_figures/subsonic_classical_convergence_heatmap_a0p500_M0p500.png,CORE,COPY_ALREADY_PRESENT,assets/classic_subsonic/png/convergence_box_resolution/article_test_a050_M050_exact_solver/article_figures/Fig_subsonic_classical_convergence_heatmap_a0p500_M0p500.png,c093eebfcabd382c13de2c5bfcb93bfb4420dce80eb5a703c289e952405f17ff,c093eebfcabd382c13de2c5bfcb93bfb4420dce80eb5a703c289e952405f17ff,SHA256_OK,
