method,seed,mae,median_abs,p95_abs,max_abs,rmse,n_monotonicity_violations,max_positive_step
monotone,1234.0,0.005214344202701185,0.0022040593576274636,0.019976976385422604,0.020664134589412797,0.00845238354113495,0,0.0
monotone,2345.0,0.006884099835452569,0.0032862335863707293,0.0258548534336394,0.02676672677885522,0.010994249884885616,0,0.0
monotone,3456.0,0.008819488279881998,0.007424220400873038,0.023316113779054043,0.02391172466574061,0.011837661627232581,0,0.0
no_monotone,1234.0,0.005260928832122902,0.00226551898845051,0.020086007285383442,0.020788395589412798,0.008513854988664278,0,0.0
no_monotone,2345.0,0.006884099835452569,0.0032862335863707293,0.0258548534336394,0.02676672677885522,0.010994249884885616,0,0.0
no_monotone,3456.0,0.009165814917998817,0.007785814594324064,0.023760420465156015,0.02437349466574061,0.012239252136542705,0,0.0
pchip,,0.0005337540272118989,0.0003436001860911003,0.0015648856871859351,0.001649705587094541,0.0007320224300459091,0,0.0
