seed,mean_delta_abs_error,median_delta_abs_error,fraction_no_monotone_better,max_curve_difference
1234,4.658462942171564e-05,4.279499999998437e-05,0.2119700748129676,0.0001548975000000008
2345,0.0,0.0,0.0,0.0
3456,0.0003463266381168203,0.0002542440000000007,0.0798004987531172,0.0011065800000000237
