config,n,overlap_median,overlap_p05,overlap_min,p_rel_l2_median,p_rel_l2_p95,p_rel_l2_max,n_overlap_lt_0995
mstab_nominal,28,0.9999999999249067,0.9999999859185307,0.9999999841367284,1.2242419549335378e-05,0.0001678169234144,0.0001781194622136,0
mstab_tol_strict,28,0.9999999999249067,0.9999999859185303,0.999999984136726,1.2242419571867259e-05,0.000167816924399585,0.0001781194755336,0
mstab_scan_dense,28,0.9999999999240704,0.9999999858649129,0.9999999842443928,1.2317406533146159e-05,0.000168136248081835,0.0001775139831824,0
mstab_L40,28,0.9999999999171383,0.9999999873139137,0.9999999857078672,1.2872529202415303e-05,0.000159285336436305,0.0001690688178801,0
mstab_L80,28,0.9999999999398946,0.9999999924802548,0.9999999915190624,1.0916060147613925e-05,0.00012263484739789,0.0001302377640008,0
mstab_L120,28,0.9999999999964455,0.9999999996930465,0.9999999963272758,2.652305827566234e-06,2.4607774150705187e-05,8.570559339935426e-05,0
mstab_match_05,28,0.9999999999323556,0.9999999857932866,0.9999999841285968,1.1629458465188983e-05,0.000168560700870395,0.0001781651094213,0
mstab_match_15,28,0.999999999919677,0.9999999858222252,0.9999999841201304,1.2671138136568212e-05,0.00016838867506930498,0.0001782126235753,0
