point_id,p1e_group,Mach,eta,alpha,gep_regime,ci_ref,ci_classical_runtime,classical_abs_err,classical_source
OFFGRID_0004,stratified_standard_N301,0.5170693375861489,0.5598378936344495,0.4791896142649015,standard_N301,0.2770389733779503,0.2770490714946085,1.0098116658252554e-05,primary
OFFGRID_0163,stratified_standard_N301,0.0474336425919852,0.0917050542918371,0.0916018302828499,standard_N301,0.8472861822945255,0.8472645385297077,2.1643764817724787e-05,primary
OFFGRID_0342,stratified_standard_N301,0.0241278478551051,0.943272188982764,0.9429975846243236,standard_N301,0.0366454563919537,0.0366598822805247,1.4425888570999967e-05,secondary_neutral
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,standard_N301,0.1491571698567142,0.1491604928106552,3.322953941009565e-06,secondary_neutral
OFFGRID_0003,stratified_standard_N301,0.763056999675404,0.1031581019968346,0.0666742994665267,standard_N301,0.5498182624935805,0.5497935535982188,2.47088953616581e-05,primary
OFFGRID_0031,stratified_standard_N301,0.06658717464399,0.5288932824760268,0.5277194626713729,standard_N301,0.3482850930427378,0.3482826306545754,2.4623881623719868e-06,primary
OFFGRID_0109,stratified_standard_N301,0.9542548291253604,0.4761686286859503,0.1423718090607915,standard_N301,0.2942099703236058,0.2942003265561667,9.64376743911588e-06,primary
OFFGRID_0378,stratified_standard_N301,0.4712146652765024,0.9565833439390627,0.8437242630226424,standard_N301,0.0253820073304805,0.0253815120950792,4.95235401219013e-07,secondary_neutral
OFFGRID_0240,stratified_longwave_map10_N301,0.6395082342428161,0.0699671403984168,0.0537896353414023,longwave_map10_N301,0.6476618468133059,0.6476508779142682,1.0968899037622217e-05,primary
OFFGRID_0002,stratified_longwave_map10_N301,0.9583486963921384,0.1767770713187233,0.0504876603518869,longwave_map10_N301,0.4312690636545718,0.4312514239029436,1.7639751628217848e-05,primary
OFFGRID_0219,stratified_longwave_map10_N301,0.0633647754038824,0.0317594152478199,0.0316955925889768,longwave_map10_N301,0.9412912449058698,0.9412879285452672,3.3163606024677605e-06,primary
OFFGRID_0280,stratified_longwave_map10_N301,0.9188583811903538,0.0227874106129571,0.0089916268123604,longwave_map10_N301,0.5269985075029294,0.5269863437419762,1.2163760953254332e-05,primary
OFFGRID_0234,stratified_longwave_map10_N301,0.935106547545032,0.1006859829236793,0.0356797576111302,longwave_map10_N301,0.4724767039158203,0.4724923137009913,1.5609785171011303e-05,primary
OFFGRID_0308,stratified_extreme_longwave_map20_N301,0.9568854584479048,0.04307563608273,0.0125119871158188,extreme_longwave_map20_N301,0.4945423489748198,0.4945358457822504,6.50319256939591e-06,primary
OFFGRID_0313,stratified_extreme_longwave_map20_N301,0.9241096301342898,0.0247424671768333,0.0094547760006703,extreme_longwave_map20_N301,0.5226097058678016,0.5226211988020646,1.149293426294662e-05,primary
OFFGRID_0277,stratified_extreme_longwave_map20_N301,0.9225397831166824,0.0525323709881028,0.0202723466862122,extreme_longwave_map20_N301,0.5061297717487231,0.5061240761304341,5.695618289003335e-06,primary
OFFGRID_0320,stratified_extreme_longwave_map20_N301,0.9757156312457008,0.0261664976907351,0.005731538643608,extreme_longwave_map20_N301,0.4928281644113125,0.4928143140348427,1.3850376469781713e-05,primary
OFFGRID_0304,stratified_extreme_longwave_map20_N301,0.9792505373197468,0.0571644272159528,0.0115845633662191,extreme_longwave_map20_N301,0.4801336840835766,0.4801484438874294,1.4759803852848474e-05,primary
OFFGRID_0329,stratified_near_neutral_N401,0.4373820186458693,0.969470760306262,0.8718215964076712,near_neutral_N401,0.0180714156904548,0.0180532179417754,1.819774867935913e-05,secondary_neutral
OFFGRID_0336,stratified_near_neutral_N401,0.9466721922743672,0.9613204306550348,0.3097358321599022,near_neutral_N401,0.0161635180831159,0.0161635587873989,4.070428304830953e-08,secondary_neutral
OFFGRID_0367,stratified_near_neutral_N401,0.8356278101941671,0.9774283616535724,0.5368975491439197,near_neutral_N401,0.0098910650436443,0.0098977151379858,6.650094341526316e-06,secondary_neutral
OFFGRID_0382,stratified_near_neutral_N401,0.0535484745043061,0.9776970107962872,0.9762942611706252,near_neutral_N401,0.0142637464794568,0.014279654741219,1.5908261762296108e-05,secondary_neutral
OFFGRID_0373,stratified_near_neutral_N401,0.1782396798782073,0.960638057686756,0.9452554582659508,near_neutral_N401,0.0249856596744175,0.0249869704250995,1.310750682041728e-06,secondary_neutral
OFFGRID_0359,stratified_near_neutral_N401,0.554951790687996,0.9621806855407546,0.8004212835114972,near_neutral_N401,0.0211601174411717,0.0211691564319352,9.038990763522714e-06,secondary_neutral
OFFGRID_0246,stress,0.9787471339922992,0.9634720398136004,0.1975800164889526,near_neutral_N401,0.1646613394680966,0.0075434405017798,0.1571178989663168,secondary_neutral
OFFGRID_0020,stress,0.1701441921005814,0.0413440791526973,0.0407412484418817,longwave_map10_N301,0.9042732557274832,0.9042196362822588,5.361944522452866e-05,primary
OFFGRID_0199,stress,0.2577331739761848,0.0517534688830325,0.0500050364493053,longwave_map10_N301,0.8592376440045202,0.8591903078001047,4.733620441543796e-05,primary
OFFGRID_0381,stress,0.7616049327548474,0.9584081027704748,0.6210883285603824,standard_N301,0.0199166005650687,0.0198741176045493,4.248296051935843e-05,secondary_neutral
